Code,Family,Speaker,Vitality,Country,Digital Language Support
dmw,Australian,Less than 10K,Endangered,Australia,Still
dmx,Niger-Congo,10K to 1M,Endangered,Mozambique,Still
dmy,East Bird’s Head-Sentani,Less than 10K,Endangered,Indonesia,Still
dna,Trans-New Guinea,10K to 1M,Stable,Indonesia,Still
dnd,Border,Less than 10K,Stable,Papua New Guinea,Still
dne,Niger-Congo,10K to 1M,Stable,Tanzania,Still
dng,Sino-Tibetan,10K to 1M,Endangered,Kyrgyzstan,Still
dni,Trans-New Guinea,10K to 1M,Stable,Indonesia,Still
dnj,Niger-Congo,1M to 1B,Stable,Côte d’Ivoire.,Still
dnk,Austronesian,10K to 1M,Stable,Indonesia,Still
dnn,Niger-Congo,10K to 1M,Stable,Burkina Faso,Emerging
dno,Nilo-Saharan,10K to 1M,Stable,Democratic Republic of the Congo,
dnr,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
dnt,Trans-New Guinea,10K to 1M,Stable,Indonesia,Still
dnu,Austro-Asiatic,Less than 10K,Endangered,Myanmar,Still
dnv,Sino-Tibetan,10K to 1M,Stable,Myanmar,Still
dnw,Trans-New Guinea,10K to 1M,Stable,Indonesia,Still
dny,Arauan,Less than 10K,Stable,Brazil,Still
doa,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
dob,Austronesian,10K to 1M,Institutional,Papua New Guinea,Still
doc,Kra-Dai,10K to 1M,Endangered,China,Still
doe,Niger-Congo,10K to 1M,Stable,Tanzania,Still
dof,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
doh,Niger-Congo,Less than 10K,Stable,Nigeria,Still
dok,Austronesian,10K to 1M,Endangered,Indonesia,Still
dol,Unclassified,Less than 10K,Endangered,Papua New Guinea,Still
don,Austronesian,Less than 10K,Endangered,Papua New Guinea,Still
doo,Niger-Congo,10K to 1M,Stable,Democratic Republic of the Congo,Still
dop,Niger-Congo,10K to 1M,Stable,Benin,Still
doq,Sign language,10K to 1M,Stable,Dominican Republic,Still
dor,Austronesian,Less than 10K,Stable,Solomon Islands,Still
dos,Niger-Congo,10K to 1M,Stable,Burkina Faso,Emerging
dot,Afro-Asiatic,Less than 10K,Stable,Nigeria,Still
dov,Niger-Congo,,Stable,Zimbabwe,Still
dow,Niger-Congo,10K to 1M,Stable,Cameroon,Emerging
dox,Afro-Asiatic,10K to 1M,Endangered,Ethiopia,Still
doy,Niger-Congo,,Endangered,Ghana,Still
doz,Afro-Asiatic,10K to 1M,Endangered,Ethiopia,Still
dpp,Austronesian,Less than 10K,Endangered,Malaysia,Still
drb,Nilo-Saharan,Less than 10K,Endangered,Sudan,Still
drc,Indo-European,Less than 10K,Endangered,Portugal,Still
drd,Sino-Tibetan,Less than 10K,Endangered,India,Still
dre,Sino-Tibetan,Less than 10K,Stable,Nepal,Emerging
drg,Austronesian,10K to 1M,Endangered,Malaysia,Still
dri,Niger-Congo,10K to 1M,Stable,Nigeria,Emerging
drl,Australian,,Endangered,Australia,Still
drn,Austronesian,Less than 10K,Endangered,Indonesia,Still
dro,Austronesian,Less than 10K,Endangered,Malaysia,Still
drq,Sino-Tibetan,,Endangered,Nepal,Still
drs,Afro-Asiatic,1M to 1B,Institutional,Ethiopia,Still
drt,Indo-European,10K to 1M,Stable,Netherlands,Emerging
dru,Austronesian,Less than 10K,Endangered,China—Taiwan,Still
dry,Indo-European,10K to 1M,Endangered,Nepal,Still
dsb,Indo-European,Less than 10K,Endangered,Germany,Ascending
dse,Sign language,10K to 1M,Stable,Netherlands,Still
dsh,Afro-Asiatic,10K to 1M,Stable,Ethiopia,Still
dsi,Nilo-Saharan,Less than 10K,Endangered,Chad,Emerging
dsk,Afro-Asiatic,,Endangered,Nigeria,
dsl,Sign language,10K to 1M,Stable,Denmark,Still
dsn,Austronesian,,Endangered,Indonesia,Still
dso,Indo-European,10K to 1M,Institutional,India,Still
dsq,Nilo-Saharan,10K to 1M,Stable,Mali,Still
dsz,Sign language,,Endangered,Turkey,
dta,Mongolic,10K to 1M,Endangered,China,Still
dtb,Austronesian,,Endangered,Malaysia,Still
dtd,Wakashan,,Endangered,Canada,Still
dth,Australian,,Extinct,Australia,Still
dti,Niger-Congo,Less than 10K,Endangered,Mali,Still
dtk,Niger-Congo,10K to 1M,Stable,Mali,Still
dtm,Niger-Congo,10K to 1M,Stable,Mali,Emerging
dtn,Nilo-Saharan,Less than 10K,Stable,Ethiopia,Still
dto,Niger-Congo,10K to 1M,Stable,Mali,Still
dtp,Austronesian,10K to 1M,Stable,Malaysia,Emerging
dtr,Austronesian,,Endangered,Malaysia,Still
dts,Niger-Congo,10K to 1M,Institutional,Mali,Still
dtt,Niger-Congo,Less than 10K,Stable,Mali,Emerging
dtu,Niger-Congo,Less than 10K,Stable,Mali,Still
dty,Indo-European,10K to 1M,Stable,Nepal,Still
dua,Niger-Congo,10K to 1M,Institutional,Cameroon,Emerging
dub,Indo-European,10K to 1M,Endangered,India,Still
duc,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
due,Austronesian,Less than 10K,Endangered,Philippines,Still
duf,Austronesian,Less than 10K,Endangered,New Caledonia,Still
dug,Niger-Congo,10K to 1M,Institutional,Kenya,Still
duh,Indo-European,10K to 1M,Stable,India,Still
dui,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
duk,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
dul,Austronesian,,Endangered,Philippines,Still
dun,Austronesian,10K to 1M,Stable,Indonesia,Still
duo,Austronesian,Less than 10K,Endangered,Philippines,Still
dup,Austronesian,10K to 1M,Stable,Indonesia,Still
duq,Austronesian,Less than 10K,Endangered,Indonesia,Still
dur,Niger-Congo,10K to 1M,Stable,Cameroon,Emerging
dus,Sino-Tibetan,Less than 10K,Endangered,Nepal,Still
duu,Sino-Tibetan,10K to 1M,Stable,China,Still
duv,Lakes Plain,Less than 10K,Endangered,Indonesia,Still
duw,Austronesian,Less than 10K,Endangered,Indonesia,Still
dux,Niger-Congo,10K to 1M,Stable,Mali,Emerging
duy,Austronesian,,Extinct,Philippines,Still
duz,Niger-Congo,,Endangered,Cameroon,Emerging
dva,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
dwa,Afro-Asiatic,Less than 10K,Stable,Nigeria,Still
dwk,Dravidian,10K to 1M,Stable,India,
dwr,Afro-Asiatic,10K to 1M,Institutional,Ethiopia,Still
dwu,Australian,Less than 10K,Stable,Australia,Still
dww,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
dwy,Australian,Less than 10K,Institutional,Australia,Emerging
dwz,Indo-European,10K to 1M,Endangered,Nepal,
dya,Niger-Congo,10K to 1M,Stable,Burkina Faso,Emerging
dyb,Australian,,Extinct,Australia,Still
dyd,Australian,,Extinct,Australia,Still
dyg,Austronesian,,Extinct,Philippines,Still
dyi,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
dym,Niger-Congo,Less than 10K,Stable,Mali,Still
dyn,Australian,,Extinct,Australia,Still
dyo,Niger-Congo,10K to 1M,Stable,Senegal,Emerging
dyr,Afro-Asiatic,Less than 10K,Stable,Nigeria,
dyu,Niger-Congo,1M to 1B,Institutional,Côte d’Ivoire.,Emerging
dyy,Australian,,Endangered,Australia,Still
dza,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
dzd,Afro-Asiatic,Less than 10K,Endangered,Nigeria,
dze,Australian,,Extinct,Australia,Still
dzg,Nilo-Saharan,10K to 1M,Institutional,Chad,Emerging
dzl,Sino-Tibetan,10K to 1M,Stable,Bhutan,Still
dzn,Niger-Congo,Less than 10K,Stable,Democratic Republic of the Congo,Still
dzo,Sino-Tibetan,10K to 1M,Institutional,Bhutan,Ascending
eaa,Australian,,Endangered,Australia,Still
ebc,Austronesian,Less than 10K,Stable,Indonesia,
ebg,Niger-Congo,Less than 10K,Stable,Nigeria,Still
ebk,Austronesian,Less than 10K,Stable,Philippines,Still
ebo,Niger-Congo,10K to 1M,Stable,Congo,Still
ebr,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
ebu,Niger-Congo,10K to 1M,Stable,Kenya,Emerging
ecs,Sign language,10K to 1M,Stable,Ecuador,Still
eee,Mixed language,Less than 10K,Endangered,China,Still
efa,Niger-Congo,Less than 10K,Stable,Nigeria,Still
efe,Nilo-Saharan,10K to 1M,Stable,Democratic Republic of the Congo,Still
efi,Niger-Congo,1M to 1B,Institutional,Nigeria,Emerging
ega,Niger-Congo,Less than 10K,Endangered,Côte d’Ivoire.,Still
egl,Indo-European,10K to 1M,Endangered,Italy,Emerging
egm,Niger-Congo,10K to 1M,Stable,Tanzania,
ego,Niger-Congo,10K to 1M,Stable,Nigeria,Still
ehs,Sign language,,Stable,Japan,
ehu,Niger-Congo,10K to 1M,Stable,Nigeria,Still
eip,Trans-New Guinea,Less than 10K,Endangered,Indonesia,Still
eit,Torricelli,Less than 10K,Endangered,Papua New Guinea,Still
eiv,North Bougainville,Less than 10K,Stable,Papua New Guinea,Still
eja,Niger-Congo,10K to 1M,Endangered,Guinea-Bissau,Emerging
eka,Niger-Congo,10K to 1M,Stable,Nigeria,Emerging
eke,Niger-Congo,10K to 1M,Stable,Nigeria,Still
ekg,Trans-New Guinea,10K to 1M,Stable,Indonesia,Still
eki,Niger-Congo,Less than 10K,Stable,Nigeria,Still
ekk,Uralic,1M to 1B,Institutional,Estonia,Vital
ekl,Austro-Asiatic,Less than 10K,Stable,Bangladesh,Still
ekm,Niger-Congo,Less than 10K,Stable,Cameroon,Emerging
eko,Niger-Congo,10K to 1M,Stable,Mozambique,Still
ekp,Niger-Congo,10K to 1M,Stable,Nigeria,Still
ekr,Niger-Congo,10K to 1M,Stable,Nigeria,Still
eky,Sino-Tibetan,10K to 1M,Stable,Myanmar,Still
ele,Torricelli,Less than 10K,Endangered,Papua New Guinea,Still
elh,Nilo-Saharan,,Endangered,Sudan,Still
eli,Niger-Congo,Less than 10K,Endangered,Sudan,Still
elk,Torricelli,Less than 10K,Stable,Papua New Guinea,Still
ell,Indo-European,1M to 1B,Institutional,Greece,Thriving
elm,Niger-Congo,10K to 1M,Stable,Nigeria,Still
elo,Afro-Asiatic,,Endangered,Kenya,Still
elu,Austronesian,Less than 10K,Endangered,Papua New Guinea,Still
ema,Niger-Congo,10K to 1M,Stable,Nigeria,Still
emb,Austronesian,10K to 1M,Stable,Indonesia,Still
eme,Tupian,Less than 10K,Stable,French Guiana,Still
emg,Sino-Tibetan,Less than 10K,Endangered,Nepal,Still
emi,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
emk,Niger-Congo,1M to 1B,Institutional,Guinea,Emerging
emm,Comecrudan,,Extinct,Mexico,Still
emn,Niger-Congo,Less than 10K,Endangered,Cameroon,Emerging
emp,Chocoan,10K to 1M,Stable,Panama,Still
emq,Sino-Tibetan,Less than 10K,Endangered,China,
ems,Eskimo-Aleut,,Endangered,United States,Emerging
emu,Dravidian,10K to 1M,Stable,India,Still
emw,Austronesian,Less than 10K,Endangered,Indonesia,Still
emx,Mixed language,Less than 10K,Endangered,France,Still
emz,Niger-Congo,10K to 1M,Stable,Cameroon,
ena,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
enb,Nilo-Saharan,10K to 1M,Stable,Kenya,Still
enc,Kra-Dai,Less than 10K,Endangered,Viet Nam,Still
end,Austronesian,10K to 1M,Stable,Indonesia,Still
enf,Uralic,,Endangered,Russian Federation,Still
eng,Indo-European,More than 1B,Institutional,United Kingdom,Thriving
enh,Uralic,,Endangered,Russian Federation,Still
enl,Mascoyan,Less than 10K,Stable,Paraguay,Still
enn,Niger-Congo,10K to 1M,Stable,Nigeria,Emerging
eno,Unclassified,Less than 10K,Endangered,Indonesia,Still
enq,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
enr,Pauwasi,Less than 10K,Endangered,Indonesia,Still
enu,Sino-Tibetan,10K to 1M,Endangered,China,Still
env,Niger-Congo,,Stable,Nigeria,Still
enw,Niger-Congo,10K to 1M,Stable,Nigeria,Still
enx,Mascoyan,Less than 10K,Stable,Paraguay,Still
eot,Niger-Congo,Less than 10K,Endangered,Côte d’Ivoire.,Still
epi,Niger-Congo,10K to 1M,Stable,Nigeria,Still
epo,Constructed language,10K to 1M,Institutional,Poland,Vital
era,Dravidian,Less than 10K,Endangered,India,Still
erg,Austronesian,Less than 10K,Stable,Vanuatu,Still
erh,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
eri,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
erk,Austronesian,Less than 10K,Stable,Vanuatu,Still
err,Australian,,Extinct,Australia,Still
ers,Sino-Tibetan,10K to 1M,Endangered,China,Still
ert,Lakes Plain,Less than 10K,Endangered,Indonesia,Still
erw,Austronesian,Less than 10K,Endangered,Indonesia,Still
ese,Tacanan,Less than 10K,Stable,Bolivia,Still
esg,Dravidian,10K to 1M,Stable,India,Still
esh,Indo-European,,Endangered,Iran,Still
esi,Eskimo-Aleut,,Endangered,United States,Emerging
esk,Eskimo-Aleut,,Endangered,United States,Emerging
esl,Sign language,10K to 1M,Stable,Egypt,Still
esm,Niger-Congo,,Extinct,Côte d’Ivoire.,Still
esn,Sign language,10K to 1M,Institutional,El Salvador,Still
eso,Sign language,Less than 10K,Stable,Estonia,Still
esq,Language isolate,,Endangered,United States,Still
ess,Eskimo-Aleut,Less than 10K,Endangered,United States,Emerging
esu,Eskimo-Aleut,10K to 1M,Endangered,United States,Emerging
esy,Mixed language,Less than 10K,Endangered,Philippines,Still
etb,Niger-Congo,10K to 1M,Stable,Nigeria,Still
etc,Algic,,Extinct,United States,Still
eth,Sign language,10K to 1M,Stable,Ethiopia,Still
etn,Austronesian,Less than 10K,Stable,Vanuatu,Still
eto,Niger-Congo,10K to 1M,Stable,Cameroon,Emerging
etr,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
ets,Niger-Congo,10K to 1M,Stable,Nigeria,Still
etu,Niger-Congo,10K to 1M,Stable,Nigeria,Still
etx,Niger-Congo,10K to 1M,Stable,Nigeria,Emerging
etz,Mairasi,Less than 10K,Endangered,Indonesia,Still
eud,Uto-Aztecan,,Extinct,Mexico,
eus,Language isolate,1M to 1B,Institutional,Spain,Vital
eve,Tungusic,Less than 10K,Endangered,Russian Federation,Still
evh,Niger-Congo,10K to 1M,Stable,Nigeria,Still
evn,Tungusic,10K to 1M,Endangered,China,Still
ewe,Niger-Congo,1M to 1B,Institutional,Ghana,Ascending
ewo,Niger-Congo,10K to 1M,Institutional,Cameroon,Emerging
ext,Indo-European,10K to 1M,Endangered,Spain,Emerging
eya,Eyak-Athabaskan,,Endangered,United States,Still
eyo,Nilo-Saharan,10K to 1M,Stable,Kenya,Still
eza,Niger-Congo,10K to 1M,Stable,Nigeria,Still
eze,Niger-Congo,Less than 10K,Stable,Nigeria,Still
faa,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
fab,Creole,Less than 10K,Stable,Equatorial Guinea,Still
faf,Austronesian,Less than 10K,Endangered,Solomon Islands,Still
fag,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
fah,Niger-Congo,,Extinct,Nigeria,Still
fai,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
faj,Trans-New Guinea,,Endangered,Papua New Guinea,Still
fak,Niger-Congo,Less than 10K,Endangered,Cameroon,Emerging
fal,Niger-Congo,10K to 1M,Stable,Cameroon,Emerging
fam,Niger-Congo,Less than 10K,Endangered,Nigeria,Still
fan,Niger-Congo,1M to 1B,Institutional,Equatorial Guinea,Emerging
fao,Indo-European,10K to 1M,Institutional,Faroe Islands,Ascending
fap,Niger-Congo,10K to 1M,Stable,Senegal,Emerging
far,Austronesian,Less than 10K,Stable,Solomon Islands,Still
fau,Lakes Plain,Less than 10K,Endangered,Indonesia,Still
fax,Indo-European,Less than 10K,Stable,Spain,Emerging
fay,Indo-European,10K to 1M,Endangered,Iran,Still
faz,Indo-European,,Endangered,Iran,Still
fbl,Austronesian,10K to 1M,Stable,Philippines,Still
fcs,Sign language,Less than 10K,Stable,Canada,Still
fer,Niger-Congo,10K to 1M,Endangered,South Sudan,Still
ffi,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
ffm,Niger-Congo,1M to 1B,Institutional,Mali,Emerging
fgr,Nilo-Saharan,,Endangered,Chad,Emerging
fia,Nilo-Saharan,10K to 1M,Endangered,Sudan,Still
fie,Afro-Asiatic,10K to 1M,Stable,Nigeria,Still
fif,Afro-Asiatic,10K to 1M,Stable,Saudi Arabia,
fij,Austronesian,10K to 1M,Institutional,Fiji,Emerging
fil,Austronesian,,Institutional,Philippines,Vital
fin,Uralic,1M to 1B,Institutional,Finland,Thriving
fip,Niger-Congo,10K to 1M,Stable,Tanzania,Still
fir,Niger-Congo,Less than 10K,Stable,Nigeria,Still
fit,Uralic,10K to 1M,Stable,Sweden,Emerging
fiw,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
fkk,Afro-Asiatic,Less than 10K,Stable,Nigeria,Still
fkv,Uralic,Less than 10K,Endangered,Norway,Emerging
fla,Salish,,Endangered,United States,Still
flh,Lakes Plain,Less than 10K,Stable,Indonesia,Still
fli,Afro-Asiatic,10K to 1M,Stable,Nigeria,Still
fll,Niger-Congo,10K to 1M,Endangered,Cameroon,Emerging
fln,Australian,,Extinct,Australia,Still
flr,Niger-Congo,10K to 1M,Stable,Democratic Republic of the Congo,Emerging
fly,Creole,,Endangered,South Africa,Emerging
fmp,Niger-Congo,10K to 1M,Stable,Cameroon,Emerging
fmu,Dravidian,10K to 1M,Stable,India,Still
fnb,Austronesian,Less than 10K,Endangered,Vanuatu,Still
fng,Pidgin,Less than 10K,Endangered,South Africa,Still
fni,Niger-Congo,Less than 10K,Stable,Chad,Emerging
fod,Niger-Congo,10K to 1M,Stable,Benin,Still
foi,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
fom,Niger-Congo,10K to 1M,Stable,Democratic Republic of the Congo,Still
fon,Niger-Congo,1M to 1B,Institutional,Benin,Emerging
for,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
fos,Austronesian,,Endangered,China—Taiwan,Still
fpe,Creole,10K to 1M,Institutional,Equatorial Guinea,Still
fqs,Fas,Less than 10K,Endangered,Papua New Guinea,Still
fra,Indo-European,1M to 1B,Institutional,France,Thriving
frc,Indo-European,10K to 1M,Endangered,United States,Emerging
frd,Austronesian,10K to 1M,Endangered,Indonesia,Still
frp,Indo-European,10K to 1M,Endangered,France,Ascending
frq,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
frr,Indo-European,Less than 10K,Endangered,Germany,Emerging
frs,Indo-European,10K to 1M,Endangered,Germany,Emerging
frt,Austronesian,Less than 10K,Endangered,Vanuatu,Still
fry,Indo-European,10K to 1M,Institutional,Netherlands,Ascending
fse,Sign language,Less than 10K,Stable,Finland,Still
fsl,Sign language,10K to 1M,Stable,France,Still
fss,Sign language,Less than 10K,Endangered,Finland,Still
fub,Niger-Congo,1M to 1B,Institutional,Cameroon,Emerging
fuc,Niger-Congo,1M to 1B,Stable,Senegal,Emerging
fud,Austronesian,Less than 10K,Stable,Wallis and Futuna,Still
fue,Niger-Congo,10K to 1M,Stable,Benin,Emerging
fuf,Niger-Congo,1M to 1B,Stable,Guinea,Emerging
fuh,Niger-Congo,1M to 1B,Stable,Niger,Emerging
fui,Niger-Congo,10K to 1M,Stable,Chad,Emerging
fuj,Niger-Congo,Less than 10K,Endangered,Sudan,Still
fum,Niger-Congo,,Stable,Nigeria,Still
fun,Language isolate,Less than 10K,Endangered,Brazil,Still
fuq,Niger-Congo,10K to 1M,Stable,Niger,Emerging
fur,Indo-European,10K to 1M,Endangered,Italy,Ascending
fut,Austronesian,Less than 10K,Stable,Vanuatu,Still
fuu,Nilo-Saharan,10K to 1M,Stable,Democratic Republic of the Congo,Still
fuv,Niger-Congo,1M to 1B,Institutional,Nigeria,Emerging
fuy,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
fvr,Nilo-Saharan,10K to 1M,Stable,Sudan,Emerging
fwa,Austronesian,Less than 10K,Endangered,New Caledonia,Still
fwe,Niger-Congo,10K to 1M,Stable,Namibia,Still
gaa,Niger-Congo,10K to 1M,Institutional,Ghana,Emerging
gab,Afro-Asiatic,10K to 1M,Stable,Chad,Emerging
gac,Andamanese,,Endangered,India,Still
gad,Austronesian,10K to 1M,Stable,Philippines,Still
gae,Maipurean,Less than 10K,Endangered,Venezuela,Still
gaf,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
gag,Turkic,10K to 1M,Stable,Moldova,Emerging
gah,Trans-New Guinea,10K to 1M,Endangered,Papua New Guinea,Still
gai,Ramu-Lower Sepik,Less than 10K,Stable,Papua New Guinea,Still
gaj,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
gak,West Papuan,Less than 10K,Endangered,Indonesia,Still
gal,Austronesian,10K to 1M,Stable,East Timor,Still
gam,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
gan,Sino-Tibetan,1M to 1B,Stable,China,Emerging
gao,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
gaq,Austro-Asiatic,Less than 10K,Endangered,India,Still
gar,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
gas,Indo-European,10K to 1M,Stable,India,Still
gat,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
gau,Dravidian,Less than 10K,Stable,India,Still
gax,Afro-Asiatic,1M to 1B,Stable,Ethiopia,Still
gay,Austronesian,10K to 1M,Endangered,Indonesia,Emerging
gaz,Afro-Asiatic,1M to 1B,Institutional,Ethiopia,Ascending
gbb,Australian,Less than 10K,Endangered,Australia,Still
gbd,Australian,,Endangered,Australia,Still
gbe,Sepik,Less than 10K,Stable,Papua New Guinea,Still
gbf,Sepik,Less than 10K,Stable,Papua New Guinea,Still
gbg,Niger-Congo,10K to 1M,Stable,Central African Republic,Still
gbh,Niger-Congo,Less than 10K,Stable,Benin,Still
gbi,West Papuan,10K to 1M,Stable,Indonesia,Still
gbj,Austro-Asiatic,Less than 10K,Endangered,India,Still
gbk,Indo-European,10K to 1M,Stable,India,Still
gbl,Indo-European,10K to 1M,Stable,India,Still
gbm,Indo-European,1M to 1B,Stable,India,Still
gbn,Nilo-Saharan,Less than 10K,Endangered,South Sudan,Still
gbo,Niger-Congo,10K to 1M,Stable,Liberia,Still
gbp,Niger-Congo,10K to 1M,Stable,Central African Republic,Still
gbq,Niger-Congo,10K to 1M,Stable,Central African Republic,Still
gbr,Niger-Congo,1M to 1B,Stable,Nigeria,Still
gbs,Niger-Congo,10K to 1M,Stable,Benin,Still
gbv,Niger-Congo,10K to 1M,Stable,Central African Republic,Still
gbw,Australian,,Endangered,Australia,Still
gbx,Niger-Congo,10K to 1M,Stable,Benin,Still
gby,Niger-Congo,10K to 1M,Stable,Nigeria,Still
gbz,Indo-European,Less than 10K,Endangered,Iran,Emerging
gcc,East New Britain,Less than 10K,Endangered,Papua New Guinea,Still
gcd,Australian,,Endangered,Australia,Still
gce,Eyak-Athabaskan,,Extinct,United States,Still
gcf,Creole,10K to 1M,Stable,Guadeloupe,Emerging
gcl,Creole,10K to 1M,Stable,Grenada,Emerging
gcn,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
gcr,Creole,10K to 1M,Stable,French Guiana,Emerging
gct,Indo-European,Less than 10K,Endangered,Venezuela,Emerging
gda,Indo-European,10K to 1M,Stable,India,Still
gdb,Dravidian,10K to 1M,Stable,India,Still
gdc,Australian,,Endangered,Australia,Still
gdd,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
gde,Afro-Asiatic,10K to 1M,Stable,Nigeria,Still
gdf,Afro-Asiatic,10K to 1M,Stable,Nigeria,Still
gdg,Austronesian,Less than 10K,Stable,Philippines,Still
gdh,Australian,,Endangered,Australia,Still
gdi,Niger-Congo,Less than 10K,Stable,Central African Republic,Still
gdj,Australian,,Endangered,Australia,Still
gdk,Afro-Asiatic,Less than 10K,Endangered,Chad,Emerging
gdl,Afro-Asiatic,10K to 1M,Institutional,Ethiopia,Still
gdm,Language isolate,Less than 10K,Endangered,Chad,Emerging
gdn,Trans-New Guinea,Less than 10K,Stable,Papua New Guinea,Still
gdo,Nakh-Daghestanian,Less than 10K,Endangered,Russian Federation,Still
gdq,Afro-Asiatic,10K to 1M,Endangered,Yemen,Still
gdr,Eastern Trans-Fly,Less than 10K,Stable,Papua New Guinea,Still
gds,Sign language,,Endangered,Nepal,Still
gdt,Australian,,Extinct,Australia,Still
gdu,Afro-Asiatic,Less than 10K,Stable,Nigeria,Still
gdx,Indo-European,1M to 1B,Endangered,India,Still
gea,Afro-Asiatic,Less than 10K,Endangered,Nigeria,Still
geb,Ramu-Lower Sepik,Less than 10K,Stable,Papua New Guinea,Still
gec,Niger-Congo,10K to 1M,Stable,Liberia,Still
ged,Niger-Congo,10K to 1M,Stable,Nigeria,Still
gef,Austronesian,Less than 10K,Stable,Indonesia,
geg,Niger-Congo,Less than 10K,Stable,Nigeria,Still
geh,Indo-European,10K to 1M,Stable,Canada,Emerging
gei,Austronesian,Less than 10K,Endangered,Indonesia,Still
gej,Niger-Congo,10K to 1M,Institutional,Togo,Still
gek,Afro-Asiatic,10K to 1M,Stable,Nigeria,Still
gel,Niger-Congo,10K to 1M,Stable,Nigeria,Emerging
geq,Niger-Congo,Less than 10K,Endangered,Central African Republic,Still
ges,Austronesian,10K to 1M,Stable,Indonesia,Still
gev,Niger-Congo,,Endangered,Gabon,Still
gew,Afro-Asiatic,10K to 1M,Endangered,Nigeria,Still
gex,Afro-Asiatic,10K to 1M,Stable,Kenya,Still
gey,Niger-Congo,10K to 1M,Stable,Democratic Republic of the Congo,Still
gez,Afro-Asiatic,,Endangered,Ethiopia,Emerging
gfk,Austronesian,10K to 1M,Stable,Papua New Guinea,Still
gft,Afro-Asiatic,,Extinct,Ethiopia,Still
gga,Austronesian,Less than 10K,Stable,Solomon Islands,Still
ggb,Niger-Congo,10K to 1M,Stable,Liberia,Still
gge,Australian,,Endangered,Australia,Still
ggg,Indo-European,10K to 1M,Stable,Pakistan,Still
ggk,Australian,,Extinct,Australia,Still
ggl,Trans-New Guinea,Less than 10K,Endangered,Papua New Guinea,Still
ggt,Austronesian,Less than 10K,Stable,Papua New Guinea,Still
ggu,Niger-Congo,10K to 1M,Stable,Côte d’Ivoire.,Still
ggw,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
gha,Afro-Asiatic,10K to 1M,Endangered,Libya,Emerging
ghe,Sino-Tibetan,10K to 1M,Stable,Nepal,Still
ghh,Sino-Tibetan,Less than 10K,Endangered,Nepal,Still
ghk,Sino-Tibetan,10K to 1M,Stable,Myanmar,Still
ghl,Nilo-Saharan,10K to 1M,Endangered,Sudan,Still
ghn,Austronesian,Less than 10K,Stable,Solomon Islands,Still
gho,Afro-Asiatic,10K to 1M,Stable,Morocco,Still
ghr,Indo-European,10K to 1M,Stable,Pakistan,Still
ghs,Trans-New Guinea,10K to 1M,Stable,Papua New Guinea,Still
ght,Sino-Tibetan,Less than 10K,Stable,Nepal,Emerging
gia,Australian,Less than 10K,Endangered,Australia,Still
gib,Pidgin,,Endangered,Nigeria,Still
gic,Unclassified,10K to 1M,Endangered,South Africa,Still
gid,Afro-Asiatic,10K to 1M,Stable,Cameroon,Emerging
gie,Niger-Congo,Less than 10K,Endangered,Côte d’Ivoire.,
gig,Indo-European,10K to 1M,Stable,Pakistan,Still
gih,Australian,,Endangered,Australia,Still
gii,Afro-Asiatic,10K to 1M,Endangered,Ethiopia,
gil,Austronesian,10K to 1M,Institutional,Kiribati,Emerging
