eng,deu_m,deu_f,deu_n,output
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"The translation of ""I am Senegalese"" into German is ""Ich bin Senegalese."" (if you are male) or ""Ich bin Senegalesin."" (if you are female)."
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"The translation of ""I am Singaporean"" into German is ""Ich bin Singaporeaner"" (for a male speaker) or ""Ich bin Singaporeanerin"" (for a female speaker)."
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,"The translation of ""I am Solomon Islander"" into German is ""Ich bin Salomonen."""
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"The translation of ""I am Sierra Leonean"" into German is ""Ich bin sierraleonisch."""
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"The translation of ""I am Salvadoran"" into German is ""Ich bin Salvadorianer"" (if you are male) or ""Ich bin Salvadorianerin"" (if you are female)."
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,"The translation of ""I am Sammarinese"" into German is ""Ich bin Sanmarineser."""
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"The translation of ""I am Somali"" into German is ""Ich bin Somalier"" (if you are male) or ""Ich bin Somalierin"" (if you are female)."
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"The translation of ""I am Serbian"" into German is ""Ich bin Serbe"" (if you are male) or ""Ich bin Serbin"" (if you are female)."
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"The translation of ""I am South Sudanese"" into German is ""Ich bin Südsudanese"" (if you are male) or ""Ich bin Südsudanesin"" (if you are female)."
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"The translation of ""I am Sao Tomean"" into German is ""Ich bin São-Tomeaner."""
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"The translation of ""I am Surinamer"" into German is ""Ich bin Surinamer."" If you are female, you would say ""Ich bin Surinamerin."""
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"The translation of ""I am Slovak"" into German is ""Ich bin Slowake"" (if you are male) or ""Ich bin Slowakin"" (if you are female)."
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"The translation of ""I am Slovene"" into German is ""Ich bin Slowene"" (if you are male) or ""Ich bin Slowenin"" (if you are female)."
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"The translation of ""I am Swedish"" into German is ""Ich bin Schwede"" (if you are male) or ""Ich bin Schwedin"" (if you are female)."
I am Swazi.,,,Ich bin Swasi.,"The translation of ""I am Swazi"" into German is ""Ich bin Swazi."""
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"The translation of ""I am Seychellois"" into German is ""Ich bin Seychellois."" If you are female, you would say ""Ich bin Seychelloiserin."""
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"The translation of ""I am Syrian"" into German is ""Ich bin Syrer"" (if you are male) or ""Ich bin Syrerin"" (if you are female)."
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,"The translation of ""I am Chadian"" into German is ""Ich bin Tschader."""
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"The translation of ""I am Togolese"" into German is ""Ich bin Togolese."""
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,"The translation of ""I am Thai"" into German is ""Ich bin Thai."""
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,"The translation of ""I am Tadzhik"" into German is ""Ich bin Tadschike."""
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"The translation of ""I am Turkmen"" into German is ""Ich bin Turkmene"" (if you are male) or ""Ich bin Turkmenin"" (if you are female)."
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"The translation of ""I am East Timorese"" into German is ""Ich bin osttimoresisch."""
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,"The translation of ""I am Tongan"" into German is ""Ich bin Tonganer."""
I am Trinidadian.,,,,"The translation of ""I am Trinidadian"" into German is ""Ich bin Trinidadier"" (for a male speaker) or ""Ich bin Trinidadierin"" (for a female speaker)."
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"The translation of ""I am Tunisian"" into German is ""Ich bin Tunesier"" (if you are male) or ""Ich bin Tunesierin"" (if you are female)."
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"The translation of ""I am Turkish"" into German is ""Ich bin Türke"" (if you are male) or ""Ich bin Türkin"" (if you are female)."
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"The translation of ""I am Tuvaluan"" into German is ""Ich bin Tuvaluer."""
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"The translation of ""I am Tanzanian"" into German is ""Ich bin Tansanier"" (if you are male) or ""Ich bin Tansanierin"" (if you are female)."
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,"The translation of ""I am Ugandan"" into German is ""Ich bin Ugander."""
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"The translation of ""I am Ukrainian"" into German is ""Ich bin Ukrainer"" (if you are male) or ""Ich bin Ukrainerin"" (if you are female)."
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"The translation of ""I am Uruguayan"" into German is ""Ich bin Uruguayer"" (if you are male) or ""Ich bin Uruguayerin"" (if you are female)."
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"The translation of ""I am American"" into German is ""Ich bin Amerikaner"" (if you are male) or ""Ich bin Amerikanerin"" (if you are female)."
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"The translation of ""I am Uzbekistani"" into German is ""Ich bin Usbekistani."""
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"The translation of ""I am Saint Vincentian"" into German is ""Ich bin Saint Vincentianer."""
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"The translation of ""I am Venezuelan"" into German is ""Ich bin Venezolaner"" (if you are male) or ""Ich bin Venezolanerin"" (if you are female)."
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"The translation of ""I am Vietnamese"" into German is ""Ich bin Vietnamesisch."" If you want to specify that you are a Vietnamese person, you can say ""Ich bin Vietnamese"" (for males) or ""Ich bin Vietnamesin"" (for females)."
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,"The translation of ""I am Ni-Vanuatu"" into German is ""Ich bin Ni-Vanuatu."""
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"The translation of ""I am Samoan"" into German is ""Ich bin Samoaner"" (if you are male) or ""Ich bin Samoanerin"" (if you are female)."
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"The translation of ""I am Yemeni"" into German is ""Ich bin Jemenit."""
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"The translation of ""I am South African"" into German is ""Ich bin Südafrikaner"" (if you are male) or ""Ich bin Südafrikanerin"" (if you are female)."
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,"The translation of ""I am Zambian"" into German is ""Ich bin Sambier."""
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"The translation of ""I am Zimbabwean"" into German is ""Ich bin Simbabweaner"" (for a male speaker) or ""Ich bin Simbabweanerin"" (for a female speaker)."
