eng,deu_m,deu_f,deu_n,output
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,"The translation of ""I am Sammarinese"" into German is ""Ich bin Sanmarinese."""
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"The translation of ""I am Somali"" into German is ""Ich bin Somali."""
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"The translation of ""I am Serbian"" into German is ""Ich bin Serbe"" if you are male, or ""Ich bin Serbin"" if you are female."
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"The translation of ""I am South Sudanese"" into German is ""Ich bin Südsudanese"" for a male or ""Ich bin Südsudanesin"" for a female."
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"The translation of ""I am Sao Tomean"" into German is ""Ich bin São-Toméer."""
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"The translation of ""I am Surinamer"" into German is ""Ich bin Surinamer."""
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"The translation of ""I am Slovak"" into German is ""Ich bin Slowake"" if you are male, or ""Ich bin Slowakin"" if you are female."
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"The translation of ""I am Slovene"" into German is ""Ich bin Slowene"" if you are male, or ""Ich bin Slowenin"" if you are female."
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"The translation of ""I am Swedish"" into German is ""Ich bin Schwede"" if you are male, or ""Ich bin Schwedin"" if you are female."
I am Swazi.,,,Ich bin Swasi.,"The translation of ""I am Swazi"" into German is ""Ich bin Swasi."""
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"The translation of ""I am Seychellois"" into German is ""Ich bin Seychellois."""
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"The translation of ""I am Syrian"" into German is ""Ich bin Syrer"" for a male or ""Ich bin Syrerin"" for a female."
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,"The translation of ""I am Chadian"" into German is ""Ich bin Tschader"" for a male or ""Ich bin Tschaderin"" for a female."
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"The translation of ""I am Togolese"" into German is ""Ich bin Togolese."""
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,"The translation of ""I am Thai"" into German is ""Ich bin Thailänder"" for a male or ""Ich bin Thailänderin"" for a female."
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,"The translation of ""I am Tadzhik"" into German is ""Ich bin Tadschike"" if you are male, or ""Ich bin Tadschikin"" if you are female."
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"The translation of ""I am Turkmen"" into German is ""Ich bin Turkmene"" for a male or ""Ich bin Turkmenin"" for a female."
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"The translation of ""I am East Timorese"" into German is ""Ich bin Osttimorese"" for a male speaker or ""Ich bin Osttimoresin"" for a female speaker."
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,"The translation of ""I am Tongan"" into German is ""Ich bin Tongaer."""
I am Trinidadian.,,,,"The translation of ""I am Trinidadian"" into German is ""Ich bin Trinidadier"" for a male or ""Ich bin Trinidadierin"" for a female."
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"The translation of ""I am Tunisian"" into German is ""Ich bin Tunesier"" for a male speaker or ""Ich bin Tunesierin"" for a female speaker."
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"The translation of ""I am Turkish"" into German is ""Ich bin Türke"" if you are male, or ""Ich bin Türkin"" if you are female."
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"The translation of ""I am Tuvaluan"" into German is ""Ich bin Tuvaluer."""
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"The translation of ""I am Tanzanian"" into German is ""Ich bin Tansanier"" for a male or ""Ich bin Tansanierin"" for a female."
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,"The translation of ""I am Ugandan"" into German is ""Ich bin Ugander"" if you are male, or ""Ich bin Uganderin"" if you are female."
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"The translation of ""I am Ukrainian"" into German is ""Ich bin Ukrainer"" for a male speaker or ""Ich bin Ukrainerin"" for a female speaker."
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"The translation of ""I am Uruguayan"" into German is ""Ich bin Uruguayer."""
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"The translation of ""I am American"" into German is ""Ich bin Amerikaner"" if you are male, or ""Ich bin Amerikanerin"" if you are female."
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"The translation of ""I am Uzbekistani"" into German is ""Ich bin Usbeke"" for a male or ""Ich bin Usbekin"" for a female."
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"The translation of ""I am Saint Vincentian"" into German is ""Ich bin Vincentier."""
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"The translation of ""I am Venezuelan"" into German is ""Ich bin Venezolaner"" for a male or ""Ich bin Venezolanerin"" for a female."
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"The translation of ""I am Vietnamese"" into German is ""Ich bin Vietnamese"" for a male speaker or ""Ich bin Vietnamesin"" for a female speaker."
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,"The translation of ""I am Ni-Vanuatu"" into German is ""Ich bin Ni-Vanuatu."""
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"The translation of ""I am Samoan"" into German is ""Ich bin Samoaner"" for a male or ""Ich bin Samoanerin"" for a female."
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"The translation of ""I am Yemeni"" into German is ""Ich bin Jemenit"" for a male or ""Ich bin Jemenitin"" for a female."
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"The translation of ""I am South African"" into German is ""Ich bin Südafrikaner"" for a male or ""Ich bin Südafrikanerin"" for a female."
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,"The translation of ""I am Zambian"" into German is ""Ich bin Sambier."""
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"The translation of ""I am Zimbabwean"" into German is ""Ich bin Simbabwer"" for a male or ""Ich bin Simbabwerin"" for a female."
