eng,fra_m,fra_f,fra_n,output
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,"The translation of ""I am Slovak"" into French is ""Je suis Slovaque."""
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,"The translation of ""I am Slovene"" into French is ""Je suis Slovène."""
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"The translation of ""I am Swedish"" into French is ""Je suis suédois"" if you are male, or ""Je suis suédoise"" if you are female."
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"The translation of ""I am Swazi"" into French is ""Je suis Swazi."""
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"The translation of ""I am Seychellois"" into French is ""Je suis Seychellois."""
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"The translation of ""I am Syrian"" into French is ""Je suis Syrien"" if you are male, or ""Je suis Syrienne"" if you are female."
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"The translation of ""I am Chadian"" into French is ""Je suis Tchadien"" if you are male, or ""Je suis Tchadienne"" if you are female."
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"The translation of ""I am Togolese"" into French is ""Je suis Togolais"" if you are male, or ""Je suis Togolaise"" if you are female."
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"The translation of ""I am Thai"" into French is ""Je suis Thaïlandais"" if you are male, or ""Je suis Thaïlandaise"" if you are female."
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,"The translation of ""I am Tadzhik"" into French is ""Je suis Tadjik."""
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,"The translation of ""I am Turkmen"" into French is ""Je suis Turkmène."""
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"The translation of ""I am East Timorese"" into French is ""Je suis Est-Timorais"" for a male speaker or ""Je suis Est-Timoraise"" for a female speaker."
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"The translation of ""I am Tongan"" into French is ""Je suis Tongien"" if you are male, or ""Je suis Tongienne"" if you are female."
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"The translation of ""I am Trinidadian"" into French is ""Je suis Trinidadien"" if you are male, or ""Je suis Trinidadienne"" if you are female."
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"The translation of ""I am Tunisian"" into French is ""Je suis Tunisien"" if you are male, or ""Je suis Tunisienne"" if you are female."
I am Turkish.,Je suis Turc.,Je suis Turque.,,"The translation of ""I am Turkish"" into French is ""Je suis turc"" if you are male, or ""Je suis turque"" if you are female."
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"The translation of ""I am Tuvaluan"" into French is ""Je suis Tuvaluan."""
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"The translation of ""I am Tanzanian"" into French is ""Je suis Tanzanien"" if you are male, or ""Je suis Tanzanienne"" if you are female."
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"The translation of ""I am Ugandan"" into French is ""Je suis Ougandais"" if you are male, or ""Je suis Ougandaise"" if you are female."
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"The translation of ""I am Ukrainian"" into French is ""Je suis Ukrainien"" if you are male, or ""Je suis Ukrainienne"" if you are female."
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"The translation of ""I am Uruguayan"" into French is ""Je suis Uruguayen"" if you are male, or ""Je suis Uruguayenne"" if you are female."
I am American.,Je suis Américain.,Je suis Américaine.,,"The translation of ""I am American"" into French is ""Je suis américain"" if you are male, or ""Je suis américaine"" if you are female."
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"The translation of ""I am Uzbekistani"" into French is ""Je suis Ouzbek."""
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"The translation of ""I am Saint Vincentian"" into French is ""Je suis Saint-Vincentais."""
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"The translation of ""I am Venezuelan"" into French is ""Je suis Vénézuélien"" if you are male, or ""Je suis Vénézuélienne"" if you are female."
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"The translation of ""I am Vietnamese"" into French is ""Je suis vietnamien"" if you are male, or ""Je suis vietnamienne"" if you are female."
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,"The translation of ""I am Ni-Vanuatu"" into French is ""Je suis Ni-Vanuatu."""
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,"The translation of ""I am Samoan"" into French is ""Je suis Samoan"" if you are male, or ""Je suis Samoane"" if you are female."
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,"The translation of ""I am Yemeni"" into French is ""Je suis Yéménite."""
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"The sentence ""I am South African"" can be translated into French as ""Je suis Sud-Africain"" if you are male, or ""Je suis Sud-Africaine"" if you are female."
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"The translation of ""I am Zambian"" into French is ""Je suis Zambien"" if you are male, or ""Je suis Zambienne"" if you are female."
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"The translation of ""I am Zimbabwean"" into French is ""Je suis Zimbabwéen"" if you are male, or ""Je suis Zimbabwéenne"" if you are female."
