eng,spa_m,spa_f,spa_n,output
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"The translation of ""I am Uruguayan"" into Spanish is ""Soy uruguayo"" (if you are male) or ""Soy uruguaya"" (if you are female)."
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"The translation of ""I am American"" into Spanish is ""Soy estadounidense."""
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"The translation of ""I am Uzbekistani"" into Spanish is ""Soy uzbeko."""
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"The translation of ""I am Saint Vincentian"" into Spanish is ""Soy sanvicentino."""
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"The translation of ""I am Venezuelan"" into Spanish is ""Soy venezolano"" (if you are male) or ""Soy venezolana"" (if you are female)."
I am Vietnamese.,,,Soy vietnamita.,"The translation of ""I am Vietnamese"" into Spanish is ""Soy vietnamita."""
I am Ni-Vanuatu.,,,Soy vanuatuense.,"The translation of ""I am Ni-Vanuatu"" into Spanish is ""Soy ni-vanuatu."""
I am Samoan.,Soy samoano.,Soy samoana.,,"The translation of ""I am Samoan"" into Spanish is ""Soy samoano"" (if you are male) or ""Soy samoana"" (if you are female)."
I am Yemeni.,,,Soy yemení.,"The translation of ""I am Yemeni"" into Spanish is ""Soy yemení."""
I am South African.,Soy sudafricano.,Soy sudafricana.,,"The translation of ""I am South African"" into Spanish is ""Soy sudafricano"" (if you are male) or ""Soy sudafricana"" (if you are female)."
I am Zambian.,Soy zambiano.,Soy zambiana.,,"The translation of ""I am Zambian"" into Spanish is ""Soy zambiano"" if you are male, or ""Soy zambiana"" if you are female."
I am Zimbabwean.,,,Soy zimbabuense.,"The translation of ""I am Zimbabwean"" into Spanish is ""Soy zimbabuense."""
