eng,fra_m,fra_f,fra_n,output
I am Iranian.,Je suis Iranien.,Je suis Iranienne.,,"[TextBlock(text='Sure, here is the translation of ""I am Iranian"" in French:\n\nJe suis iranien. (masculine)\nJe suis iranienne. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they refer to. ""Iranien"" is used for a male, while ""iranienne"" is used for a female.', type='text')]"
I am Iraqi.,Je suis Irakien.,Je suis Irakienne.,,"[TextBlock(text='In French, ""I am Iraqi"" is translated as:\n\nJe suis irakien. (masculine)\nJe suis irakienne. (feminine)\n\nThe adjective ""irakien"" changes depending on the gender of the speaker. If the speaker is male, you use ""irakien,"" and if the speaker is female, you use ""irakienne.""', type='text')]"
I am Icelander.,Je suis Islandais.,Je suis Islandaise.,,"[TextBlock(text='The French translation of ""I am Icelander"" is:\n\nJe suis islandais. (masculine)\nJe suis islandaise. (feminine)\n\nIn French, adjectives of nationality typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis islandais,"" and if you are a woman, you would say ""Je suis islandaise.""', type='text')]"
I am Israeli.,Je suis Israélien.,Je suis Israélienne.,,"[TextBlock(text='In French, ""I am Israeli"" translates to:\n\nJe suis israélien. (masculine)\nJe suis israélienne. (feminine)\n\nThe adjective ""israélien"" changes depending on the gender of the speaker. If the speaker is male, you use ""israélien,"" and if the speaker is female, you use ""israélienne.""', type='text')]"
I am Italian.,Je suis Italien.,Je suis Italienne.,,"[TextBlock(text='Sure, here is the French translation of ""I am Italian"":\n\nJe suis italien. (masculine)\nJe suis italienne. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they are describing. If you are a man, you would say ""Je suis italien,"" and if you are a woman, you would say ""Je suis italienne.""', type='text')]"
I am Jamaican.,Je suis Jamaïcain.,Je suis Jamaïcaine.,,"[TextBlock(text='Sure! The French translation of ""I am Jamaican"" is:\n\nJe suis jamaïcain. (masculine)\nJe suis jamaïcaine. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis jamaïcain,"" and if you are a woman, you would say ""Je suis jamaïcaine.""', type='text')]"
I am Jordanian.,Je suis Jordanien.,Je suis Jordanienne.,,"[TextBlock(text='Sure! The French translation of ""I am Jordanian"" is:\n\nJe suis jordanien. (masculine)\nJe suis jordanienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis jordanien,"" and if you are a woman, you would say ""Je suis jordanienne.""', type='text')]"
I am Japanese.,Je suis Japonais.,Je suis Japonaise.,,"[TextBlock(text='Sure, here is the French translation of ""I am Japanese"":\n\nJe suis japonais. (masculine)\nJe suis japonaise. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis japonais,"" and if you are a woman, you would say ""Je suis japonaise.""', type='text')]"
I am Kazakhstani.,Je suis Kazakhstanais.,Je suis Kazakhstanaise.,,"[TextBlock(text='In French, ""I am Kazakhstani"" is translated as:\n\nJe suis Kazakhstanais. (masculine)\nJe suis Kazakhstanaise. (feminine)\n\nThe adjective ""Kazakhstanais(e)"" agrees with the gender of the speaker. If you are a man, you would say ""Kazakhstanais,"" and if you are a woman, you would say ""Kazakhstanaise.""', type='text')]"
I am Kenyan.,Je suis Kényan.,Je suis Kényane.,,"[TextBlock(text='Sure! The French translation of ""I am Kenyan"" is:\n\nJe suis Kényan. (masculine)\nJe suis Kényane. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis Kényan,"" and if you are a woman, you would say ""Je suis Kényane.""', type='text')]"
I am Kirghiz.,Je suis Kirghize.,Je suis Kirghize.,,"[TextBlock(text='In French, ""I am Kirghiz"" can be translated as:\n\nJe suis Kirghize.\n\nNote: In French, nationalities and languages are typically not capitalized, except when they are used as proper nouns or at the beginning of a sentence.', type='text')]"
I am Cambodian.,Je suis Cambodgien.,Je suis Cambodgienne.,,"[TextBlock(text='In French, ""I am Cambodian"" is translated as:\n\nJe suis cambodgien. (masculine)\nJe suis cambodgienne. (feminine)\n\nThe ending of the adjective ""cambodgien(ne)"" changes depending on the gender of the speaker. If the speaker is male, use ""cambodgien,"" and if the speaker is female, use ""cambodgienne.""', type='text')]"
I am I-Kiribati.,Je suis Kiribatien.,Je suis Kiribatienne.,,"[TextBlock(text='In French, ""I am I-Kiribati"" can be translated as:\n\nJe suis gilbertin(e).\n\nNote:\n- ""Gilbertin(e)"" is the French term for a person from Kiribati, referring to the Gilbert Islands, which is the main island group of Kiribati.\n- The ending ""(e)"" is added in parentheses to indicate that the feminine form would be ""gilbertine"" when', type='text')]"
I am Kittitian or Nevisian.,Je suis Kittitien-et-nevicien.,Je suis Kittitienne-et-nevicienne.,,"[TextBlock(text='In French, the sentence ""I am Kittitian or Nevisian"" can be translated as:\n\nJe suis Kittitien ou Névisien. (masculine)\nJe suis Kittitienne ou Névisienne. (feminine)\n\nNote that the adjectives change depending on the gender of the speaker. Kittitien/Kittitienne and Névisien/Névisienne are the French demonyms', type='text')]"
I am South Korean.,Je suis Sud-coréen.,Je suis Sud-coréenne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am South Korean"" in French:\n\nJe suis sud-coréen. (masculine)\nJe suis sud-coréenne. (feminine)\n\nIn French, adjectives typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis sud-coréen,"" and if you are a woman, you would say ""Je suis sud-coréenne.""', type='text')]"
I am Kuwaiti.,Je suis Koweïtien.,Je suis Koweïtienne.,,"[TextBlock(text='In French, ""I am Kuwaiti"" is translated as:\n\nJe suis koweïtien. (masculine)\nJe suis koweïtienne. (feminine)\n\nThe adjective ""koweïtien"" (masculine) or ""koweïtienne"" (feminine) agrees with the gender of the speaker.', type='text')]"
I am Laotian.,Je suis Laotien.,Je suis Laotienne.,,"[TextBlock(text='In French, ""I am Laotian"" is translated as:\n\nJe suis laotien. (masculine)\nJe suis laotienne. (feminine)\n\nThe adjective ""laotien"" changes depending on the gender of the speaker. If you are a man, you would say ""laotien,"" and if you are a woman, you would say ""laotienne.""', type='text')]"
I am Lebanese.,Je suis Libanais.,Je suis Libanaise.,,"[TextBlock(text='Sure! The French translation of ""I am Lebanese"" is:\n\nJe suis libanais. (masculine)\nJe suis libanaise. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis libanais,"" and if you are a woman, you would say ""Je suis libanaise.""', type='text')]"
I am Liberian.,Je suis Libérien.,Je suis Libérienne.,,"[TextBlock(text='In French, ""I am Liberian"" is translated as:\n\nJe suis libérien. (masculine)\nJe suis libérienne. (feminine)\n\nThe adjective ""libérien"" changes depending on the gender of the speaker. If the speaker is male, you use ""libérien,"" and if the speaker is female, you use ""libérienne.""', type='text')]"
I am Libyan.,Je suis Libyen.,Je suis Libyenne.,,"[TextBlock(text='In French, ""I am Libyan"" is translated as:\n\nJe suis libyen. (masculine)\nJe suis libyenne. (feminine)\n\nThe adjective ""libyen"" changes depending on the gender of the speaker. If the speaker is male, use ""libyen,"" and if the speaker is female, use ""libyenne.""', type='text')]"
I am Saint Lucian.,Je suis Saint-Lucien.,Je suis Saint-Lucienne.,,"[TextBlock(text='In French, ""I am Saint Lucian"" can be translated as:\n\nJe suis Saint-Lucien. (masculine)\nJe suis Saint-Lucienne. (feminine)\n\nNote that the adjective ""Saint-Lucien"" changes depending on the gender of the speaker. If you are a man, you would say ""Saint-Lucien,"" and if you are a woman, you would say ""Saint-Lucienne.""', type='text')]"
I am Liechtensteiner.,Je suis Liechtensteinois.,Je suis Liechtensteinoise.,,"[TextBlock(text='The French translation of ""I am Liechtensteiner"" is:\n\nJe suis Liechtensteinois.\n\nNote: In French, the demonym (a word that identifies a person\'s place of origin or nationality) for a person from Liechtenstein is ""Liechtensteinois"" (masculine) or ""Liechtensteinoise"" (feminine). The sentence above assumes the speaker is male. If the speaker is female, the sentence woul', type='text')]"
I am Sri Lankan.,Je suis Sri-lankais.,Je suis Sri-lankaise.,,"[TextBlock(text='In French, ""I am Sri Lankan"" is translated as:\n\nJe suis sri-lankais. (masculine)\nJe suis sri-lankaise. (feminine)\n\nThe adjective ""sri-lankais(e)"" agrees in gender with the subject. If the speaker is male, use ""sri-lankais,"" and if the speaker is female, use ""sri-lankaise.""', type='text')]"
I am Mosotho.,Je suis Lésothien.,Je suis Lésothienne.,,"[TextBlock(text='In French, ""I am Mosotho"" can be translated as:\n\nJe suis Mosotho.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" which means ""to be""\n- ""Mosotho"" is the name of the ethnic group, which remains the same in French.', type='text')]"
I am Lithuanian.,Je suis Lituanien.,Je suis Lituanienne.,,"[TextBlock(text='In French, ""I am Lithuanian"" is:\n\nJe suis lituanien. (masculine)\nJe suis lituanienne. (feminine)\n\nThe ending of the adjective ""lituanien(ne)"" changes depending on the gender of the speaker. If the speaker is male, you use ""lituanien,"" and if the speaker is female, you use ""lituanienne.""', type='text')]"
I am Luxembourger.,Je suis Luxembourgeois.,Je suis Luxembourgeoise.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Luxembourger"" in French:\n\nJe suis Luxembourgeois.\n\nNote that in French, the word ""Luxembourgeois"" changes depending on the gender of the person:\n\n- For a male: Luxembourgeois\n- For a female: Luxembourgeoise\n\nSo, if you are a woman, you would say: ""Je suis Luxembourgeoise.""', type='text')]"
I am Latvian.,Je suis Letton.,Je suis Lettone.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Latvian"" in French:\n\nJe suis letton. (masculine)\nJe suis lettone. (feminine)\n\nIn French, adjectives of nationality usually have different forms for masculine and feminine. ""Letton"" is used when referring to a male, while ""lettone"" is used for a female.', type='text')]"
I am Moroccan.,Je suis Marocain.,Je suis Marocaine.,,"[TextBlock(text='In French, ""I am Moroccan"" is translated as:\n\nJe suis marocain. (masculine)\nJe suis marocaine. (feminine)\n\nThe ending of the adjective ""marocain(e)"" changes depending on the gender of the speaker. If the speaker is male, use ""marocain,"" and if the speaker is female, use ""marocaine.""', type='text')]"
I am Monegasque.,Je suis Monégasque.,Je suis Monégasque.,,"[TextBlock(text='In French, ""I am Monegasque"" is translated as:\n\nJe suis Monégasque.\n\nNote that ""Monégasque"" is both the masculine and feminine form of the adjective in French.', type='text')]"
I am Moldovan.,Je suis Moldave.,Je suis Moldave.,,"[TextBlock(text='In French, ""I am Moldovan"" is translated as:\n\nJe suis moldave.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first person singular form of the verb ""être"" (to be)\n- ""moldave"" is the French adjective for ""Moldovan""', type='text')]"
I am Malagasy.,Je suis Malgache.,Je suis Malgache.,,"[TextBlock(text='Sure! The French translation of ""I am Malagasy"" is:\n\nJe suis malgache.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular form of the verb ""être"" (to be)\n- ""malgache"" is the French word for ""Malagasy""', type='text')]"
I am Maldivan.,Je suis Maldivien.,Je suis Maldivienne.,,"[TextBlock(text='Sure, here is the French translation of ""I am Maldivan"":\n\nJe suis maldivien. (masculine)\nJe suis maldivienne. (feminine)\n\nIn French, adjectives of nationality usually have different forms for masculine and feminine subjects. If you are a man, you would say ""Je suis maldivien,"" and if you are a woman, you would say ""Je suis maldivienne.""', type='text')]"
I am Mexican.,Je suis Mexicain.,Je suis Mexicaine.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Mexican"" in French:\n\nJe suis mexicain. (masculine)\nJe suis mexicaine. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis mexicain,"" and if you are a woman, you would say ""Je suis mexicaine.""', type='text')]"
I am Marshallese.,Je suis Marshallais.,Je suis Marshallaise.,,"[TextBlock(text='The French translation of ""I am Marshallese"" is:\n\nJe suis marshallais. (masculine)\nJe suis marshallaise. (feminine)\n\nIn French, adjectives of nationality usually have different forms for masculine and feminine subjects. Since ""I"" (je) doesn\'t indicate the gender of the speaker, both forms are provided.', type='text')]"
I am Macedonian.,Je suis Macédonien.,Je suis Macédonienne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Macedonian"" in French:\n\nJe suis macédonien. (masculine)\nJe suis macédonienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis macédonien,"" and if you are a woman, you would say ""Je suis macédonienne.""', type='text')]"
I am Malian.,Je suis Malien.,Je suis Malienne.,,"[TextBlock(text='In French, ""I am Malian"" is translated as:\n\nJe suis Malien. (masculine)\nJe suis Malienne. (feminine)\n\nThe adjective ""Malien"" changes depending on the gender of the speaker. If the speaker is male, use ""Malien,"" and if the speaker is female, use ""Malienne.""', type='text')]"
I am Maltese.,Je suis Maltais.,Je suis Maltaise.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Maltese"" in French:\n\nJe suis maltais. (masculine)\nJe suis maltaise. (feminine)\n\nIn French, adjectives typically agree with the gender of the person or noun they describe. So, if you are a man, you would say ""Je suis maltais,"" and if you are a woman, you would say ""Je suis maltaise.""', type='text')]"
I am Burmese.,Je suis Birman.,Je suis Birmane.,,"[TextBlock(text='In French, ""I am Burmese"" is translated as:\n\nJe suis birman. (masculine)\nJe suis birmane. (feminine)\n\nThe adjective ""birman"" changes depending on the gender of the speaker. If the speaker is male, use ""birman,"" and if the speaker is female, use ""birmane.""', type='text')]"
I am Montenegrin.,Je suis Monténégrin.,Je suis Monténégrine.,,"[TextBlock(text='Sure! The French translation of ""I am Montenegrin"" is:\n\nJe suis monténégrin. (masculine)\nJe suis monténégrine. (feminine)\n\nIn French, adjectives of nationality usually have different forms for masculine and feminine, so the correct form depends on the gender of the speaker.', type='text')]"
I am Mongolian.,Je suis Mongol.,Je suis Mongole.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Mongolian"" in French:\n\nJe suis mongol(e).\n\nNote: In French, adjectives often change their form to agree with the gender of the person they describe. If you are a male, you would say ""Je suis mongol,"" and if you are a female, you would say ""Je suis mongole.""', type='text')]"
I am Mozambican.,Je suis Mozambicain.,Je suis Mozambicaine.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Mozambican"" in French:\n\nJe suis Mozambicain. (masculine)\nJe suis Mozambicaine. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis Mozambicain,"" and if you are a woman, you would say ""Je suis Mozambicaine.""', type='text')]"
I am Mauritanian.,Je suis Mauritanien.,Je suis Mauritanienne.,,"[TextBlock(text='In French, ""I am Mauritanian"" is translated as:\n\nJe suis mauritanien. (masculine)\nJe suis mauritanienne. (feminine)\n\nThe adjective ""mauritanien"" changes depending on the gender of the speaker. If the speaker is male, use ""mauritanien,"" and if the speaker is female, use ""mauritanienne.""', type='text')]"
I am Mauritian.,Je suis Mauricien.,Je suis Mauricienne.,,"[TextBlock(text='In French, ""I am Mauritian"" is translated as:\n\nJe suis Mauricien. (masculine)\nJe suis Mauricienne. (feminine)\n\nThe adjective ""Mauricien"" changes depending on the gender of the speaker. If you are a man, you would say ""Je suis Mauricien,"" and if you are a woman, you would say ""Je suis Mauricienne.""', type='text')]"
I am Malawian.,Je suis Malawien.,Je suis Malawienne.,,"[TextBlock(text='In French, ""I am Malawian"" is translated as:\n\nJe suis Malawien. (masculine)\nJe suis Malawienne. (feminine)\n\nThe adjective ""Malawien"" changes depending on the gender of the speaker. If the speaker is male, use ""Malawien,"" and if the speaker is female, use ""Malawienne.""', type='text')]"
I am Malaysian.,Je suis Malaisien.,Je suis Malaisienne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Malaysian"" in French:\n\nJe suis malaisien. (masculine)\nJe suis malaisienne. (feminine)\n\nIn French, adjectives typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis malaisien,"" and if you are a woman, you would say ""Je suis malaisienne.""', type='text')]"
I am Namibian.,Je suis Namibien.,Je suis Namibienne.,,"[TextBlock(text='Sure! The French translation of ""I am Namibian"" is:\n\nJe suis namibien. (masculine)\nJe suis namibienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis namibien,"" and if you are a woman, you would say ""Je suis namibienne.""', type='text')]"
I am Nigerien.,Je suis Nigérien.,Je suis Nigérienne.,,"[TextBlock(text='The French translation of ""I am Nigerien"" is:\n\nJe suis Nigérien. (masculine)\nJe suis Nigérienne. (feminine)\n\nNote that the adjective ""Nigérien"" changes depending on the gender of the speaker. If the speaker is male, use ""Nigérien,"" and if the speaker is female, use ""Nigérienne.""', type='text')]"
I am Nigerian.,Je suis Nigérian.,Je suis Nigériane.,,"[TextBlock(text='Sure! The French translation of ""I am Nigerian"" is:\n\nJe suis nigérian. (masculine)\nJe suis nigériane. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis nigérian,"" and if you are a woman, you would say ""Je suis nigériane.""', type='text')]"
I am Nicaraguan.,Je suis Nicaraguayen.,Je suis Nicaraguayenne.,,"[TextBlock(text='Sure, here is the translation of ""I am Nicaraguan"" in French:\n\nJe suis nicaraguayen. (masculine)\nJe suis nicaraguayenne. (feminine)\n\nIn French, adjectives of nationality usually agree in gender with the subject. So, if the speaker is a man, you would use ""nicaraguayen,"" and if the speaker is a woman, you would use ""nicaraguayenne.""', type='text')]"
I am Dutch.,Je suis Néerlandais.,Je suis Néerlandaise.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Dutch"" in French:\n\nJe suis néerlandais. (masculine)\nJe suis néerlandaise. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they refer to. ""Néerlandais"" is the masculine form, and ""néerlandaise"" is the feminine form.', type='text')]"
I am Norwegian.,Je suis Norvégien.,Je suis Norvégienne.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Norwegian"" in French:\n\nJe suis norvégien. (masculine)\nJe suis norvégienne. (feminine)\n\nIn French, adjectives agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis norvégien,"" and if you are a woman, you would say ""Je suis norvégienne.""', type='text')]"
I am Nepalese.,Je suis Népalais.,Je suis Népalaise.,,"[TextBlock(text='In French, ""I am Nepalese"" is translated as:\n\nJe suis népalais. (masculine)\nJe suis népalaise. (feminine)\n\nThe adjective ""népalais(e)"" agrees in gender with the subject. If the speaker is male, use ""népalais,"" and if the speaker is female, use ""népalaise.""', type='text')]"
I am Nauruan.,Je suis Nauruan.,Je suis Nauruane.,,"[TextBlock(text='The French translation of ""I am Nauruan"" is:\n\nJe suis Nauruan. (masculine)\nJe suis Nauruane. (feminine)\n\nIn French, nationalities and adjectives often have different forms depending on the gender of the person they refer to. In this case, ""Nauruan"" is used for a man, and ""Nauruane"" is used for a woman.', type='text')]"
I am New Zealander.,Je suis Neo-Zélandais.,Je suis Neo-Zélandaise.,,"[TextBlock(text='Sure, here\'s the French translation of ""I am a New Zealander"":\n\nJe suis néo-zélandais. (masculine)\nJe suis néo-zélandaise. (feminine)\n\nIn French, the adjective ""néo-zélandais(e)"" changes depending on the gender of the speaker. If you are a man, you would say ""Je suis néo-zélandais,"" and if you are a', type='text')]"
I am Omani.,Je suis Omanais.,Je suis Omanaise.,,"[TextBlock(text='Sure! The French translation of ""I am Omani"" is:\n\nJe suis Omanais. (masculine)\nJe suis Omanaise. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis Omanais,"" and if you are a woman, you would say ""Je suis Omanaise.""', type='text')]"
I am Pakistani.,Je suis Pakistanais.,Je suis Pakistanaise.,,"[TextBlock(text='Sure, here\'s the translation of ""I am Pakistani"" in French:\n\nJe suis pakistanais. (masculine)\nJe suis pakistanaise. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis pakistanais,"" and if you are a woman, you would say ""Je suis pakistanaise.""', type='text')]"
I am Panamanian.,Je suis Panaméen.,Je suis Panaméenne.,,"[TextBlock(text='In French, ""I am Panamanian"" is translated as:\n\nJe suis panaméen. (masculine)\nJe suis panaméenne. (feminine)\n\nThe adjective ""panaméen"" changes depending on the gender of the speaker. If the speaker is male, use ""panaméen,"" and if the speaker is female, use ""panaméenne.""', type='text')]"
I am Peruvian.,Je suis Péruvien.,Je suis Péruvienne.,,"[TextBlock(text='Sure! The French translation of ""I am Peruvian"" is:\n\nJe suis péruvien. (masculine)\nJe suis péruvienne. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. Use ""péruvien"" if you identify as masculine and ""péruvienne"" if you identify as feminine.', type='text')]"
I am Filipino.,Je suis Philippin.,Je suis Philippine.,,"[TextBlock(text='Sure! The French translation of ""I am Filipino"" is:\n\nJe suis philippin. (masculine)\nJe suis philippine. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they describe. ""Philippin"" is used for a male, while ""philippine"" is used for a female.', type='text')]"
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,"[TextBlock(text='In French, ""I am Palauan"" can be translated as:\n\nJe suis Palaosien. (masculine)\nJe suis Palaosienne. (feminine)\n\nNote that the adjective ""Palauan"" is adapted to the French language and changes depending on the gender of the speaker. ""Palaosien"" is used for a male speaker, while ""Palaosienne"" is used for a female speaker.', type='text')]"
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"[TextBlock(text='In French, ""I am Papua New Guinean"" can be translated as:\n\nJe suis Papouasien-Néo-Guinéen. (masculine)\nJe suis Papouasienne-Néo-Guinéenne. (feminine)\n\nNote that the adjective ""Papouasien-Néo-Guinéen"" changes depending on the gender of the speaker. If you are a man, you woul', type='text')]"
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"[TextBlock(text='Sure, here\'s the French translation of ""I am Polish"":\n\nJe suis polonais. (masculine)\nJe suis polonaise. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. So, if you are a man, you would say ""Je suis polonais,"" and if you are a woman, you would say ""Je suis polonaise.""', type='text')]"
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,"[TextBlock(text='The French translation of ""I am North Korean"" is:\n\nJe suis nord-coréen. (masculine)\nJe suis nord-coréenne. (feminine)\n\nIn French, adjectives typically agree with the gender of the noun they modify. In this case, ""nord-coréen"" is the masculine form, and ""nord-coréenne"" is the feminine form of the adjective ""North Korean.""', type='text')]"
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"[TextBlock(text='Sure! The French translation of ""I am Portuguese"" is:\n\nJe suis portugais. (masculine)\nJe suis portugaise. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they refer to. If you are a man, you would say ""Je suis portugais,"" and if you are a woman, you would say ""Je suis portugaise.""', type='text')]"
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"[TextBlock(text='Sure! The French translation of ""I am Paraguayan"" is:\n\nJe suis paraguayen. (masculine)\nJe suis paraguayenne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis paraguayen,"" and if you are a woman, you would say ""Je suis paraguayenne.""', type='text')]"
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"[TextBlock(text='Sure! The French translation of ""I am Qatari"" is:\n\nJe suis Qatarien. (masculine)\nJe suis Qatarienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis Qatarien,"" and if you are a woman, you would say ""Je suis Qatarienne.""', type='text')]"
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"[TextBlock(text='Sure! The French translation of ""I am Romanian"" is:\n\nJe suis roumain. (masculine)\nJe suis roumaine. (feminine)\n\nIn French, adjectives of nationality agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Je suis roumain,"" and if you are a woman, you would say ""Je suis roumaine.""', type='text')]"
I am Russian.,Je suis Russe.,Je suis Russe.,,"[TextBlock(text='In French, ""I am Russian"" translates to:\n\nJe suis russe.\n\nHere\'s the breakdown:\n- ""Je"" means ""I""\n- ""suis"" is the first-person singular present tense conjugation of the verb ""être"" (to be)\n- ""russe"" means ""Russian""', type='text')]"
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,"[TextBlock(text='In French, ""I am Rwandan"" is translated as:\n\nJe suis rwandais(e).\n\nNote: In French, adjectives of nationality usually have different forms for masculine and feminine. If you are a man, you would say ""Je suis rwandais,"" and if you are a woman, you would say ""Je suis rwandaise.""', type='text')]"
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"[TextBlock(text='Sure, here is the translation of ""I am Saudi Arabian"" in French:\n\nJe suis saoudien. (masculine)\nJe suis saoudienne. (feminine)\n\nIn French, adjectives of nationality usually have different forms depending on the gender of the person they describe. ""Saoudien"" is used for a male, while ""saoudienne"" is used for a female.', type='text')]"
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,"[TextBlock(text='In French, ""I am Sudanese"" is translated as:\n\nJe suis Soudanais. (masculine)\nJe suis Soudanaise. (feminine)\n\nThe adjective ""Soudanais"" changes depending on the gender of the speaker. Use ""Soudanais"" if you are a male speaker and ""Soudanaise"" if you are a female speaker.', type='text')]"
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"[TextBlock(text='In French, ""I am Senegalese"" is translated as:\n\nJe suis Sénégalais. (masculine)\nJe suis Sénégalaise. (feminine)\n\nThe adjective ""Sénégalais(e)"" agrees in gender with the subject. If the speaker is male, use ""Sénégalais,"" and if the speaker is female, use ""Sénégalaise.""', type='text')]"
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"[TextBlock(text='Sure! The French translation of ""I am Singaporean"" is:\n\nJe suis Singapourien. (masculine)\nJe suis Singapourienne. (feminine)\n\nIn French, adjectives of nationality usually agree with the gender of the person they describe. Therefore, if you are a male, you would say ""Je suis Singapourien,"" and if you are a female, you would say ""Je suis Singapourienne', type='text')]"
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"[TextBlock(text='In French, the sentence ""I am Solomon Islander"" can be translated as:\n\nJe suis Salomonais.\n\nIf you are referring to a female Solomon Islander, you would say:\n\nJe suis Salomonaise.', type='text')]"
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"[TextBlock(text='In French, ""I am Sierra Leonean"" can be translated as:\n\nJe suis Sierra-Léonais. (masculine)\nJe suis Sierra-Léonaise. (feminine)\n\nThe adjective ""Sierra-Léonais(e)"" agrees with the gender of the speaker. If you are a man, use ""Sierra-Léonais,"" and if you are a woman, use ""Sierra-Léonaise.""', type='text')]"
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"[TextBlock(text='In French, ""I am Salvadoran"" is translated as:\n\nJe suis Salvadorien. (masculine)\nJe suis Salvadorienne. (feminine)\n\nThe adjective ""Salvadorien"" or ""Salvadorienne"" agrees with the gender of the speaker. Use ""Salvadorien"" if you identify as male and ""Salvadorienne"" if you identify as female.', type='text')]"
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"[TextBlock(text='The French translation of ""I am Sammarinese"" is:\n\nJe suis Saint-Marinais.\n\nIf you are referring to a female, you would say:\n\nJe suis Saint-Marinaise.\n\nNote that ""Saint-Marinais(e)"" is the French demonym for people from San Marino.', type='text')]"
