eng,spa_m,spa_f,spa_n,output
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy neozelandés"" (if you\'re male)\nor\n""Soy neozelandesa"" (if you\'re female)\n\nNote: The word ""neozelandés/neozelandesa"" refers to someone from New Zealand.', type='text')]"
I am Omani.,,,Soy omaní.,"[TextBlock(text='Here\'s the translation:\n\n""Soy omaní.""\n\nBreakdown:\n- ""Soy"" means ""I am""\n- ""Omaní"" means ""Omani""', type='text')]"
I am Pakistani.,,,Soy pakistaní.,"[TextBlock(text='Here\'s the translation:\n\n""Soy pakistaní.""', type='text')]"
I am Panamanian.,Soy panameño.,Soy panameña.,,"[TextBlock(text=""Here's the translation:\n\nSoy panameño. (if you're male)\nSoy panameña. (if you're female)"", type='text')]"
I am Peruvian.,Soy peruano.,Soy peruana.,,"[TextBlock(text=""Here's the translation:\n\nSoy peruano. (if you're a male)\nSoy peruana. (if you're a female)"", type='text')]"
I am Filipino.,Soy filipino.,Soy filipina.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy filipino.""\n\nNote: If you\'re a female, you would say ""Soy filipina.""', type='text')]"
I am Palauan.,Soy palauano.,Soy palauana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy palauano."" (if you\'re male)\n""Soy palauana."" (if you\'re female)\n\nNote: The translation depends on your gender, as Spanish adjectives change to match the gender of the speaker.', type='text')]"
I am Papua New Guinean.,,,Soy papú.,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Papúa Nueva Guinea.""\n\nOr alternatively:\n\n""Soy papuano/a."" (Note: ""papuano"" is masculine, ""papuana"" is feminine)', type='text')]"
I am Polish.,Soy polaco.,Soy polaca.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy polaco."" (if you\'re a male)\n""Soy polaca."" (if you\'re a female)', type='text')]"
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,"[TextBlock(text='Here\'s the translation:\n\n""Soy norcoreano."" (if you\'re male)\n""Soy norcoreana."" (if you\'re female)', type='text')]"
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"[TextBlock(text=""Here's the translation:\n\nSoy portugués. (if you're male)\nSoy portuguesa. (if you're female)"", type='text')]"
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"[TextBlock(text=""Here's the translation:\n\nSoy paraguayo. (if you're male)\nSoy paraguaya. (if you're female)"", type='text')]"
I am Qatari.,,,Soy qatarí.,"[TextBlock(text='In Spanish, ""I am Qatari"" would be:\n\n""Soy catarí""\n\nNote: ""Catarí"" is the Spanish adjective/noun used to describe someone from Qatar.', type='text')]"
I am Romanian.,Soy rumano.,Soy rumana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy rumano."" (if you\'re male)\n""Soy rumana."" (if you\'re female)', type='text')]"
I am Russian.,Soy ruso.,Soy rusa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy ruso."" (if you\'re a male)\n""Soy rusa."" (if you\'re a female)', type='text')]"
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy ruandés."" (if you\'re male)\n""Soy ruandesa."" (if you\'re female)', type='text')]"
I am Saudi Arabian.,,,Soy saudí.,"[TextBlock(text='Here\'s the translation:\n\n""Soy saudí"" or ""Soy árabe saudita""\n\nBoth translations are correct. ""Soy saudí"" is more concise, while ""Soy árabe saudita"" is slightly more descriptive.', type='text')]"
I am Sudanese.,,,Soy sudanés.,"[TextBlock(text='Here\'s the translation:\n\n""Soy sudanés."" (if you\'re male)\n""Soy sudanesa."" (if you\'re female)', type='text')]"
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy senegalés."" (if you\'re male)\n""Soy senegalesa."" (if you\'re female)', type='text')]"
I am Singaporean.,,,Soy singapurense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy singapurense."" \n\nOr alternatively:\n\n""Soy de Singapur.""\n\nBoth are correct ways to say ""I am Singaporean"" in Spanish.', type='text')]"
I am Solomon Islander.,,,Soy salomonense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy de las Islas Salomón"" or ""Soy isleño de Salomón""\n\nNote: The first translation is more commonly used and literally means ""I am from the Solomon Islands."" The second translation directly translates to ""I am a Solomon Islander.""', type='text')]"
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Sierra Leona.""\n\nAlternatively, you could also say:\n""Soy Sierra Leones/Sierra Leonesa"" (depending on your gender)', type='text')]"
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"[TextBlock(text=""Here's the translation:\n\nSoy salvadoreño. (if you're male)\nSoy salvadoreña. (if you're female)"", type='text')]"
I am Sammarinese.,,,Soy sanmarinense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy sanmarinense.""\n\nNote: ""Sanmarinense"" is the Spanish term for someone from San Marino.', type='text')]"
I am Somali.,,,Soy somalí.,"[TextBlock(text='Here\'s the translation:\n\n""Soy somalí.""\n\nPronunciation: ""Soy so-ma-LÍ""', type='text')]"
I am Serbian.,Soy serbio.,Soy serbia.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy serbio."" (if you\'re male)\n""Soy Serbia."" (if you\'re female)', type='text')]"
I am South Sudanese.,,,Soy sursudanés.,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Sudán del Sur.""\n\nNote: This literally means ""I am from South Sudan."" If you want to emphasize your nationality more directly, you could also say:\n\n""Soy sudanés del sur"" (for a male speaker)\n""Soy sudanesa del sur"" (for a female speaker)', type='text')]"
I am Sao Tomean.,,,Soy santotomense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Santo Tomé y Príncipe.""\n\nNote: Since ""Sao Tomean"" refers to someone from the country of São Tomé and Príncipe, the most natural way to express this in Spanish is to say you are ""from"" that country.', type='text')]"
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy surinamés."" (if you\'re male)\n""Soy surinamesa."" (if you\'re female)\n\nNote: ""Surinamés/Surinamesa"" refers to someone from Suriname, a country in South America.', type='text')]"
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy eslovaco."" (if you\'re male)\n""Soy eslovaca."" (if you\'re female)', type='text')]"
I am Slovene.,Soy esloveno.,Soy eslovena.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy esloveno."" (if you\'re male)\n""Soy eslovena."" (if you\'re female)', type='text')]"
I am Swedish.,Soy sueco.,Soy sueca.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy sueco."" (if you\'re male)\n""Soy sueca."" (if you\'re female)', type='text')]"
I am Swazi.,,,Soy esuatiní.,"[TextBlock(text='Here\'s the translation:\n\n""Soy suazi.""\n\nNote: ""Suazi"" refers to someone from Eswatini (formerly known as Swaziland), and it\'s an adjective describing nationality.', type='text')]"
I am Seychellois.,,,Soy seychellense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy seychellense.""\n\nNote: ""Seychellois"" refers to someone from the Seychelles, and in Spanish, the term is ""seychellense.""', type='text')]"
I am Syrian.,Soy sirio.,Soy siria.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy sirio."" (if you\'re a male)\n""Soy siria."" (if you\'re a female)', type='text')]"
I am Chadian.,Soy chadiano.,Soy chadiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy chadiano."" (if you\'re male)\n""Soy chadiana."" (if you\'re female)', type='text')]"
I am Togolese.,Soy togolés.,Soy togolésa.,,"[TextBlock(text='In Spanish, ""I am Togolese"" would be:\n\n""Soy togolés"" (if you\'re male)\nor\n""Soy togolesa"" (if you\'re female)', type='text')]"
I am Thai.,Soy tailandés.,Soy tailandésa.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy tailandés."" (if you\'re male)\n""Soy tailandesa."" (if you\'re female)', type='text')]"
I am Tadzhik.,Soy tayiko.,Soy tayika.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy tayiko.""\n\nNote: ""Tayiko"" is the Spanish term for someone from Tajikistan (Tadzhikistan). The verb ""soy"" means ""I am"" in Spanish.', type='text')]"
I am Turkmen.,Soy turcomano.,Soy turcomana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy turcomano.""\n\nNote: ""Turcomano"" is the Spanish term for someone from Turkmenistan or of Turkmen ethnicity.', type='text')]"
I am East Timorese.,,,Soy timorense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Timor Oriental.""\n\nOr, if you want to emphasize your nationality more directly:\n\n""Soy timorense.""\n\nBoth translations are correct and commonly used.', type='text')]"
I am Tongan.,Soy tongano.,Soy tongana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy tongano."" (or ""Soy tongano/a"" if you want to specify gender)\n\nNote: ""Tongano"" refers to someone from Tonga, and the word can change slightly depending on gender (""tongano"" for male, ""tongana"" for female).', type='text')]"
I am Trinidadian.,,,Soy trinitense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy trinitario/trinitaria.""\n\nNote: \n- ""Soy"" means ""I am""\n- ""Trinitario"" is used for a male\n- ""Trinitaria"" is used for a female', type='text')]"
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy tunecino."" (if you\'re male)\n""Soy tunecina."" (if you\'re female)', type='text')]"
I am Turkish.,Soy turco.,Soy turca.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy turco."" (if you\'re a male)\n""Soy turca."" (if you\'re a female)', type='text')]"
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy tuvaluano."" (if you\'re male)\n""Soy tuvaluana."" (if you\'re female)\n\nNote: Tuvaluan refers to someone from the Pacific island nation of Tuvalu.', type='text')]"
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,"[TextBlock(text=""Here's the translation:\n\nSoy tanzano. (if you're male)\nSoy tanzana. (if you're female)"", type='text')]"
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,"[TextBlock(text=""Here's the translation:\n\nSoy ugandés. (if you're male)\nSoy ugandesa. (if you're female)"", type='text')]"
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy ucraniano."" (if you\'re a male)\n""Soy ucraniana."" (if you\'re a female)', type='text')]"
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"[TextBlock(text=""Here's the translation:\n\nSoy uruguayo. (if you're male)\nSoy uruguaya. (if you're female)"", type='text')]"
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy americano."" (if you\'re male)\n""Soy americana."" (if you\'re female)', type='text')]"
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy uzbeko/uzbeka.""\n\nNote: \n- ""Soy"" means ""I am""\n- ""Uzbeko"" is used for a male\n- ""Uzbeka"" is used for a female\n\nIf you want to be more specific, you can say:\n""Soy de Uzbekistán"" (I am from Uzbekistan)', type='text')]"
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy de San Vicente"" or ""Soy sanvicentino/a""\n\nNote: \n- ""Soy de San Vicente"" is a more general way of saying you are from Saint Vincent.\n- ""Sanvicentino"" (masculine) or ""sanvicentina"" (feminine) is the specific term for someone from Saint Vincent.', type='text')]"
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"[TextBlock(text=""Here's the translation:\n\nSoy venezolano. (if you are male)\nSoy venezolana. (if you are female)"", type='text')]"
I am Vietnamese.,,,Soy vietnamita.,"[TextBlock(text='Here\'s the translation:\n\n""Soy vietnamita.""', type='text')]"
I am Ni-Vanuatu.,,,Soy vanuatuense.,"[TextBlock(text='Here\'s the translation:\n\n""Soy de Vanuatu"" or ""Soy ni-vanuatense""\n\nNote: ""Ni-Vanuatu"" refers to a person from Vanuatu, an island nation in the South Pacific. In Spanish, you would typically say you are ""from"" a place or use the demonym (nationality).', type='text')]"
I am Samoan.,Soy samoano.,Soy samoana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy samoano."" (if you\'re male)\n""Soy samoana."" (if you\'re female)', type='text')]"
I am Yemeni.,,,Soy yemení.,"[TextBlock(text='Here\'s the translation:\n\n""Soy yemení.""\n\nNote: ""Yemení"" is an adjective that describes someone from Yemen, and it remains the same in Spanish.', type='text')]"
I am South African.,Soy sudafricano.,Soy sudafricana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy sudafricano."" (if you\'re a male)\n""Soy sudafricana."" (if you\'re a female)', type='text')]"
I am Zambian.,Soy zambiano.,Soy zambiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Soy zambiano."" (if you\'re male)\n""Soy zambiana."" (if you\'re female)', type='text')]"
I am Zimbabwean.,,,Soy zimbabuense.,"[TextBlock(text='Here\'s the translation:\n\nSoy zimbabuense.\n\nNote: ""Zimbabuense"" is the Spanish term for someone from Zimbabwe.', type='text')]"
