eng,deu_m,deu_f,deu_n,output
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"In German, ""I am Panamanian"" translates to:

""Ich bin Panamaer/in""
or
""Ich bin Panamaisch""

Note: If you are female, use ""Panamaerin""; if you are male, use ""Panamaer"""
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"In German, ""I am Peruvian"" translates to:

""Ich bin Peruaner"" (if you are male)
or
""Ich bin Peruanerin"" (if you are female)"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"In German, ""I am Filipino"" translates to:

""Ich bin Filipino/Filipina""

Note: Use ""Filipino"" if you\'re male and ""Filipina"" if you\'re female."
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,"The translation would be:
""Ich bin Palauer."" (if you are male)
or
""Ich bin Palauerin."" (if you are female)

Palau is ""Palau"" in German, and a person from Palau is ""Palauer"" (male) or ""Palauerin"" (female)."
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"In German, this would be:
""Ich bin Papua-Neuguineer/Papua-Neuguineerin.""

Note: The form changes based on gender:
- For a male: ""Ich bin Papua-Neuguineer""
- For a female: ""Ich bin Papua-Neuguineerin"""
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"In German, ""I am Polish"" translates to:

""Ich bin Pole"" (if you\'re a male)
or
""Ich bin Polin"" (if you\'re a female)"
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"In German, ""I am North Korean"" would be:

""Ich bin Nordkoreaner"" (if you are male)
or
""Ich bin Nordkoreanerin"" (if you are female)"
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"In German, ""I am Portuguese"" translates to:

""Ich bin Portugiese"" (if you\'re male)
or
""Ich bin Portugiesin"" (if you\'re female)"
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"In German, ""I am Paraguayan"" translates to:

""Ich bin Paraguayer"" (if you\'re male)
or
""Ich bin Paraguayerin"" (if you\'re female)"
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"In German, ""I am Qatari"" would be:

""Ich bin Katarer"" (if you\'re male)
or
""Ich bin Katarerin"" (if you\'re female)

Note that in German, nationalities are capitalized, and there\'s a different form for males and females."
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"In German, ""I am Romanian"" translates to:

""Ich bin Rumäne"" (if you\'re male)
or
""Ich bin Rumänin"" (if you\'re female)"
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"In German, ""I am Russian"" translates to:

""Ich bin Russe"" (if you\'re male)
or
""Ich bin Russin"" (if you\'re female)"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,"In German, ""I am Rwandan"" would be:

""Ich bin Ruander/Ruanderin""

Note: Use ""Ruander"" if you\'re male and ""Ruanderin"" if you\'re female."
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"In German, ""I am Saudi Arabian"" would be:

""Ich bin Saudi-Araber"" (if you\'re male)
or
""Ich bin Saudi-Araberin"" (if you\'re female)

Note that in German, nationalities are capitalized, and there\'s a difference in the ending depending on whether the speaker is male (-er) or female (-erin)."
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"In German, ""I am Sudanese"" translates to:

""Ich bin Sudanese"" (if you are male)
or
""Ich bin Sudanesin"" (if you are female)"
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"In German, ""I am Senegalese"" translates to:

""Ich bin Senegalese"" (if you are male)
or
""Ich bin Senegalesin"" (if you are female)"
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"In German, ""I am Singaporean"" would be:

""Ich bin Singapurer"" (if you\'re male)
or
""Ich bin Singapurerin"" (if you\'re female)"
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,"In German, this would be:
""Ich bin Salomoner."" (for a male)
or
""Ich bin Salomonerin."" (for a female)

Note: The term refers to someone from the Solomon Islands (Die Salomonen)."
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"In German, this would be:
""Ich bin Sierra-Leoner/in.""

Note: 
- If you\'re male, use ""Sierra-Leoner""
- If you\'re female, use ""Sierra-Leonerin"""
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"In German, ""I am Salvadoran"" would be:

""Ich bin Salvadorianer"" (if you\'re male)
or
""Ich bin Salvadorianerin"" (if you\'re female)"
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,"The translation is:

""Ich bin San-Mariner/San-Marinerin.""

Note: The form changes depending on whether you are male (San-Mariner) or female (San-Marinerin)."
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"In German, ""I am Somali"" translates to:

""Ich bin Somalier"" (if you are male)
or
""Ich bin Somalierin"" (if you are female)"
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"In German, ""I am Serbian"" translates to:

""Ich bin Serbe"" (if you\'re male)
or
""Ich bin Serbin"" (if you\'re female)"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"In German, ""I am South Sudanese"" would be:

""Ich bin Südsudanese."" (for a male)
or
""Ich bin Südsudanesin."" (for a female)"
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"The translation is:

""Ich bin São-Toméer/São-Toméerin.""

Note: The feminine form (São-Toméerin) is used if the speaker is female, while the masculine form (São-Toméer) is used if the speaker is male."
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"In German, this would be:
""Ich bin Surinamer."" (for a male)
or
""Ich bin Surinamerin."" (for a female)"
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"In German, ""I am Slovak"" translates to:

""Ich bin Slowake"" (if you are male)
or
""Ich bin Slowakin"" (if you are female)"
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"The translation is:

""Ich bin Slowene."" (if you are male)
""Ich bin Slowenin."" (if you are female)"
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"The translation is:

""Ich bin Schwede."" (if you are male)
or
""Ich bin Schwedin."" (if you are female)"
I am Swazi.,,,Ich bin Swasi.,"The translation is:
""Ich bin Swasi."" 

Note: ""Swasi"" refers to someone from Eswatini (formerly known as Swaziland)."
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"The translation is:

""Ich bin Seycheller."" (if you are male)
or
""Ich bin Seychellerin."" (if you are female)"
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"In German, ""I am Syrian"" translates to:

""Ich bin Syrer"" (if you are male)
or
""Ich bin Syrerin"" (if you are female)"
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,"The translation is:
""Ich bin Tschader."" (if you are male)
or
""Ich bin Tschaderin."" (if you are female)

These refer to someone from Chad (Tschad in German)."
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"The translation is:

""Ich bin Togoer."" (if you are male)
""Ich bin Togoerin."" (if you are female)"
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,"In German, ""I am Thai"" translates to:

""Ich bin Thai."""
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,"The translation is:

""Ich bin Tadschike."" (if you are male)
""Ich bin Tadschiken."" (if you are female)

Note that in German, nationalities are capitalized, and the spelling of ""Tadzhik"" changes to ""Tadschike"" to follow German spelling conventions."
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"In German, ""I am Turkmen"" would be:

""Ich bin Turkmene."" (if you\'re male)
or
""Ich bin Turkmenin."" (if you\'re female)"
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"In German, this would be:
""Ich bin Osttimorese."" (if you are male)
or
""Ich bin Osttimoresin."" (if you are female)"
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,"In German, ""I am Tongan"" would be:

""Ich bin Tongaer"" (if you\'re male)
or
""Ich bin Tongaerin"" (if you\'re female)"
I am Trinidadian.,,,,"In German, this would be:
""Ich bin Trinidader/in.""

Note: The ending changes based on gender:
- Male: ""Ich bin Trinidader""
- Female: ""Ich bin Trinidaderin"""
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"In German, ""I am Tunisian"" translates to:

""Ich bin Tunesier"" (if you\'re male)
or
""Ich bin Tunesierin"" (if you\'re female)"
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"In German, ""I am Turkish"" translates to:

""Ich bin Türke"" (if you\'re a male)
or
""Ich bin Türkin"" (if you\'re a female)"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"The translation is:

""Ich bin Tuvaluer/Tuvaluerin.""

(Use ""Tuvaluer"" if you are male, ""Tuvaluerin"" if you are female)"
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"In German, ""I am Tanzanian"" would be:

""Ich bin Tansanier"" (if you\'re male)
or
""Ich bin Tansanierin"" (if you\'re female)"
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,"In German, ""I am Ugandan"" translates to:

""Ich bin Ugander"" (if you\'re male)
or
""Ich bin Uganderin"" (if you\'re female)"
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"In German, ""I am Ukrainian"" translates to:

""Ich bin Ukrainer"" (if you are male)
or
""Ich bin Ukrainerin"" (if you are female)"
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"In German, ""I am Uruguayan"" translates to:

""Ich bin Uruguayer"" (if you\'re male)
or
""Ich bin Uruguayerin"" (if you\'re female)"
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"In German, ""I am American"" translates to:

""Ich bin Amerikaner"" (if you\'re male)
or
""Ich bin Amerikanerin"" (if you\'re female)"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"The translation is:
""Ich bin Usbeke/Usbekin.""

Note: Use ""Usbeke"" if you are male, and ""Usbekin"" if you are female.

You could also say ""Ich komme aus Usbekistan"" (I come from Uzbekistan)."
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"The translation would be:
""Ich bin Vincenter."" (for a male)
or
""Ich bin Vincenterin."" (for a female)

This refers to someone from Saint Vincent and the Grenadines."
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"In German, ""I am Venezuelan"" translates to:

""Ich bin Venezolaner"" (if you\'re male)
or
""Ich bin Venezolanerin"" (if you\'re female)"
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"In German, ""I am Vietnamese"" translates to:

""Ich bin Vietnamese"" (if you\'re male)
or
""Ich bin Vietnamesin"" (if you\'re female)"
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,"The translation would be:
""Ich bin Ni-Vanuatu.""

Note: Ni-Vanuatu remains the same in German as it is the demonym for people from Vanuatu."
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"In German, ""I am Samoan"" would be:

""Ich bin Samoaner"" (if you\'re male)
or
""Ich bin Samoanerin"" (if you\'re female)"
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"In German, ""I am Yemeni"" translates to:

""Ich bin Jemenit"" (if you\'re male)
or
""Ich bin Jemenitin"" (if you\'re female)"
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"In German, ""I am South African"" translates to:

""Ich bin Südafrikaner"" (if you\'re male)
or
""Ich bin Südafrikanerin"" (if you\'re female)"
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,"In German, ""I am Zambian"" translates to:

""Ich bin Sambier"" (if you\'re male)
or
""Ich bin Sambierin"" (if you\'re female)

Note that in German, nationalities are capitalized, and there are different forms for male and female."
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"In German, ""I am Zimbabwean"" translates to:

""Ich bin Simbabwer"" (if you\'re male)
or
""Ich bin Simbabwerin"" (if you\'re female)

Note: In German, the country is spelled ""Simbabwe"" rather than ""Zimbabwe."""
