eng,fra_m,fra_f,fra_n,output
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"The translation of ""I am Seychellois"" into French is ""Je suis seychellois"" (if you are male) or ""Je suis seychelloise"" (if you are female)."
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"The translation of ""I am Syrian"" into French is ""Je suis syrien"" (if you are male) or ""Je suis syrienne"" (if you are female)."
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"The translation of ""I am Chadian"" into French is ""Je suis tchadien"" (if you are male) or ""Je suis tchadienne"" (if you are female)."
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"The translation of ""I am Togolese"" into French is ""Je suis togolais"" (if you are male) or ""Je suis togolaise"" (if you are female)."
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"The translation of ""I am Thai"" into French is ""Je suis thaïlandais"" (if you are male) or ""Je suis thaïlandaise"" (if you are female)."
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,"The translation of ""I am Tadzhik"" into French is ""Je suis tadjik."""
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,"The translation of ""I am Turkmen"" into French is ""Je suis turkmène."""
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"The translation of ""I am East Timorese"" into French is ""Je suis timorais(e)."" If you are female, you would say ""timoraise."""
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"The translation of ""I am Tongan"" into French is ""Je suis tongien"" (if you are male) or ""Je suis tongienne"" (if you are female)."
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"The translation of ""I am Trinidadian"" into French is ""Je suis trinidadien"" (if you are male) or ""Je suis trinidadienne"" (if you are female)."
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"The translation of ""I am Tunisian"" into French is ""Je suis tunisien"" (if you are male) or ""Je suis tunisienne"" (if you are female)."
I am Turkish.,Je suis Turc.,Je suis Turque.,,"The translation of ""I am Turkish"" into French is ""Je suis turc"" (if you are male) or ""Je suis turque"" (if you are female)."
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"The translation of ""I am Tuvaluan"" into French is ""Je suis tuvaluan."""
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"The translation of ""I am Tanzanian"" into French is ""Je suis tanzanien"" (if you are male) or ""Je suis tanzanienne"" (if you are female)."
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"The translation of ""I am Ugandan"" into French is ""Je suis ougandais"" (if you are male) or ""Je suis ougandaise"" (if you are female)."
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"The translation of ""I am Ukrainian"" into French is ""Je suis Ukrainien"" (if you are male) or ""Je suis Ukrainienne"" (if you are female)."
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"The translation of ""I am Uruguayan"" into French is ""Je suis uruguayen"" (if you are male) or ""Je suis uruguayenne"" (if you are female)."
I am American.,Je suis Américain.,Je suis Américaine.,,"The translation of ""I am American"" into French is ""Je suis américain"" (if you are male) or ""Je suis américaine"" (if you are female)."
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"The translation of ""I am Uzbekistani"" into French is ""Je suis ouzbek."""
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"The translation of ""I am Saint Vincentian"" into French is ""Je suis saint-vincentais."""
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"The translation of ""I am Venezuelan"" into French is ""Je suis vénézuélien"" (if you are male) or ""Je suis vénézuélienne"" (if you are female)."
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"The translation of ""I am Vietnamese"" into French is ""Je suis vietnamien"" (if you are male) or ""Je suis vietnamienne"" (if you are female)."
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,"The translation of ""I am Ni-Vanuatu"" into French is ""Je suis ni-Vanuatu."""
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,"The translation of ""I am Samoan"" into French is ""Je suis samoan."""
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,"The translation of ""I am Yemeni"" into French is ""Je suis yéménite."""
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"The translation of ""I am South African"" into French is ""Je suis sud-africain"" (if you are male) or ""Je suis sud-africaine"" (if you are female)."
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"The translation of ""I am Zambian"" into French is ""Je suis zambien"" (if you are male) or ""Je suis zambienne"" (if you are female)."
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"The translation of ""I am Zimbabwean"" into French is ""Je suis zimbabwéen"" (if you are male) or ""Je suis zimbabwéenne"" (if you are female)."
