name,demonym,sentence
Ghana,Ghanaian,"{'eng': {'m': None, 'f': None, 'n': 'I am Ghanaian.'}, 'fra': {'m': 'Je suis Ghanéen.', 'f': 'Je suis Ghanéenne.', 'n': None}, 'spa': {'m': 'Soy ghanés.', 'f': 'Soy ghanésa.', 'n': None}, 'deu': {'m': 'Ich bin Ghanaer.', 'f': 'Ich bin  Ghanaerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono ghanese.'}}"
Guinea,Guinean,"{'eng': {'m': None, 'f': None, 'n': 'I am Guinean.'}, 'fra': {'m': 'Je suis Guinéen.', 'f': 'Je suis Guinéenne.', 'n': None}, 'spa': {'m': 'Soy guineano.', 'f': 'Soy guineana.', 'n': None}, 'deu': {'m': 'Ich bin Guineer.', 'f': 'Ich bin  Guineerin.', 'n': None}, 'it': {'m': 'Sono guineano.', 'f': 'Sono guineana.', 'n': None}}"
Gambia,Gambian,"{'eng': {'m': None, 'f': None, 'n': 'I am Gambian.'}, 'fra': {'m': 'Je suis Gambien.', 'f': 'Je suis Gambienne.', 'n': None}, 'spa': {'m': 'Soy gambiano.', 'f': 'Soy gambiana.', 'n': None}, 'deu': {'m': 'Ich bin Gambier.', 'f': 'Ich bin Gambierin.', 'n': None}, 'it': {'m': 'Sono gambiano.', 'f': 'Sono gambiana.', 'n': None}}"
Guinea-Bissau,Guinea-Bissauan,"{'eng': {'m': None, 'f': None, 'n': 'I am Guinea-Bissauan.'}, 'fra': {'m': 'Je suis Bissau-Guinéen.', 'f': 'Je suis Bissau-Guinéenne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy de Guinea-Bisáu.'}, 'deu': {'m': 'Ich bin Guinea-Bissauer.', 'f': 'Ich bin Guinea-Bissauerin.', 'n': ''}, 'it': {'m': None, 'f': None, 'n': 'Sono guineense.'}}"
Equatorial Guinea,Equatorial Guinean,"{'eng': {'m': None, 'f': None, 'n': 'I am Equatorial Guinean.'}, 'fra': {'m': 'Je suis Équato-guinéen.', 'f': 'Je suis Équato-guinéenne.', 'n': None}, 'spa': {'m': 'Soy ecuatoguineano.', 'f': 'Soy ecuatoguineana.', 'n': None}, 'deu': {'m': 'Ich bin Äquatorialguineer.', 'f': 'Ich bin  Äquatorialguineerin.', 'n': None}, 'it': {'m': 'Sono equatoguineano.', 'f': 'Sono equatoguineana.', 'n': None}}"
Greece,Greek,"{'eng': {'m': None, 'f': None, 'n': 'I am Greek.'}, 'fra': {'m': 'Je suis Grec.', 'f': 'Je suis Grecque.', 'n': None}, 'spa': {'m': 'Soy griego.', 'f': 'Soy griega.', 'n': None}, 'deu': {'m': 'Ich bin Grieche.', 'f': 'Ich bin  Griechin.', 'n': None}, 'it': {'m': 'Sono greco.', 'f': 'Sono greca.', 'n': None}}"
Grenada,Grenadian,"{'eng': {'m': None, 'f': None, 'n': 'I am Grenadian.'}, 'fra': {'m': 'Je suis Grenadien.', 'f': 'Je suis Grenadienne.', 'n': None}, 'spa': {'m': 'Soy granadino.', 'f': 'Soy granadina.', 'n': None}, 'deu': {'m': 'Ich bin Grenader.', 'f': 'Ich bin  Grenaderin.', 'n': None}, 'it': {'m': 'Sono grenadino.', 'f': 'Sono grenadina.', 'n': None}}"
Guatemala,Guatemalan,"{'eng': {'m': None, 'f': None, 'n': 'I am Guatemalan.'}, 'fra': {'m': 'Je suis Guatémaltèque.', 'f': 'Je suis Guatémaltèque.', 'n': None}, 'spa': {'m': 'Soy guatemalteco.', 'f': 'Soy guatemalteca.', 'n': None}, 'deu': {'m': 'Ich bin Guatemalteke.', 'f': 'Ich bin  Guatemaltekin.', 'n': None}, 'it': {'m': 'Sono guatemalteco.', 'f': 'Sono guatemalteca.', 'n': None}}"
Guyana,Guyanese,"{'eng': {'m': None, 'f': None, 'n': 'I am Guyanese.'}, 'fra': {'m': 'Je suis Guyanien.', 'f': 'Je suis Guyanienne.', 'n': None}, 'spa': {'m': 'Soy guyanés.', 'f': 'Soy guyanésa.', 'n': None}, 'deu': {'m': 'Ich bin Guyaner.', 'f': 'Ich bin  Guyanerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono guyanese.'}}"
Honduras,Honduran,"{'eng': {'m': None, 'f': None, 'n': 'I am Honduran.'}, 'fra': {'m': 'Je suis Hondurien.', 'f': 'Je suis Hondurienne.', 'n': None}, 'spa': {'m': 'Soy hondureño.', 'f': 'Soy hondureña.', 'n': None}, 'deu': {'m': 'Ich bin Honduraner.', 'f': 'Ich bin  Honduranerin.', 'n': None}, 'it': {'m': 'Sono honduregno.', 'f': 'Sono honduregna.', 'n': None}}"
Croatia,Croatian,"{'eng': {'m': None, 'f': None, 'n': 'I am Croatian.'}, 'fra': {'m': 'Je suis Croate.', 'f': 'Je suis Croate.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy croata.'}, 'deu': {'m': 'Ich bin Kroate.', 'f': 'Ich bin  Kroatin.', 'n': None}, 'it': {'m': 'Sono croato.', 'f': 'Sono croata.', 'n': None}}"
Haiti,Haitian,"{'eng': {'m': None, 'f': None, 'n': 'I am Haitian.'}, 'fra': {'m': 'Je suis Haïtien.', 'f': 'Je suis Haïtienne.', 'n': None}, 'spa': {'m': 'Soy haitiano.', 'f': 'Soy haitiana.', 'n': None}, 'deu': {'m': 'Ich bin Haitianer.', 'f': 'Ich bin  Haitinaerin.', 'n': None}, 'it': {'m': 'Sono haitiano.', 'f': 'Sono haitiana.', 'n': None}}"
Hungary,Hungarian,"{'eng': {'m': None, 'f': None, 'n': 'I am Hungarian.'}, 'fra': {'m': 'Je suis Hongrois.', 'f': 'Je suis Hongroise.', 'n': None}, 'spa': {'m': 'Soy húngaro.', 'f': 'Soy húngara.', 'n': None}, 'deu': {'m': 'Ich bin Ungar.', 'f': 'Ich bin  Ungarin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono ungherese.'}}"
Indonesia,Indonesian,"{'eng': {'m': None, 'f': None, 'n': 'I am Indonesian.'}, 'fra': {'m': 'Je suis Indonésien.', 'f': 'Je suis Indonésienne.', 'n': None}, 'spa': {'m': 'Soy indonesio.', 'f': 'Soy indonesia.', 'n': None}, 'deu': {'m': 'Ich bin Indonesier.', 'f': 'Ich bin  Indonesierin.', 'n': None}, 'it': {'m': 'Sono indonesiano.', 'f': 'Sono indonesiana.', 'n': None}}"
India,Indian,"{'eng': {'m': None, 'f': None, 'n': 'I am Indian.'}, 'fra': {'m': 'Je suis Indien.', 'f': 'Je suis Indienne.', 'n': None}, 'spa': {'m': 'Soy indio.', 'f': 'Soy india.', 'n': None}, 'deu': {'m': 'Ich bin Inder.', 'f': 'Ich bin  Inderin.', 'n': None}, 'it': {'m': 'Sono indiano.', 'f': 'Sono indiana.', 'n': None}}"
Ireland,Irish,"{'eng': {'m': None, 'f': None, 'n': 'I am Irish.'}, 'fra': {'m': 'Je suis Irlandais.', 'f': 'Je suis Irlandaise.', 'n': None}, 'spa': {'m': 'Soy irlandés.', 'f': 'Soy irlandésa.', 'n': None}, 'deu': {'m': 'Ich bin Ire.', 'f': 'Ich bin  Irin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono irlandese.'}}"
Iran,Iranian,"{'eng': {'m': None, 'f': None, 'n': 'I am Iranian.'}, 'fra': {'m': 'Je suis Iranien.', 'f': 'Je suis Iranienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy iraní.'}, 'deu': {'m': 'Ich bin Iraner.', 'f': 'Ich bin  Iranerin.', 'n': None}, 'it': {'m': 'Sono iraniano.', 'f': 'Sono iraniana.', 'n': None}}"
Iraq,Iraqi,"{'eng': {'m': None, 'f': None, 'n': 'I am Iraqi.'}, 'fra': {'m': 'Je suis Irakien.', 'f': 'Je suis Irakienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy iraquí.'}, 'deu': {'m': 'Ich bin Iraker.', 'f': 'Ich bin  Irakerin.', 'n': None}, 'it': {'m': 'Sono iracheno.', 'f': 'Sono irachena.', 'n': None}}"
Iceland,Icelander,"{'eng': {'m': None, 'f': None, 'n': 'I am Icelander.'}, 'fra': {'m': 'Je suis Islandais.', 'f': 'Je suis Islandaise.', 'n': None}, 'spa': {'m': 'Soy islandés.', 'f': 'Soy islandésa.', 'n': None}, 'deu': {'m': 'Ich bin Isländer.', 'f': 'Ich bin  Isländerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono islandese.'}}"
Israel,Israeli,"{'eng': {'m': None, 'f': None, 'n': 'I am Israeli.'}, 'fra': {'m': 'Je suis Israélien.', 'f': 'Je suis Israélienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy israelí.'}, 'deu': {'m': 'Ich bin Israeli.', 'f': 'Ich bin Israelin.', 'n': None}, 'it': {'m': 'Sono israeliano.', 'f': 'Sono israeliana.', 'n': None}}"
Italy,Italian,"{'eng': {'m': None, 'f': None, 'n': 'I am Italian.'}, 'fra': {'m': 'Je suis Italien.', 'f': 'Je suis Italienne.', 'n': None}, 'spa': {'m': 'Soy italiano.', 'f': 'Soy italiana.', 'n': None}, 'deu': {'m': 'Ich bin Italiener.', 'f': 'Ich bin  Italienerin.', 'n': None}, 'it': {'m': 'Sono italiano.', 'f': 'Sono italiana.', 'n': None}}"
Jamaica,Jamaican,"{'eng': {'m': None, 'f': None, 'n': 'I am Jamaican.'}, 'fra': {'m': 'Je suis Jamaïcain.', 'f': 'Je suis Jamaïcaine.', 'n': None}, 'spa': {'m': 'Soy jamaicano.', 'f': 'Soy jamaicana.', 'n': None}, 'deu': {'m': 'Ich bin Jamaikaner.', 'f': 'Ich bin  Jamaikanerin.', 'n': None}, 'it': {'m': 'Sono giamaicano.', 'f': 'Sono giamaicana.', 'n': None}}"
Jordan,Jordanian,"{'eng': {'m': None, 'f': None, 'n': 'I am Jordanian.'}, 'fra': {'m': 'Je suis Jordanien.', 'f': 'Je suis Jordanienne.', 'n': None}, 'spa': {'m': 'Soy jordano.', 'f': 'Soy jordana.', 'n': None}, 'deu': {'m': 'Ich bin Jordanier.', 'f': 'Ich bin  Jordanierin.', 'n': None}, 'it': {'m': 'Sono giordano.', 'f': 'Sono giordana.', 'n': None}}"
Japan,Japanese,"{'eng': {'m': None, 'f': None, 'n': 'I am Japanese.'}, 'fra': {'m': 'Je suis Japonais.', 'f': 'Je suis Japonaise.', 'n': None}, 'spa': {'m': 'Soy japonés.', 'f': 'Soy japonésa.', 'n': None}, 'deu': {'m': 'Ich bin Japaner.', 'f': 'Ich bin  Japanerin.', 'n': None}, 'it': {'m': 'Sono Giapponese.', 'f': 'Sono Giapponesi.', 'n': None}}"
Kazakhstan,Kazakhstani,"{'eng': {'m': None, 'f': None, 'n': 'I am Kazakhstani.'}, 'fra': {'m': 'Je suis Kazakhstanais.', 'f': 'Je suis Kazakhstanaise.', 'n': None}, 'spa': {'m': 'Soy kazajo.', 'f': 'Soy kazaja.', 'n': None}, 'deu': {'m': 'Ich bin Kasache.', 'f': 'Ich bin  Kasachin.', 'n': None}, 'it': {'m': 'Sono kazaco.', 'f': 'Sono kazaca.', 'n': None}}"
Kenya,Kenyan,"{'eng': {'m': None, 'f': None, 'n': 'I am Kenyan.'}, 'fra': {'m': 'Je suis Kényan.', 'f': 'Je suis Kényane.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy keniata.'}, 'deu': {'m': 'Ich bin Kenianer.', 'f': 'Ich bin  Kenianerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono keniota.'}}"
Kyrgyzstan,Kirghiz,"{'eng': {'m': None, 'f': None, 'n': 'I am Kirghiz.'}, 'fra': {'m': 'Je suis Kirghize.', 'f': 'Je suis Kirghize.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy kirguís.'}, 'deu': {'m': 'Ich bin Kirgise.', 'f': 'Ich bin  Kirgisin.', 'n': None}, 'it': {'m': 'Sono kirghiso.', 'f': 'Sono kirghisa.', 'n': None}}"
Cambodia,Cambodian,"{'eng': {'m': None, 'f': None, 'n': 'I am Cambodian.'}, 'fra': {'m': 'Je suis Cambodgien.', 'f': 'Je suis Cambodgienne.', 'n': None}, 'spa': {'m': 'Soy camboyano.', 'f': 'Soy camboyana.', 'n': None}, 'deu': {'m': 'Ich bin Kambodschaner.', 'f': 'Ich bin  Kambodschanerin.', 'n': None}, 'it': {'m': 'Sono cambogiano.', 'f': 'Sono cambogiana.', 'n': None}}"
Kiribati,I-Kiribati,"{'eng': {'m': None, 'f': None, 'n': 'I am I-Kiribati.'}, 'fra': {'m': 'Je suis Kiribatien.', 'f': 'Je suis Kiribatienne.', 'n': None}, 'spa': {'m': 'Soy kiribatiano.', 'f': 'Soy kiribatiana.', 'n': None}, 'deu': {'m': 'Ich bin Kiribatier.', 'f': 'Ich bin  Kiribatierin.', 'n': None}, 'it': {'m': 'Sono kiribatiano.', 'f': 'Sono kiribatiana.', 'n': None}}"
Saint Kitts and Nevis,Kittitian or Nevisian,"{'eng': {'m': None, 'f': None, 'n': 'I am Kittitian or Nevisian.'}, 'fra': {'m': 'Je suis Kittitien-et-nevicien.', 'f': 'Je suis Kittitienne-et-nevicienne.', 'n': None}, 'spa': {'m': 'Soy sancristobaleño.', 'f': 'Soy sancristobaleña.', 'n': None}, 'deu': {'m': None, 'f': None, 'n': None}, 'it': {'m': 'Sono kittitiano.', 'f': 'Sono kittitiana.', 'n': None}}"
South Korea,South Korean,"{'eng': {'m': None, 'f': None, 'n': 'I am South Korean.'}, 'fra': {'m': 'Je suis Sud-coréen.', 'f': 'Je suis Sud-coréenne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy de la República de Corea.'}, 'deu': {'m': 'Ich bin Südkoreaner.', 'f': 'Ich bin  Südkoreanerin.', 'n': None}, 'it': {'m': 'Sono sudcoreano.', 'f': 'Sono sudcoreana.', 'n': None}}"
Kuwait,Kuwaiti,"{'eng': {'m': None, 'f': None, 'n': 'I am Kuwaiti.'}, 'fra': {'m': 'Je suis Koweïtien.', 'f': 'Je suis Koweïtienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy kuwaití.'}, 'deu': {'m': 'Ich bin Kuwaiter.', 'f': 'Ich bin  Kuwaiterin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': None}}"
Laos,Laotian,"{'eng': {'m': None, 'f': None, 'n': 'I am Laotian.'}, 'fra': {'m': 'Je suis Laotien.', 'f': 'Je suis Laotienne.', 'n': None}, 'spa': {'m': 'Soy laosiano.', 'f': 'Soy laosiana.', 'n': None}, 'deu': {'m': 'Ich bin Laote.', 'f': 'Ich bin  Laotin.', 'n': None}, 'it': {'m': 'Sono laotiano.', 'f': 'Sono laotiana.', 'n': None}}"
Lebanon,Lebanese,"{'eng': {'m': None, 'f': None, 'n': 'I am Lebanese.'}, 'fra': {'m': 'Je suis Libanais.', 'f': 'Je suis Libanaise.', 'n': None}, 'spa': {'m': 'Soy libanés.', 'f': 'Soy libanésa.', 'n': None}, 'deu': {'m': 'Ich bin Libanese.', 'f': 'Ich bin  Libanesin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono libanese.'}}"
Liberia,Liberian,"{'eng': {'m': None, 'f': None, 'n': 'I am Liberian.'}, 'fra': {'m': 'Je suis Libérien.', 'f': 'Je suis Libérienne.', 'n': None}, 'spa': {'m': 'Soy liberiano.', 'f': 'Soy liberiana.', 'n': None}, 'deu': {'m': 'Ich bin Liberianer.', 'f': 'Ich bin  Liberianerin.', 'n': None}, 'it': {'m': 'Sono liberiano.', 'f': 'Sono liberiana.', 'n': None}}"
Libya,Libyan,"{'eng': {'m': None, 'f': None, 'n': 'I am Libyan.'}, 'fra': {'m': 'Je suis Libyen.', 'f': 'Je suis Libyenne.', 'n': None}, 'spa': {'m': 'Soy libio.', 'f': 'Soy libia.', 'n': None}, 'deu': {'m': 'Ich bin Libyer.', 'f': 'Ich bin  Libyerin.', 'n': None}, 'it': {'m': 'Sono libico.', 'f': 'Sono libica.', 'n': None}}"
Saint Lucia,Saint Lucian,"{'eng': {'m': None, 'f': None, 'n': 'I am Saint Lucian.'}, 'fra': {'m': 'Je suis Saint-Lucien.', 'f': 'Je suis Saint-Lucienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy santalucense.'}, 'deu': {'m': 'Ich bin Lucianer.', 'f': 'Ich bin Lucianerin.', 'n': None}, 'it': {'m': 'Sono santaluciano.', 'f': 'Sono santaluciana.', 'n': None}}"
Liechtenstein,Liechtensteiner,"{'eng': {'m': None, 'f': None, 'n': 'I am Liechtensteiner.'}, 'fra': {'m': 'Je suis Liechtensteinois.', 'f': 'Je suis Liechtensteinoise.', 'n': None}, 'spa': {'m': 'Soy liechtensteiniano.', 'f': 'Soy liechtensteiniana.', 'n': None}, 'deu': {'m': 'Ich bin Liechtensteiner.', 'f': 'Ich bin  Liechtensteinerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono liechtensteinese.'}}"
Sri Lanka,Sri Lankan,"{'eng': {'m': None, 'f': None, 'n': 'I am Sri Lankan.'}, 'fra': {'m': 'Je suis Sri-lankais.', 'f': 'Je suis Sri-lankaise.', 'n': None}, 'spa': {'m': 'Soy esrilanqués.', 'f': 'Soy esrilanquésa.', 'n': None}, 'deu': {'m': 'Ich bin Sri Lanker.', 'f': 'Ich bin  Sri Lankerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono sri lankese.'}}"
Lesotho,Mosotho,"{'eng': {'m': None, 'f': None, 'n': 'I am Mosotho.'}, 'fra': {'m': 'Je suis Lésothien.', 'f': 'Je suis Lésothienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy lesotense.'}, 'deu': {'m': 'Ich bin Lesother.', 'f': 'Ich bin  Lesotherin.', 'n': None}, 'it': {'m': 'Sono lesothiano.', 'f': 'Sono lesothiana.', 'n': None}}"
Lithuania,Lithuanian,"{'eng': {'m': None, 'f': None, 'n': 'I am Lithuanian.'}, 'fra': {'m': 'Je suis Lituanien.', 'f': 'Je suis Lituanienne.', 'n': None}, 'spa': {'m': 'Soy lituano.', 'f': 'Soy lituana.', 'n': None}, 'deu': {'m': 'Ich bin Litauer.', 'f': 'Ich bin  Litauerin.', 'n': None}, 'it': {'m': 'Sono lituano.', 'f': 'Sono lituana.', 'n': None}}"
Luxembourg,Luxembourger,"{'eng': {'m': None, 'f': None, 'n': 'I am Luxembourger.'}, 'fra': {'m': 'Je suis Luxembourgeois.', 'f': 'Je suis Luxembourgeoise.', 'n': None}, 'spa': {'m': 'Soy luxemburgués.', 'f': 'Soy luxemburguésa.', 'n': None}, 'deu': {'m': 'Ich bin Luxemburger.', 'f': 'Ich bin  Luxemburgerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono lussemburghese.'}}"
Latvia,Latvian,"{'eng': {'m': None, 'f': None, 'n': 'I am Latvian.'}, 'fra': {'m': 'Je suis Letton.', 'f': 'Je suis Lettone.', 'n': None}, 'spa': {'m': 'Soy letón.', 'f': None, 'n': None}, 'deu': {'m': 'Ich bin Lette.', 'f': 'Ich bin  Lettin.', 'n': None}, 'it': {'m': 'Sono lettone.', 'f': 'Sono lettona.', 'n': None}}"
Morocco,Moroccan,"{'eng': {'m': None, 'f': None, 'n': 'I am Moroccan.'}, 'fra': {'m': 'Je suis Marocain.', 'f': 'Je suis Marocaine.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy marroquí.'}, 'deu': {'m': 'Ich bin Marokkaner.', 'f': 'Ich bin  Marokkanerin.', 'n': None}, 'it': {'m': 'Sono marocchino.', 'f': 'Sono marocchina.', 'n': None}}"
Monaco,Monegasque,"{'eng': {'m': None, 'f': None, 'n': 'I am Monegasque.'}, 'fra': {'m': 'Je suis Monégasque.', 'f': 'Je suis Monégasque.', 'n': None}, 'spa': {'m': 'Soy monegasco.', 'f': 'Soy monegasca.', 'n': None}, 'deu': {'m': 'Ich bin Monegasse.', 'f': 'Ich bin  Monegassin.', 'n': None}, 'it': {'m': 'Sono monegasco.', 'f': 'Sono monegasca.', 'n': None}}"
Moldova,Moldovan,"{'eng': {'m': None, 'f': None, 'n': 'I am Moldovan.'}, 'fra': {'m': 'Je suis Moldave.', 'f': 'Je suis Moldave.', 'n': None}, 'spa': {'m': 'Soy moldavo.', 'f': 'Soy moldava.', 'n': None}, 'deu': {'m': 'Ich bin Moldauer.', 'f': 'Ich bin  Moldauerin.', 'n': None}, 'it': {'m': 'Sono moldavo.', 'f': 'Sono moldava.', 'n': None}}"
Madagascar,Malagasy,"{'eng': {'m': None, 'f': None, 'n': 'I am Malagasy.'}, 'fra': {'m': 'Je suis Malgache.', 'f': 'Je suis Malgache.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy malgache.'}, 'deu': {'m': 'Ich bin Madagasse.', 'f': 'Ich bin  Madagassin.', 'n': None}, 'it': {'m': 'Sono malgascio.', 'f': 'Sono malgascia.', 'n': None}}"
Maldives,Maldivan,"{'eng': {'m': None, 'f': None, 'n': 'I am Maldivan.'}, 'fra': {'m': 'Je suis Maldivien.', 'f': 'Je suis Maldivienne.', 'n': None}, 'spa': {'m': 'Soy maldivo.', 'f': 'Soy maldiva.', 'n': None}, 'deu': {'m': 'Ich bin Malediver.', 'f': 'Ich bin  Malediverin.', 'n': None}, 'it': {'m': 'Sono maldiviano.', 'f': 'Sono maldiviana.', 'n': None}}"
Mexico,Mexican,"{'eng': {'m': None, 'f': None, 'n': 'I am Mexican.'}, 'fra': {'m': 'Je suis Mexicain.', 'f': 'Je suis Mexicaine.', 'n': None}, 'spa': {'m': 'Soy mexicano.', 'f': 'Soy mexicana.', 'n': None}, 'deu': {'m': 'Ich bin Mexikaner.', 'f': 'Ich bin  Mexikanerin.', 'n': None}, 'it': {'m': 'Sono messicano.', 'f': 'Sono messicana.', 'n': None}}"
Marshall Islands,Marshallese,"{'eng': {'m': None, 'f': None, 'n': 'I am Marshallese.'}, 'fra': {'m': 'Je suis Marshallais.', 'f': 'Je suis Marshallaise.', 'n': None}, 'spa': {'m': 'Soy marshalés.', 'f': 'Soy marshalésa.', 'n': None}, 'deu': {'m': 'Ich bin Marshaller.', 'f': 'Ich bin  Marshallerin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono marshallese.'}}"
North Macedonia,Macedonian,"{'eng': {'m': None, 'f': None, 'n': 'I am Macedonian.'}, 'fra': {'m': 'Je suis Macédonien.', 'f': 'Je suis Macédonienne.', 'n': None}, 'spa': {'m': 'Soy macedonio.', 'f': 'Soy macedonia.', 'n': None}, 'deu': {'m': 'Ich bin Mazedonier.', 'f': 'Ich bin  Mazedonierin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono macedone.'}}"
Mali,Malian,"{'eng': {'m': None, 'f': None, 'n': 'I am Malian.'}, 'fra': {'m': 'Je suis Malien.', 'f': 'Je suis Malienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy malí.'}, 'deu': {'m': 'Ich bin Malier.', 'f': 'Ich bin  Malierin.', 'n': None}, 'it': {'m': 'Sono maliano.', 'f': 'Sono maliana.', 'n': None}}"
Malta,Maltese,"{'eng': {'m': None, 'f': None, 'n': 'I am Maltese.'}, 'fra': {'m': 'Je suis Maltais.', 'f': 'Je suis Maltaise.', 'n': None}, 'spa': {'m': 'Soy maltés.', 'f': 'Soy maltésa.', 'n': None}, 'deu': {'m': 'Ich bin Malteser.', 'f': 'Ich bin  Malteserin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono maltese.'}}"
Myanmar,Burmese,"{'eng': {'m': None, 'f': None, 'n': 'I am Burmese.'}, 'fra': {'m': 'Je suis Birman.', 'f': 'Je suis Birmane.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy de Myanmar.'}, 'deu': {'m': 'Ich bin Myanmare.', 'f': 'Ich bin  Myanmarin.', 'n': None}, 'it': {'m': 'Sono birmano.', 'f': 'Sono birmese.', 'n': None}}"
Montenegro,Montenegrin,"{'eng': {'m': None, 'f': None, 'n': 'I am Montenegrin.'}, 'fra': {'m': 'Je suis Monténégrin.', 'f': 'Je suis Monténégrine.', 'n': None}, 'spa': {'m': 'Soy montenegrino.', 'f': 'Soy montenegrina.', 'n': None}, 'deu': {'m': 'Ich bin Montenegriner.', 'f': 'Ich bin  Montenegrinerin.', 'n': None}, 'it': {'m': 'Sono montenegrino.', 'f': 'Sono montenegrina.', 'n': None}}"
Mongolia,Mongolian,"{'eng': {'m': None, 'f': None, 'n': 'I am Mongolian.'}, 'fra': {'m': 'Je suis Mongol.', 'f': 'Je suis Mongole.', 'n': None}, 'spa': {'m': 'Soy mongol.', 'f': None, 'n': None}, 'deu': {'m': 'Ich bin Mongole.', 'f': 'Ich bin  Mongolin.', 'n': None}, 'it': {'m': 'Sono mongolo.', 'f': 'Sono mongola.', 'n': None}}"
Mozambique,Mozambican,"{'eng': {'m': None, 'f': None, 'n': 'I am Mozambican.'}, 'fra': {'m': 'Je suis Mozambicain.', 'f': 'Je suis Mozambicaine.', 'n': None}, 'spa': {'m': 'Soy mozambiqueño.', 'f': 'Soy mozambiqueña.', 'n': None}, 'deu': {'m': 'Ich bin Mosambikaner.', 'f': 'Ich bin  Mosambikanerin.', 'n': None}, 'it': {'m': 'Sono mozambicano.', 'f': 'Sono mozambicana.', 'n': None}}"
Mauritania,Mauritanian,"{'eng': {'m': None, 'f': None, 'n': 'I am Mauritanian.'}, 'fra': {'m': 'Je suis Mauritanien.', 'f': 'Je suis Mauritanienne.', 'n': None}, 'spa': {'m': 'Soy mauritano.', 'f': 'Soy mauritana.', 'n': None}, 'deu': {'m': 'Ich bin Mauretanier.', 'f': 'Ich bin  Mauretanierin.', 'n': None}, 'it': {'m': 'Sono mauritano.', 'f': 'Sono mauritaniana.', 'n': None}}"
Mauritius,Mauritian,"{'eng': {'m': None, 'f': None, 'n': 'I am Mauritian.'}, 'fra': {'m': 'Je suis Mauricien.', 'f': 'Je suis Mauricienne.', 'n': None}, 'spa': {'m': 'Soy mauriciano.', 'f': 'Soy mauriciana.', 'n': None}, 'deu': {'m': 'Ich bin Mauritier.', 'f': 'Ich bin  Mauritierin.', 'n': None}, 'it': {'m': 'Sono mauriziano.', 'f': 'Sono mauriziana.', 'n': None}}"
Malawi,Malawian,"{'eng': {'m': None, 'f': None, 'n': 'I am Malawian.'}, 'fra': {'m': 'Je suis Malawien.', 'f': 'Je suis Malawienne.', 'n': None}, 'spa': {'m': None, 'f': None, 'n': 'Soy malauí.'}, 'deu': {'m': 'Ich bin Malawier.', 'f': 'Ich bin  Malawierin.', 'n': None}, 'it': {'m': 'Sono malawiano.', 'f': 'Sono malawiana.', 'n': None}}"
Malaysia,Malaysian,"{'eng': {'m': None, 'f': None, 'n': 'I am Malaysian.'}, 'fra': {'m': 'Je suis Malaisien.', 'f': 'Je suis Malaisienne.', 'n': None}, 'spa': {'m': 'Soy malasio.', 'f': 'Soy malasia.', 'n': None}, 'deu': {'m': 'Ich bin Malaysier.', 'f': 'Ich bin  Malaysierin.', 'n': None}, 'it': {'m': None, 'f': None, 'n': 'Sono malese.'}}"
Namibia,Namibian,"{'eng': {'m': None, 'f': None, 'n': 'I am Namibian.'}, 'fra': {'m': 'Je suis Namibien.', 'f': 'Je suis Namibienne.', 'n': None}, 'spa': {'m': 'Soy namibio.', 'f': 'Soy namibia.', 'n': None}, 'deu': {'m': 'Ich bin Namibier.', 'f': 'Ich bin  Namibierin.', 'n': None}, 'it': {'m': 'Sono namibiano.', 'f': 'Sono namibiana.', 'n': None}}"
