Code,Language,Family
faa,Fasu,Trans-New Guinea
fab,Fa d’Ambu,Creole
faf,Fagani,Austronesian
fag,Finongan,Trans-New Guinea
fah,Fali of Baissa,Niger-Congo
fai,Faiwol,Trans-New Guinea
faj,Kursav,Trans-New Guinea
fak,Fang,Niger-Congo
fal,"Fali, South",Niger-Congo
fam,Fam,Niger-Congo
fan,Fang,Niger-Congo
fao,Faroese,Indo-European
fap,Paloor,Niger-Congo
far,Fataleka,Austronesian
fau,Fayu,Lakes Plain
fax,Fala,Indo-European
fay,"Fars, Southwestern",Indo-European
faz,"Fars, Northwestern",Indo-European
fbl,"Bikol, West Albay",Austronesian
fcs,Quebec Sign Language,Sign language
fer,Feroge,Niger-Congo
ffi,Foia Foia,Trans-New Guinea
ffm,Maasina Fulfulde,Niger-Congo
fgr,Fongoro,Nilo-Saharan
fia,Nobiin,Nilo-Saharan
fie,Fyer,Afro-Asiatic
fif,Faifi,Afro-Asiatic
fij,Fijian,Austronesian
fil,Filipino,Austronesian
fin,Finnish,Uralic
fip,Fipa,Niger-Congo
fir,Firan,Niger-Congo
fit,Meänkieli,Uralic
fiw,Fiwaga,Trans-New Guinea
fkk,Kirya-Konzel,Afro-Asiatic
fkv,Kven Finnish,Uralic
fla,Kalispel-Pend d’Oreille,Salish
flh,Foau,Lakes Plain
fli,Fali Muchella,Afro-Asiatic
fll,"Fali, North",Niger-Congo
fln,Flinders Island,Australian
flr,Fuliiru,Niger-Congo
fly,Flaaitaal,Creole
fmp,Fe’fe’,Niger-Congo
fmu,"Muria, Far Western",Dravidian
fnb,Fanbak,Austronesian
fng,Pidgin Bantu,Pidgin
fni,Fania,Niger-Congo
fod,Foodo,Niger-Congo
foi,Foi,Trans-New Guinea
fom,Foma,Niger-Congo
fon,Fon,Niger-Congo
for,Fore,Trans-New Guinea
fos,Siraya,Austronesian
fpe,Equatorial Guinean Pidgin,Creole
fqs,Momu,Fas
fra,French,Indo-European
frc,Cajun French,Indo-European
frd,Fordata,Austronesian
frp,Arpitan,Indo-European
frq,Forak,Trans-New Guinea
frr,Northern Frisian,Indo-European
frs,East Frisian Low Saxon,Indo-European
frt,Fortsenal,Austronesian
fry,Frisian,Indo-European
fse,Finnish Sign Language,Sign language
fsl,French Sign Language,Sign language
fss,Finland-Swedish Sign Language,Sign language
fub,Adamawa Fulfulde,Niger-Congo
fuc,Pulaar,Niger-Congo
fud,East Futuna,Austronesian
fue,Borgu Fulfulde,Niger-Congo
fuf,Pular,Niger-Congo
fuh,Western Niger Fulfulde,Niger-Congo
fui,"Fulfulde, Bagirmi",Niger-Congo
fuj,Ko,Niger-Congo
fum,Fum,Niger-Congo
fun,Iatê,Language isolate
fuq,Central-Eastern Niger Fulfulde,Niger-Congo
fur,Friulian,Indo-European
fut,Futuna-Aniwa,Austronesian
fuu,Furu,Nilo-Saharan
fuv,Nigerian Fulfulde,Niger-Congo
fuy,Fuyug,Trans-New Guinea
fvr,Fur,Nilo-Saharan
fwa,Fwâi,Austronesian
fwe,Fwe,Niger-Congo
gaa,Ga,Niger-Congo
gab,Gabri,Afro-Asiatic
gac,"Great Andamanese, Mixed",Andamanese
gad,Gaddang,Austronesian
gae,Guarequena,Maipurean
gaf,Gende,Trans-New Guinea
gag,Gagauz,Turkic
gah,Alekano,Trans-New Guinea
gai,Mbore,Ramu-Lower Sepik
gaj,Gadsup,Trans-New Guinea
gak,Gamkonora,West Papuan
gal,Galolen,Austronesian
gam,Kandawo,Trans-New Guinea
gan,Gan Chinese,Sino-Tibetan
gao,Gants,Trans-New Guinea
gaq,Gata’,Austro-Asiatic
gar,Galeya,Austronesian
gas,Adiwasi Garasia,Indo-European
gat,Aziana,Trans-New Guinea
gau,"Gadaba, Mudhili",Dravidian
gax,Borana-Arsi-Guji Oromo,Afro-Asiatic
gay,Gayo,Austronesian
gaz,West Central Oromo,Afro-Asiatic
gbb,Kaytetye,Australian
gbd,Karajarri,Australian
gbe,Niksek,Sepik
gbf,Gaikundi,Sepik
gbg,Gbanziri,Niger-Congo
gbh,"Gbe, Defi",Niger-Congo
gbi,Galela,West Papuan
gbj,"Gadaba, Bodo",Austro-Asiatic
gbk,Gaddi,Indo-European
gbl,Gamit,Indo-European
gbm,Garhwali,Indo-European
gbn,Mo’da,Nilo-Saharan
gbo,Northern Grebo,Niger-Congo
gbp,Gbaya-Bossangoa,Niger-Congo
gbq,Gbaya-Bozoum,Niger-Congo
gbr,Gbagyi,Niger-Congo
gbs,"Gbe, Gbesi",Niger-Congo
gbv,Gbanu,Niger-Congo
gbw,Gabi-Gabi,Australian
gbx,"Gbe, Eastern Xwla",Niger-Congo
gby,Gbari,Niger-Congo
gbz,"Dari, Zoroastrian",Indo-European
gcc,Mali,East New Britain
gcd,Ganggalida,Australian
gce,Galice,Eyak-Athabaskan
gcf,Guadeloupean French Creole,Creole
gcl,Grenadian English Creole,Creole
gcn,Gaina,Trans-New Guinea
gcr,Guianese French Creole,Creole
gct,"German, Colonia Tovar",Indo-European
gda,"Lohar, Gade",Indo-European
gdb,"Gadaba, Pottangi Ollar",Dravidian
gdc,Gugu Badhun,Australian
gdd,Gedaged,Austronesian
gde,Gude,Afro-Asiatic
gdf,Guduf-Gava,Afro-Asiatic
gdg,Ga’dang,Austronesian
gdh,Gadjerawang,Australian
gdi,Gundi,Niger-Congo
gdj,Gurdjar,Australian
gdk,Gadang,Afro-Asiatic
gdl,Dirasha,Afro-Asiatic
gdm,Laal,Language isolate
gdn,Umanakaina,Trans-New Guinea
gdo,Ghodoberi,Nakh-Daghestanian
gdq,Mehri,Afro-Asiatic
gdr,Wipi,Eastern Trans-Fly
gds,Ghandruk Sign Language,Sign language
gdt,Kungardutyi,Australian
gdu,Gudu,Afro-Asiatic
gdx,Godwari,Indo-European
gea,Geruma,Afro-Asiatic
geb,Kire,Ramu-Lower Sepik
gec,"Grebo, Gboloo",Niger-Congo
ged,Gade,Niger-Congo
gef,Gerai,Austronesian
geg,Gengle,Niger-Congo
geh,Hutterisch,Indo-European
gei,Gebe,Austronesian
gej,Gen,Niger-Congo
gek,Ywom,Afro-Asiatic
gel,ut-Ma’in,Niger-Congo
geq,Geme,Niger-Congo
ges,Geser-Gorom,Austronesian
gev,Eviya,Niger-Congo
gew,Gera,Afro-Asiatic
gex,Garre,Afro-Asiatic
gey,Enya,Niger-Congo
gez,Geez,Afro-Asiatic
gfk,Patpatar,Austronesian
gft,Gafat,Afro-Asiatic
gga,Gao,Austronesian
ggb,Gbii,Niger-Congo
gge,Gurr-goni,Australian
ggg,Gurgula,Indo-European
ggk,Kungarakany,Australian
ggl,Ganglau,Trans-New Guinea
ggt,Gitua,Austronesian
ggu,Gban,Niger-Congo
ggw,Gogodala,Trans-New Guinea
gha,Ghadamès,Afro-Asiatic
ghe,"Ghale, Southern",Sino-Tibetan
ghh,"Ghale, Northern",Sino-Tibetan
ghk,"Karen, Geko",Sino-Tibetan
ghl,Ghulfan,Nilo-Saharan
ghn,Ghanongga,Austronesian
gho,Ghomara,Afro-Asiatic
ghr,Ghera,Indo-European
ghs,Guhu-Samane,Trans-New Guinea
ght,Kuke,Sino-Tibetan
gia,Kija,Australian
gib,Gibanawa,Pidgin
gic,Gail,Unclassified
gid,Gidar,Afro-Asiatic
gie,Guébie,Niger-Congo
gig,Goaria,Indo-European
gih,Githabul,Australian
gii,Girirra,Afro-Asiatic
gil,Kiribati,Austronesian
gim,Gimi,Trans-New Guinea
gin,Hinukh,Nakh-Daghestanian
gip,Gimi,Austronesian
giq,"Gelao, Green",Kra-Dai
gir,"Gelao, Red",Kra-Dai
gis,"Giziga, North",Afro-Asiatic
git,Gitxsan,Tsimshian
giu,Mulao,Kra-Dai
giw,Duoluo,Kra-Dai
gix,Gilima,Niger-Congo
giy,Giyug,Australian
giz,Giziga,Afro-Asiatic
gjk,Kachi Koli,Indo-European
gjm,Gunditjmara,Australian
gjn,Gonja,Niger-Congo
gjr,Gurindji Kriol,Mixed language
gju,Gujari,Indo-European
gka,Guya,Trans-New Guinea
gkd,Magɨ,Trans-New Guinea
gke,Ndai,Niger-Congo
gkn,Gokana,Niger-Congo
gko,Kok-Nar,Australian
gkp,Guinea Kpelle,Niger-Congo
gla,Scottish Gaelic,Indo-European
glb,Belning,Afro-Asiatic
glc,Bon Gula,Niger-Congo
gld,Nanai,Tungusic
gle,Irish,Indo-European
glg,Galician,Indo-European
glh,"Pashai, Northwest",Indo-European
glj,Gula Iro,Niger-Congo
glk,Gilaki,Indo-European
glo,Galambi,Afro-Asiatic
glr,Glaro-Twabo,Niger-Congo
glu,Gula,Nilo-Saharan
glv,Manx,Indo-European
glw,Glavda,Afro-Asiatic
gly,Gule,Nilo-Saharan
gma,Gambera,Australian
gmb,Gula’alaa,Austronesian
gmd,Mághdì,Niger-Congo
gmg,Magiyi,Trans-New Guinea
gmm,Gbaya-Mbodomo,Niger-Congo
gmn,Gimnime,Niger-Congo
gmr,Mirning,Australian
gmu,Gumalu,Gum
gmv,Gamo,Afro-Asiatic
gmx,Magoma,Niger-Congo
gmz,Mgbolizhia,Niger-Congo
gna,Kaansa,Niger-Congo
gnb,Gangte,Sino-Tibetan
gnc,Guanche,Afro-Asiatic
gnd,Zulgo-Gemzek,Afro-Asiatic
gne,Ganang,Niger-Congo
gng,Ngangam,Niger-Congo
gnh,Lere,Niger-Congo
gni,Gooniyandi,Australian
gnj,Ngen,Niger-Congo
gnk,ǁGana,Khoe-Kwadi
gnl,Gangulu,Australian
gnm,Ginuman,Trans-New Guinea
gnn,Gumatj,Australian
gno,Northern Gondi,Dravidian
gnq,Gana,Austronesian
gnr,Gureng Gureng,Australian
gnt,Wartha Thuntai,South-Central Papuan
gnu,Gnau,Torricelli
gnw,Western Bolivian Guaraní,Tupian
gnz,Ganzi,Niger-Congo
goa,Guro,Niger-Congo
gob,Playero,Guajiboan
goc,Gorakor,Austronesian
god,Godié,Niger-Congo
goe,Gongduk,Sino-Tibetan
gof,Gofa,Afro-Asiatic
gog,Gogo,Niger-Congo
goi,Gebusi,Trans-New Guinea
goj,Gowlan,Indo-European
gok,Gowli,Indo-European
gol,Gola,Niger-Congo
gom,Goan Konkani,Indo-European
goo,Gone Dau,Austronesian
gop,Yeretuar,Austronesian
goq,Gorap,Austronesian
gor,Gorontalo,Austronesian
gos,Gronings,Indo-European
gou,Gavar,Afro-Asiatic
gov,Goo,Niger-Congo
gow,Gorowa,Afro-Asiatic
gox,Gobu,Niger-Congo
goy,Goundo,Niger-Congo
goz,Gozarkhani,Indo-European
gpa,Gupa-Abawa,Niger-Congo
gpe,Ghanaian Pidgin English,Creole
gpn,Tayap,Language isolate
gqa,Ga’anda,Afro-Asiatic
gqi,Guiqiong,Sino-Tibetan
gqn,Guana,Maipurean
gqr,Gor,Nilo-Saharan
gqu,Qau,Kra-Dai
gra,Rajput Garasia,Indo-European
grc,Ancient Greek,Indo-European
grd,Guruntum-Mbaaru,Afro-Asiatic
grg,Madi,Trans-New Guinea
grh,Tugbiri-Niragu,Niger-Congo
gri,Ghari,Austronesian
grj,"Grebo, Southern",Niger-Congo
grm,Kota Marudu Talantang,Austronesian
gro,Groma,Sino-Tibetan
grq,Gorovu,Ramu-Lower Sepik
grr,Taznatit,Afro-Asiatic
grs,Gresi,Nimboran
grt,Garo,Sino-Tibetan
gru,Kistane,Afro-Asiatic
grv,"Grebo, Central",Niger-Congo
grw,Gweda,Austronesian
grx,Muno,Kwomtari
gry,"Grebo, Barclayville",Niger-Congo
grz,Guramalum,Austronesian
gse,Ghanaian Sign Language,Sign language
gsg,German Sign Language,Sign language
gsl,Gusilay,Niger-Congo
gsm,Guatemalan Sign Language,Sign language
gsn,Nema,Trans-New Guinea
gso,Southwest Gbaya,Niger-Congo
gsp,Wasembo,Trans-New Guinea
gss,Greek Sign Language,Sign language
gsw,Swiss German,Indo-European
gta,Guató,Language isolate
gtu,Aghu-Tharnggala,Australian
gua,Shiki,Niger-Congo
gub,Guajajára,Tupian
guc,Wayuu,Maipurean
gud,Yocoboué Dida,Niger-Congo
gue,Gurindji,Australian
guf,Gupapuyngu,Australian
gug,Paraguayan Guaraní,Tupian
guh,Guahibo,Guajiboan
gui,Eastern Bolivian Guaraní,Tupian
guj,Gujarati,Indo-European
guk,Gumuz,Nilo-Saharan
gul,Sea Island English Creole,Creole
gum,Misak,Paezan
gun,Mbyá Guaraní,Tupian
guo,Guayabero,Guajiboan
gup,Gunwinggu,Australian
guq,Aché,Tupian
gur,Farefare,Niger-Congo
gus,Guinean Sign Language,Sign language
gut,Maléku Jaíka,Chibchan
guu,Yanomamö,Yanomaman
guw,Gun,Niger-Congo
gux,Gourmanchéma,Niger-Congo
guz,Ekegusii,Niger-Congo
gva,Guana,Mascoyan
gvc,Wanano,Tucanoan
gve,Duwet,Austronesian
gvf,Golin,Trans-New Guinea
gvj,Guajá,Tupian
gvl,Gulay,Nilo-Saharan
gvm,Gurmana,Niger-Congo
gvn,Kuku-Yalanji,Australian
gvo,Gavião do Jiparaná,Tupian
gvp,"Gavião, Pará",Jean
gvr,Gurung,Sino-Tibetan
gvs,Gumawana,Austronesian
gvy,Guyani,Australian
gwa,Mbato,Niger-Congo
gwb,Gwa,Niger-Congo
gwc,Gawri,Indo-European
gwd,Ale,Afro-Asiatic
gwe,Gweno,Niger-Congo
gwf,Gowro,Indo-European
gwg,Moo,Niger-Congo
gwi,Gwich’in,Eyak-Athabaskan
gwj,ǀGwi,Khoe-Kwadi
gwm,Awngthim,Australian
gwn,Gwandara,Afro-Asiatic
gwr,Gwere,Niger-Congo
gwt,Gawar-Bati,Indo-European
gwu,Guwamu,Australian
gww,Kwini,Australian
gwx,Gua,Niger-Congo
gxx,Wè Southern,Niger-Congo
gya,"Gbaya, Northwest",Niger-Congo
gyd,Kayardild,Australian
gye,Gyem,Niger-Congo
gyf,Gungabula,Australian
gyg,Gbayi,Niger-Congo
gyi,Gyele,Niger-Congo
gyl,Gayil,Afro-Asiatic
gym,Ngäbere,Chibchan
gyn,Guyanese English Creole,Creole
gyo,Gyalsumdo,Sino-Tibetan
gyr,Guarayu,Tupian
gyy,Gunya,Australian
gyz,Gyaazi,Afro-Asiatic
gza,Ganza,Afro-Asiatic
gzi,Gazi,Indo-European
gzn,Gane,Austronesian
haa,Han,Eyak-Athabaskan
hab,Hanoi Sign Language,Sign language
hac,Gurani,Indo-European
had,Hatam,Language isolate
hae,Eastern Oromo,Afro-Asiatic
haf,Haiphong Sign Language,Sign language
hag,Hanga,Niger-Congo
hah,Hahon,Austronesian
haj,Hajong,Indo-European
hak,Hakka Chinese,Sino-Tibetan
hal,Halang,Austro-Asiatic
ham,Hewa,Sepik
han,Hangaza,Niger-Congo
hao,Hakö,Austronesian
hap,Hupla,Trans-New Guinea
haq,Ha,Niger-Congo
har,Harari,Afro-Asiatic
has,Haisla,Wakashan
hat,Haitian Creole,Creole
hau,Hausa,Afro-Asiatic
hav,Havu,Niger-Congo
haw,Hawaiian,Austronesian
hax,"Haida, Southern",Haida
hay,Haya,Niger-Congo
haz,Hazaragi,Indo-European
hba,Hamba,Niger-Congo
hbb,Nya Huba,Afro-Asiatic
hbn,Heiban,Niger-Congo
hbo,Ancient Hebrew,Afro-Asiatic
hbu,Habun,Austronesian
hca,Andaman Hindi Creole,Creole
hch,Huichol,Uto-Aztecan
hdn,Northern Haida,Haida
hds,Honduran Sign Language,Sign language
hdy,Hadiyya,Afro-Asiatic
hea,"Miao, Northern Qiandong",Hmong-Mien
heb,Hebrew,Afro-Asiatic
hed,Herdé,Afro-Asiatic
heg,Helong,Austronesian
heh,Hehe,Niger-Congo
hei,Heiltsuk,Wakashan
hem,Hemba,Niger-Congo
her,Herero,Niger-Congo
hgm,Hai|ǁom,Khoe-Kwadi
hgw,Haigwai,Austronesian
hhi,Hoia Hoia,Trans-New Guinea
hhr,Kerak,Niger-Congo
hhy,Hoyahoya,Trans-New Guinea
hia,Lamang,Afro-Asiatic
hib,Hibito,Cholonan
hid,Hidatsa,Siouan-Catawban
hif,Fiji Hindi,Indo-European
hig,Kamwe,Afro-Asiatic
hih,Pamosu,Trans-New Guinea
hii,Hinduri,Indo-European
hij,Hijuk,Niger-Congo
hik,Seit-Kaitetu,Austronesian
hil,Hiligaynon,Austronesian
hin,Hindi,Indo-European
hio,Tshuwau,Khoe-Kwadi
hir,Himarimã,Unclassified
hiw,Hiw,Austronesian
hix,Hixkaryána,Cariban
hji,Haji,Austronesian
hka,Kahe,Niger-Congo
hke,Hunde,Niger-Congo
hkh,Khah,Indo-European
hkk,Hunjara-Kaina Ke,Trans-New Guinea
hkn,Mel-Khaonh,Austro-Asiatic
hks,Hong Kong Sign Language,Sign language
hla,Halia,Austronesian
hlb,Halbi,Indo-European
hld,Halang Doan,Austro-Asiatic
hle,Hlersu,Sino-Tibetan
hlt,Matu Chin,Sino-Tibetan
hma,"Miao, Southern Mashan",Hmong-Mien
hmb,"Songhay, Humburi Senni",Nilo-Saharan
hmc,"Miao, Central Huishui",Hmong-Mien
hmd,Large Flowery Miao,Hmong-Mien
hme,"Miao, Eastern Huishui",Hmong-Mien
hmf,Hmong Don,Hmong-Mien
hmg,"Miao, Southwestern Guiyang",Hmong-Mien
hmh,"Miao, Southwestern Huishui",Hmong-Mien
hmi,"Miao, Northern Huishui",Hmong-Mien
hmj,Ge,Hmong-Mien
hml,"Miao, Luopohe",Hmong-Mien
hmm,"Miao, Central Mashan",Hmong-Mien
hmo,Hiri Motu,Pidgin
hmp,"Miao, Northern Mashan",Hmong-Mien
hmq,"Miao, Eastern Qiandong",Hmong-Mien
hmr,Hmar,Sino-Tibetan
hms,"Miao, Southern Qiandong",Hmong-Mien
hmt,Hamtai,Trans-New Guinea
hmu,Hamap,Trans-New Guinea
hmv,Hmong Dô,Hmong-Mien
hmw,"Miao, Western Mashan",Hmong-Mien
hmy,"Miao, Southern Guiyang",Hmong-Mien
hmz,Sinicized Miao,Hmong-Mien
hna,Mina,Afro-Asiatic
hnd,Southern Hindko,Indo-European
hne,Chhattisgarhi,Indo-European
hng,Hungu,Niger-Congo
hnh,ǁAni,Khoe-Kwadi
hni,Hani,Sino-Tibetan
hnj,Hmong Njua,Hmong-Mien
hnn,Hanunoo,Austronesian
hno,Northern Hindko,Indo-European
hns,Sarnami Hindustani,Indo-European
hnu,Hung,Austro-Asiatic
hoa,Hoava,Austronesian
hob,Mari,Austronesian
hoc,Ho,Austro-Asiatic
hod,Holma,Afro-Asiatic
hoe,Horom,Niger-Congo
hoh,Hobyót,Afro-Asiatic
hoi,Holikachuk,Eyak-Athabaskan
hoj,Haroti,Indo-European
hol,Holu,Niger-Congo
hom,Homa,Niger-Congo
hoo,Holoholo,Niger-Congo
hop,Hopi,Uto-Aztecan
hor,Horo,Nilo-Saharan
hos,Ho Chi Minh City Sign Language,Sign language
hot,Malei,Austronesian
hov,Hovongan,Austronesian
how,Honi,Sino-Tibetan
hoy,Holiya,Dravidian
hoz,Hozo,Afro-Asiatic
hpo,Hpon,Sino-Tibetan
hps,Hawai‘i Sign Language,Sign language
hra,Hrangkhol,Sino-Tibetan
hrc,Niwer Mil,Austronesian
hre,Hre,Austro-Asiatic
hrk,Haruku,Austronesian
hrm,"Miao, Horned",Hmong-Mien
hro,Haroi,Austronesian
hrp,Nhirrpi,Australian
hrt,Hértevin,Afro-Asiatic
hru,Hruso,Sino-Tibetan
hrv,Croatian,Indo-European
hrw,Warwar Feni,Austronesian
hrx,Hunsrik,Indo-European
hrz,Harzani,Indo-European
hsb,Upper Sorbian,Indo-European
hsh,Hungarian Sign Language,Sign language
hsl,Hausa Sign Language,Sign language
hsn,Xiang Chinese,Sino-Tibetan
hss,Harsusi,Afro-Asiatic
hti,Hoti,Austronesian
hto,Minika Witoto,Witotoan
hts,Hadza,Language isolate
htu,Hitu,Austronesian
hub,Wampís,Jivaroan
huc,ǂ’Amkhoe,Kx’a
hud,Huaulu,Austronesian
hue,San Francisco del Mar Huave,Huavean
huf,Humene,Trans-New Guinea
hug,Huachipaeri,Harákmbut
huh,Huilliche,Mapudungu
hui,Huli,Trans-New Guinea
huj,"Miao, Northern Guiyang",Hmong-Mien
huk,Hulung,Austronesian
hul,Vula’a,Austronesian
hum,Hungana,Niger-Congo
hun,Hungarian,Uralic
huo,Hu,Austro-Asiatic
hup,Hupa,Eyak-Athabaskan
huq,Tsat,Austronesian
hur,Halkomelem,Salish
hus,Huastec,Mayan
hut,Humla,Sino-Tibetan
huu,Murui Witoto,Witotoan
huv,San Mateo del Mar Huave,Huavean
huw,Hukumina,Austronesian
hux,"Witoto, Nipode",Witotoan
huy,Hulaulá,Afro-Asiatic
huz,Hunzib,Nakh-Daghestanian
hvc,Haitian Vodoun Culture Language,Unclassified
hve,San Dionisio del Mar Huave,Huavean
hvk,Haveke,Austronesian
hvn,Hawu,Austronesian
hvv,"Huave, Santa María del Mar",Huavean
hwa,Wané,Niger-Congo
hwc,Hawaii Pidgin,Creole
hwo,Hwana,Afro-Asiatic
hya,Hya,Afro-Asiatic
hye,Armenian,Indo-European
hyw,Western Armenian,Indo-European
iai,Iaai,Austronesian
ian,Iatmul,Sepik
iar,Purari,Trans-New Guinea
iba,Iban,Austronesian
ibb,Ibibio,Niger-Congo
ibd,Iwaidja,Australian
ibe,Akpes,Niger-Congo
ibg,Ibanag,Austronesian
ibh,Bih,Austronesian
ibl,Ibaloi,Austronesian
ibm,Agoi,Niger-Congo
ibn,Ibino,Niger-Congo
ibo,Igbo,Niger-Congo
ibr,Ibuoro,Niger-Congo
ibu,Ibu,West Papuan
iby,Ibani,Niger-Congo
ica,Ede Ica,Niger-Congo
ich,Etkywan,Niger-Congo
icl,Icelandic Sign Language,Sign language
icr,Islander English Creole,Creole
ida,Luidakho-Luisukha-Lutirichi,Niger-Congo
idb,Indo-Portuguese,Creole
idc,Ajiya,Niger-Congo
idd,Ede Idaca,Niger-Congo
ide,Idere,Niger-Congo
idi,Idi,South-Central Papuan
idr,Indri,Niger-Congo
ids,Idesa,Niger-Congo
idt,Idaté,Austronesian
idu,Idoma,Niger-Congo
ifa,Amganad Ifugao,Austronesian
ifb,Batad Ifugao,Austronesian
ife,Ifè,Niger-Congo
iff,Ifo,Austronesian
ifk,Tuwali Ifugao,Austronesian
ifm,Teke-Wuumu,Niger-Congo
ifu,Mayoyao Ifugao,Austronesian
ify,"Kallahan, Keley-i",Austronesian
igb,Ebira,Niger-Congo
ige,Igede,Niger-Congo
igg,Igana,Ramu-Lower Sepik
igl,Igala,Niger-Congo
igm,Kanggape,Ramu-Lower Sepik
ign,Ignaciano,Maipurean
igo,Isebe,Gum
igw,Igwe,Niger-Congo
ihb,Iha Based Pidgin,Pidgin
ihi,Ihievbe,Niger-Congo
ihp,Iha,Trans-New Guinea
ihw,Bidhawal,Australian
iii,Nuosu,Sino-Tibetan
iin,Thiin,Australian
ijc,Izon,Niger-Congo
ije,Biseni,Niger-Congo
ijj,Ede Ije,Niger-Congo
ijn,Kalabari,Niger-Congo
ijs,"Ijo, Southeast",Niger-Congo
ike,Eastern Canadian Inuktitut,Eskimo-Aleut
ikh,Ikhin-Aokho,Niger-Congo
iki,Iko,Niger-Congo
ikk,Ika,Niger-Congo
ikl,Ikulu,Niger-Congo
iko,Olulumo-Ikom,Niger-Congo
ikp,Ikpeshi,Niger-Congo
ikr,Ikaranggal,Australian
iks,Inuit Sign Language,Sign language
ikt,Inuinnaqtun,Eskimo-Aleut
ikv,Iku-Gora-Ankwa,Niger-Congo
ikw,Ikwere,Niger-Congo
ikx,Ik,Nilo-Saharan
ikz,Ikizu,Niger-Congo
ila,Ile Ape,Austronesian
ilb,Ila,Niger-Congo
ilg,Garig-Ilgar,Australian
ili,Ili Turki,Turkic
ilk,Bogkalot,Austronesian
ilm,Iranun,Austronesian
ilo,Ilocano,Austronesian
ilp,Iranun,Austronesian
ils,International Sign,Sign language
ilu,Ili’uun,Austronesian
ilv,Ilue,Niger-Congo
ima,Mala Malasar,Dravidian
imi,Anamuxra,Trans-New Guinea
iml,Miluk,Coosan
imn,Imonda,Border
imo,Imbongu,Trans-New Guinea
imr,Imroing,Austronesian
imt,Imotong,Nilo-Saharan
inb,Inga,Quechuan
ind,Indonesian,Austronesian
ing,Deg Xinag,Eyak-Athabaskan
inh,Ingush,Nakh-Daghestanian
inj,"Inga, Jungle",Quechuan
inl,Indonesian Sign Language,Sign language
inn,Isinay,Austronesian
ino,Inoke-Yate,Trans-New Guinea
inp,Iñapari,Maipurean
ins,Indian Sign Language,Sign language
int,Intha,Sino-Tibetan
inz,Ineseño,Chumashan
ior,Inor,Afro-Asiatic
iou,Tuma-Irumu,Trans-New Guinea
iow,Iowa-Oto,Siouan-Catawban
ipi,Ipili,Trans-New Guinea
ipo,Ipiko,Trans-New Guinea
iqu,Iquitu,Zaparoan
iqw,Ikwo,Niger-Congo
ire,Yeresiam,Austronesian
irh,Irarutu,Austronesian
iri,Rigwe,Niger-Congo
irk,Iraqw,Afro-Asiatic
irn,Irántxe,Language isolate
irr,Ir,Austro-Asiatic
iru,Irula,Dravidian
irx,Kamberau,Trans-New Guinea
iry,Iraya,Austronesian
isa,Isabi,Trans-New Guinea
isc,Isconahua,Panoan
isd,Isnag,Austronesian
ise,Italian Sign Language,Sign language
isg,Irish Sign Language,Sign language
ish,Esan,Niger-Congo
isi,Nkem-Nkum,Niger-Congo
isk,Ishkashimi,Indo-European
isl,Icelandic,Indo-European
ism,Masimasi,Austronesian
isn,Isanzu,Niger-Congo
iso,Isoko,Niger-Congo
isr,Israeli Sign Language,Sign language
ist,Istriot,Indo-European
isu,Isu,Niger-Congo
ita,Italian,Indo-European
itb,"Itneg, Binongan",Austronesian
itd,"Tidung, Southern",Austronesian
ite,Itene,Chapacuran
iti,"Itneg, Inlaud",Austronesian
itk,Judeo-Italian,Indo-European
itl,Itelmen,Chukotko-Kamchatkan
itm,Itu Mbon Uzo,Niger-Congo
ito,Itonama,Language isolate
itr,Yawuno Teneyo,Arai (Left May)
its,Isekiri,Niger-Congo
itt,"Itneg, Maeng",Austronesian
itv,Itawit,Austronesian
itw,Ito,Niger-Congo
itx,Itik,Tor-Kwerba
ity,"Itneg, Moyadan",Austronesian
itz,Itza’,Mayan
ium,Iu Mien,Hmong-Mien
ivb,Ibatan,Austronesian
ivv,Ivatan,Austronesian
iwk,I-wak,Austronesian
iwm,Iwam,Sepik
iwo,Morop,Trans-New Guinea
iws,"Iwam, Sepik",Sepik
ixc,Ixcatec,Otomanguean
ixl,Ixil,Mayan
iya,Iyayu,Niger-Congo
iyo,Mesaka,Niger-Congo
iyx,Yaka,Niger-Congo
izh,Ingrian,Uralic
izm,Kizamani,Niger-Congo
izr,Izere,Niger-Congo
izz,Izii,Niger-Congo
jaa,Jamamadí,Arauan
jab,Hyam,Niger-Congo
jac,Jakalteko,Mayan
jad,Jahanka,Niger-Congo
jae,Yabem,Austronesian
jaf,Jara,Afro-Asiatic
jah,Jah Hut,Austro-Asiatic
jaj,Zazao,Austronesian
jak,Jakun,Austronesian
jal,Yalahatan,Austronesian
jam,Jamaican English Creole,Creole
jan,Jandai,Australian
jao,Yanyuwa,Australian
jaq,Yaqay,Trans-New Guinea
jas,"Javanese, New Caledonian",Austronesian
jat,Inku,Indo-European
jau,Yaur,Austronesian
jav,Javanese,Austronesian
jax,"Malay, Jambi",Austronesian
jay,Yan-nhangu,Australian
jaz,Jawe,Austronesian
jbe,Judeo-Berber,Afro-Asiatic
jbj,Arandai,Trans-New Guinea
jbk,Barikewa,Trans-New Guinea
jbm,Bijim,Niger-Congo
jbn,Nafusi,Afro-Asiatic
jbr,Jofotek-Bromnya,Tor-Kwerba
jbt,Jabutí,Jabutian
jbu,Jukun Takum,Niger-Congo
jbw,Yawijibaya,Australian
