eng,deu_m,deu_f,deu_n,output,extracted
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"Sure! The translation of ""I am Salvadoran"" into German is ""Ich bin Salvadorianer.""",['Ich bin Salvadorianer.']
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,"Sure! The translation of ""I am Sammarinese"" into German is ""Ich bin Sammarinese.""",['Ich bin Sammarinese.']
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"Sure! The translation of ""I am Somali"" into German is ""Ich bin Somali.""",['Ich bin Somali.']
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"Sure! The translation of ""I am Serbian"" into German is ""Ich bin Serbe"" for a male speaker or ""Ich bin Serbin"" for a female speaker.","['Ich bin Serbe', 'Ich bin Serbin']"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"Sure! The translation of ""I am South Sudanese"" into German is ""Ich bin Südsudanese/Südsudanesin.""",['Ich bin Südsudanese/Südsudanesin.']
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"Sure! The translation of ""I am Sao Tomean"" into German is ""Ich bin aus São Tomé und Príncipe.""",['Ich bin aus São Tomé und Príncipe.']
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"Sure! The translation of ""I am Surinamer"" into German is ""Ich bin Surinamer.""",['Ich bin Surinamer.']
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"Sure! The translation of ""I am Slovak"" into German is ""Ich bin Slowake / Slowakin.""",['Ich bin Slowake / Slowakin.']
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"Sure! The translation of ""I am Slovene"" into German is ""Ich bin Slowene.""",['Ich bin Slowene.']
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"Sure! The translation of ""I am Swedish"" into German is ""Ich bin Schwede.""",['Ich bin Schwede.']
I am Swazi.,,,Ich bin Swasi.,"Sure! The translation of ""I am Swazi"" into German is ""Ich bin Swasi.""",['Ich bin Swasi.']
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"Sure! The translation of ""I am Seychellois"" into German is ""Ich bin Seychellois.""",['Ich bin Seychellois.']
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"Sure! The translation of ""I am Syrian"" into German is ""Ich bin Syrer.""",['Ich bin Syrer.']
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,"Sure! The translation of ""I am Chadian"" into German is ""Ich bin Tschader.""",['Ich bin Tschader.']
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"Sure! The translation of ""I am Togolese"" into German is ""Ich bin Togolese/Togolesin.""",['Ich bin Togolese/Togolesin.']
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,"Sure! The translation of ""I am Thai"" into German is ""Ich bin Thai.""",['Ich bin Thai.']
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,"Sure! The translation of ""I am Tadzhik"" into German is ""Ich bin Tadschike.""",['Ich bin Tadschike.']
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"Sure! The translation of ""I am Turkmen"" into German is ""Ich bin Turkmenisch.""",['Ich bin Turkmenisch.']
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"Sure! The translation of ""I am East Timorese"" into German is ""Ich bin Osttimorese/Osttimoresin.""",['Ich bin Osttimorese/Osttimoresin.']
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,"Sure! The translation of ""I am Tongan"" into German is ""Ich bin Tonganer.""",['Ich bin Tonganer.']
I am Trinidadian.,,,,"Sure! The translation of ""I am Trinidadian"" into German is ""Ich bin aus Trinidad.""",['Ich bin aus Trinidad.']
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"Sure! The translation of ""I am Tunisian"" into German is ""Ich bin Tunesier.""",['Ich bin Tunesier.']
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"Sure! The translation of ""I am Turkish"" into German is ""Ich bin Türke / Ich bin Türkin"" depending on the gender of the speaker.",['Ich bin Türke / Ich bin Türkin']
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"Sure! The translation of ""I am Tuvaluan"" into German is ""Ich bin Tuvaluaner.""",['Ich bin Tuvaluaner.']
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"Sure! The translation of ""I am Tanzanian"" into German is ""Ich bin Tansanier.""",['Ich bin Tansanier.']
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,"Sure! The translation of ""I am Ugandan"" into German is ""Ich bin Ugander.""",['Ich bin Ugander.']
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"Sure! The translation of ""I am Ukrainian"" into German is ""Ich bin Ukrainer.""",['Ich bin Ukrainer.']
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"Sure! The translation of ""I am Uruguayan"" into German is ""Ich bin Uruguayer.""",['Ich bin Uruguayer.']
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"Sure! The translation of ""I am American"" into German is ""Ich bin Amerikaner.""",['Ich bin Amerikaner.']
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"Sure! The translation of ""I am Uzbekistani"" into German is ""Ich bin Usbeke/Usbekin.""",['Ich bin Usbeke/Usbekin.']
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"Sure! The translation of ""I am Saint Vincentian"" into German is ""Ich bin Vincentiner.""",['Ich bin Vincentiner.']
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"Sure! The translation of ""I am Venezuelan"" into German is ""Ich bin Venezolaner.""",['Ich bin Venezolaner.']
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"Sure! The translation of ""I am Vietnamese"" into German is ""Ich bin Vietnamese.""",['Ich bin Vietnamese.']
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,"Sure! The translation of ""I am Ni-Vanuatu"" into German is ""Ich bin Ni-Vanuatu.""",['Ich bin Ni-Vanuatu.']
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"Sure! The translation of ""I am Samoan"" into German is ""Ich bin Samoaner.""",['Ich bin Samoaner.']
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"Sure! The translation of ""I am Yemeni"" into German is ""Ich bin Jemenit.""",['Ich bin Jemenit.']
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"Sure! The translation of ""I am South African"" into German is ""Ich bin Südafrikaner.""",['Ich bin Südafrikaner.']
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,"Sure! The translation of ""I am Zambian"" into German is ""Ich bin Sambier.""",['Ich bin Sambier.']
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"Sure! The translation of ""I am Zimbabwean"" into German is ""Ich bin Simbabwer/in.""","['Ich bin Simbabwer.', 'Ich bin Simbabwerin.']"
