eng,fra_m,fra_f,fra_n,output
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"Je suis sénégalais(e).

* **Je suis sénégalais** is used if you are a male.
* **Je suis sénégalaise** is used if you are a female.
"
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"Je suis singapourien(ne).

* **Je suis singapourien** is used for a male.
* **Je suis singapourienne** is used for a female.
"
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"The most straightforward translation is: **Je suis Salomonien.**
"
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"Je suis Sierra-Léonais(e).

* **Je suis** means ""I am""
* **Sierra-Léonais** is the masculine form of Sierra Leonean.
* **Sierra-Léonaise** is the feminine form of Sierra Leonean.  You would use the feminine form if you are a woman.
"
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"Je suis salvadorien(ne).

* **Je suis salvadorien** is used for a male speaker.
* **Je suis salvadorienne** is used for a female speaker.
"
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"Je suis sammarinais(e).
"
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"Je suis somalien(ne).

* **Je suis somalien** is used for a male speaker.
* **Je suis somalienne** is used for a female speaker.
"
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,"Je suis Serbe.  (If you are male)
Je suis Serbe. (If you are female)

While the adjective ""Serbe"" doesn't change for gender in this sentence,  it's important to note the difference would be apparent if you were describing something as Serbian.  For example, ""a Serbian flag"" would be ""un drapeau serbe"" (masculine) or ""une robe serbe"" (feminine).
"
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"Je suis Sud-Soudanais(e).

* **Je suis** means ""I am""
* **Sud-Soudanais** means ""South Sudanese""  The ""(e)"" at the end is added for the feminine form.  If you are a man, you would use just ""Sud-Soudanais"". If you are a woman, you would use ""Sud-Soudanaise"".
"
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"The most straightforward translation is: **Je suis Sao-Toméen.**  (For a male speaker)

For a female speaker, it would be: **Je suis Sao-Toméenne.**
"
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"The most straightforward translation is: **Je suis surinamais.**  (If the speaker is male) or **Je suis surinamaisE.** (If the speaker is female).
"
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,"Je suis slovaque.
"
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,"The most straightforward translation is: **Je suis slovène.**
"
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"Je suis suédois (masculine) or Je suis suédoise (feminine).
"
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"The most straightforward translation is: **Je suis Swazi.**
"
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"Je suis seychellois(e).

* **Je suis seychellois** is used for a male speaker.
* **Je suis seychelloise** is used for a female speaker.
"
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"Je suis Syrien(ne).

* **Je suis Syrien** is used if the speaker is a male.
* **Je suis Syrienne** is used if the speaker is a female.
"
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"Je suis tchadien(ne).

* **Je suis tchadien** is used if you are a male.
* **Je suis tchadienne** is used if you are a female.
"
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"Je suis Togolais(e).

* **Je suis Togolais** is used for a male speaker.
* **Je suis Togolaise** is used for a female speaker.
"
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"Je suis thaïlandais(e).

* **Je suis** means ""I am""
* **thaïlandais** is the masculine form of ""Thai""
* **thaïlandaise** is the feminine form of ""Thai""

You need to use the masculine or feminine form depending on your gender.
"
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,"The most straightforward translation is: **Je suis tadjik.**
"
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,"Je suis Turkmène.  (If the speaker is female)

Je suis Turkmène. (If the speaker is male - the adjective doesn't change in this case)
"
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"The most straightforward translation is: **Je suis Timorais de l'Est.**
"
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"Je suis tongien(ne).

* **Je suis tongien** is used for a male speaker.
* **Je suis tongienne** is used for a female speaker.
"
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"Je suis Trinidadien(ne).

* **Je suis Trinidadien** is used for a male.
* **Je suis Trinidadienne** is used for a female.
"
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"Je suis tunisien(ne).

* **Je suis tunisien** is used if you are a male.
* **Je suis tunisienne** is used if you are a female.
"
I am Turkish.,Je suis Turc.,Je suis Turque.,,"Je suis turc/turque.

* **Je suis turc** is used if the speaker is male.
* **Je suis turque** is used if the speaker is female.
"
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"The most straightforward translation is: **Je suis Tuvaluan.**
"
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"Je suis Tanzanien(ne).

* **Je suis Tanzanien** is used if the speaker is male.
* **Je suis Tanzanienne** is used if the speaker is female.
"
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"Je suis ougandais(e).

* **Je suis** means ""I am""
* **ougandais** is the masculine form of ""Ugandan""
* **ougandaise** is the feminine form of ""Ugandan""

You would use ""ougandais"" if you are a man and ""ougandaise"" if you are a woman.
"
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"Je suis Ukrainien(ne).

* **Je suis Ukrainien** is used if the speaker is male.
* **Je suis Ukrainienne** is used if the speaker is female.
"
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"Je suis uruguayen(ne).

* **Je suis uruguayen** is used if you are a male.
* **Je suis uruguayenne** is used if you are a female.
"
I am American.,Je suis Américain.,Je suis Américaine.,,"Je suis américain(e).

* **Je suis américain** is used if the speaker is a male.
* **Je suis américaine** is used if the speaker is a female.
"
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"Je suis Ouzbek.
"
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"The most straightforward translation is: **Je suis saint-vincentien(ne).**

* **Je suis** means ""I am""
* **saint-vincentien** is the masculine form of the adjective meaning ""Saint Vincentian""
* **saint-vincentienne** is the feminine form.  You would use the feminine form if you are a woman.
"
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"Je suis vénézuélien(ne).

* **Je suis vénézuélien** is used if you are a male.
* **Je suis vénézuélienne** is used if you are a female.
"
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"Je suis vietnamien(ne).

* **Je suis vietnamien** is used if you are a male.
* **Je suis vietnamienne** is used if you are a female.
"
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,"The most straightforward translation is: **Je suis Ni-Vanuatu.**
"
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,"Je suis samoan.
"
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,"Je suis yéménite. (If female)
Je suis yéménite. (If male)


While grammatically correct,  it's important to note that  ""yéménite"" is used for both male and female in modern French.  Older texts might use ""yéménite"" for female and ""yéménit"" for male, but this distinction is rarely observed now.
"
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"Je suis sud-africain(e).

* **Je suis** means ""I am""
* **sud-africain** means ""South African"" (masculine)
* **sud-africaine** means ""South African"" (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"Je suis Zambien(ne).

* **Je suis Zambien** is used if the speaker is male.
* **Je suis Zambienne** is used if the speaker is female.
"
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"Je suis Zimbabwéen(ne).
"
