eng,spa_m,spa_f,spa_n,output
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,"Soy tanzano/tanzana.

Use *tanzano* if you are male and *tanzana* if you are female.
"
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,"Soy ugandés/ugandesa.

You use *ugandés* if you are a male, and *ugandesa* if you are a female.
"
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"Soy ucraniano/a.
"
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"Soy uruguayo/a.


You use *uruguayo* if you are male and *uruguaya* if you are female.
"
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"Soy estadounidense.  (Most common and generally accepted)

You could also say:

* Soy americano/a. (More literal, and acceptable in some contexts, but can also refer to someone from the Americas in general. Use *americano* if you are male and *americana* if you are female.)
"
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"Soy uzbeko/uzbeka.


You use ""uzbeko"" if you are a male and ""uzbeka"" if you are a female.
"
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"The most straightforward translation is: **Soy sanvicentino/sanvicentina.**

However, context is important.  If you're referring to being from St. Vincent and the Grenadines, you might say: **Soy de San Vicente y las Granadinas.**

If you're referring to being a member of a Vincentian religious order (like the Daughters of Charity or the Congregation of the Mission), you might say: **Soy vicentino/vicentina.**  ("
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"Soy venezolano/venezolana.


You use *venezolano* if you are a male and *venezolana* if you are a female.
"
I am Vietnamese.,,,Soy vietnamita.,"Soy vietnamita.
"
I am Ni-Vanuatu.,,,Soy vanuatuense.,"Soy ni-vanuatu.
"
I am Samoan.,Soy samoano.,Soy samoana.,,"Soy samoano/samoana.


You use *samoano* if you are a male, and *samoana* if you are a female.
"
I am Yemeni.,,,Soy yemení.,"Soy yemení.
"
I am South African.,Soy sudafricano.,Soy sudafricana.,,"Soy sudafricano/sudafricana.


You use *sudafricano* if you are a male and *sudafricana* if you are female.
"
I am Zambian.,Soy zambiano.,Soy zambiana.,,"Soy zambiano/zambiana.


Use *zambiano* if you are a male, and *zambiana* if you are a female.
"
I am Zimbabwean.,,,Soy zimbabuense.,"Soy zimbabuense.
"
