eng,deu_m,deu_f,deu_n,output
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"Ich bin Burmese.  (feminine)
Ich bin Burme. (masculine)

While ""Burmese"" doesn't have a direct grammatical gender in English, German nouns *do*.  So, you need to choose the correct form depending on whether you are male or female.  If you're talking about someone else, you'd use ""er ist Burme"" (masculine) or ""sie ist Burmesin"" (feminine).  There is also"
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"Ich bin Montenegriner/in. 

(Use *Montenegriner* if you are male and *Montenegrinerin* if you are female.)
"
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"Ich bin Mongole/Mongolin.

You use ""Mongole"" if you are male and ""Mongolin"" if you are female.  If you want a gender-neutral option, although less common, you could say: ""Ich komme aus der Mongolei"" (I come from Mongolia).  Or, even more formally: ""Ich bin mongolischer Herkunft"" (I am of Mongolian origin).
"
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"Ich bin Mosambikaner/in.  (male/female)

Or, less common but also correct:

Ich komme aus Mosambik. (I come from Mozambique)
Ich bin aus Mosambik. (I am from Mozambique)
"
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,"Ich bin Mauretanier/in. 

You need both the masculine (Mauretanier) and feminine (Mauretanierin) forms because German uses grammatical gender.  If you know the gender of the person you're talking about, use the appropriate form. If you don't know, using both is the most inclusive way to write it.  You could also write:

Ich komme aus Mauretanien. (I come from Mauritania) - This avoids the gender issue altogether"
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"Ich bin Mauritier/Mauritierin.

If you want to be more specific about your nationality (as opposed to ethnicity), you could also say:

Ich habe die mauritische Staatsbürgerschaft. (I have Mauritian citizenship.)
Ich bin mauritischer Staatsbürger/mauritische Staatsbürgerin. (I am a Mauritian citizen.)
"
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"Ich bin Malawier/Malawierin.

If you know you are speaking to a male, use ""Malawier"".  If you know you are speaking to a female, use ""Malawierin"". If you don't know, or are speaking to a mixed group, ""Malawier"" is generally preferred.  You could also say:

Ich komme aus Malawi. (I come from Malawi) - This option is gender-neutral and often preferred.
"
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"Ich bin Malaysier. (male)
Ich bin Malaysierin. (female)
Ich komme aus Malaysia. (literally ""I come from Malaysia,"" gender-neutral and often preferred)
"
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"Ich bin Namibier/in. 

(If you are male, use ""Namibier""; if you are female, use ""Namibierin"".)
"
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,"The most straightforward translation is: ""Ich bin Nigerer."" (masculine) or ""Ich bin Nigererin."" (feminine)

However, it's important to note that ""Nigerer/Nigererin"" can sound a bit formal or even antiquated.  In spoken German, people might use ""Ich komme aus Niger."" (I come from Niger) which is generally understood and avoids any potential awkwardness.

Therefore, while ""Ich bin Nigerer/Nigererin"" is grammatically"
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"Ich bin Nigerianer/Nigerianerin.

(Use ""Nigerianer"" if you are male and ""Nigerianerin"" if you are female.)
"
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"Ich bin Nicaraguaner/in. 

(If you are male, use ""Nicaraguaner."" If you are female, use ""Nicaraguanerin."")
"
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"Ich bin Niederländer. (male)
Ich bin Niederländerin. (female)
Ich bin Niederländisch. (neutral, less common but accepted)
"
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"Ich bin Norweger. (male)

Ich bin Norwegerin. (female)
"
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,"Ich bin Nepalese.
"
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,"Ich bin Nauerer/Nauererin.

You need both the masculine (Nauerer) and feminine (Nauererin) forms because German uses grammatical gender.  If you are writing and know the gender of the person you can use the appropriate form. If you are speaking and don't know, or want to be gender-neutral, you could also say:

* Ich komme aus Nauru. (I come from Nauru.) - This avoids the gender issue altogether."
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"The most straightforward translation is: **Ich bin Neuseeländer.** (masculine) or **Ich bin Neuseeländerin.** (feminine)

You could also say: **Ich komme aus Neuseeland.** (I come from New Zealand) - This is gender-neutral and often preferred.

Another option, though less common, is: **Ich bin ein Neuseeländer.** (masculine) or **Ich bin eine Neuseeländerin.** (feminine"
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"Ich bin Omaner/Omanerin.

You use ""Omaner"" if you are male and ""Omanerin"" if you are female.  If you want a gender-neutral option, although less common, you could say: ""Ich komme aus Oman"" (I come from Oman).  Or, even more formally: ""Ich bin omanischer Staatsbürger/omanische Staatsbürgerin"" (I am an Omani citizen - masculine/feminine).
"
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"Ich bin Pakistaner/in.  (male/female)

Or, more formally:

Ich bin pakistanischer Staatsbürger/in. (male/female citizen)
"
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"Ich bin Panamaer/in.  (If speaking to someone you don't know well, or in a formal setting)

Ich bin Panamaer. (If male)

Ich bin Panamaerin. (If female)
"
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"Ich bin Peruaner/in. 

(If you are male, use *Peruaner*. If you are female, use *Peruanerin*.)
"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"Ich bin Filipino/Filipina.

(Use ""Filipino"" if you are male and ""Filipina"" if you are female.)
"
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,"Ich bin Palauer. (masculine)
Ich bin Palauerin. (feminine)
"
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"Ich bin Papua-Neuguineer. (masculine)
Ich bin Papua-Neuguineerin. (feminine)
"
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"Ich bin Polin. (female)
Ich bin Pole. (male)
"
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"The most straightforward translation is: **Ich bin Nordkoreaner.** (masculine) or **Ich bin Nordkoreanerin.** (feminine)

You could also say: **Ich komme aus Nordkorea.** (I come from North Korea), which is less about nationality and more about place of origin.  This is useful if you want to emphasize where you're from geographically rather than your citizenship.

Another option, though less common, is: **Ich habe die nordkoreanische Staatsbür"
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"Ich bin Portugiese. (masculine)
Ich bin Portugiesin. (feminine)
"
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"Ich bin Paraguayer/in.  (male/female)

Or, less common but also correct:

Ich komme aus Paraguay. (I come from Paraguay)
"
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"Ich bin Katarer/in.

If you are male, use:  Ich bin Katarer.
If you are female, use: Ich bin Katarerin.

If you don't want to specify your gender, or are unsure which to use in a particular context, you could also say:  Ich komme aus Katar. (I come from Qatar).  This is a common and perfectly acceptable alternative.
"
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"Ich bin Rumäne. (masculine)
Ich bin Rumänin. (feminine)
"
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"Ich bin Russin. (female)
Ich bin Russe. (male)
Ich bin russisch. (neutral/gender-neutral, literally ""I am Russian"")
"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,"Ich bin Ruander/Ruanderin.

If you are male, use ""Ruander"".  If you are female, use ""Ruanderin"".  If you don't want to specify your gender, or are writing in a formal context, ""Ruander"" is generally preferred.
"
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"The most straightforward translation is: **Ich bin Saudi-Araber/Saudi-Araberin.**

* Use **Saudi-Araber** if you are male.
* Use **Saudi-Araberin** if you are female.

You could also say: **Ich komme aus Saudi-Arabien.** (I come from Saudi Arabia). This is a slightly less direct way of stating your nationality but is perfectly acceptable and often used.

Another option, though less common, is:"
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"Ich bin Sudanese/Sudanesin.

You use *Sudanese* if you are male and *Sudanesin* if you are female.  If you want a gender-neutral option, you could say:

Ich komme aus dem Sudan. (I come from Sudan.)
"
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"Ich bin Senegalese.
"
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"Ich bin Singapurer. (masculine)
Ich bin Singapurerin. (feminine)
Ich komme aus Singapur. (gender-neutral, literally ""I come from Singapore"")
"
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,"The most straightforward translation is: **Ich bin Salomoner.** (masculine) or **Ich bin Salomonerin.** (feminine)

However, this might sound a bit unusual to a German speaker.  It's more common to express origin using the preposition ""von den"":

* **Ich komme von den Salomonen.** (I come from the Solomon Islands) - This is the most natural and commonly used option.
* **Ich bin von den Salomoninseln.** (I am"
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"Ich bin Sierra-Leonerin. (female)
Ich bin Sierra-Leoner. (male)
"
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"The most common and straightforward translation is:

**Ich bin Salvadorianer/in.**

* Use ""Salvadorianer"" if you are male.
* Use ""Salvadorianerin"" if you are female.


You could also say:

**Ich komme aus El Salvador.** (I come from El Salvador) - This is a good option if the context is about your origin rather than your nationality.

**Ich bin aus El Salvador.** (I am from El Salvador) -  "
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,"Ich bin Sanmarinesin/Sanmarineser.

You use ""Sanmarinesin"" if you are female and ""Sanmarineser"" if you are male.
"
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"Ich bin Somalier/in.  (male/female)

Or, more formally:

Ich bin somalischer Herkunft. (I am of Somali origin)
"
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"Ich bin Serbe. (masculine)
Ich bin Serbin. (feminine)
"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"Ich bin Südsudanese/Südsudanesin.

You use *Südsudanese* if you are male and *Südsudanesin* if you are female.
"
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"Ich bin São-Toméer. (male)
Ich bin São-Toméerin. (female)
"
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"Ich bin Surinamer/Surinamerin.

If you know the gender of the person, you would use:

* **Ich bin Surinamer.** (male)
* **Ich bin Surinamerin.** (female)

If you don't know the gender, or want to be gender-neutral, you could also say:

* **Ich komme aus Suriname.** (I come from Suriname) - This is a more common and generally preferred option in modern German"
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"Ich bin Slowake. (masculine)
Ich bin Slowakin. (feminine)
"
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"Ich bin Slowene. (masculine)
Ich bin Slowenin. (feminine)
"
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"Ich bin Schwede. (male)
Ich bin Schwedin. (female)
Ich bin schwedisch. (neutral/if you don't want to specify gender)
"
I am Swazi.,,,Ich bin Swasi.,"Ich bin Swasi.
"
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"Ich bin Seycheller/Seychellerin.
"
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"Ich bin Syrer. (male)
Ich bin Syrerin. (female)
"
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,"Ich bin Tschader/in.

You need to choose the correct ending depending on your gender:

* **Tschader:** male
* **Tschaderin:** female
"
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"Ich bin Togolese.
"
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,"Ich bin Thailänder/Thailänderin.

(Use ""Thailänder"" if you are male and ""Thailänderin"" if you are female.)
"
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,"Ich bin Tadschike. (masculine)
Ich bin Tadschikin. (feminine)
"
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"Ich bin Turkmene. (feminine)
Ich bin Turkmene. (masculine)

The word ""Turkmene"" in German is the same for both masculine and feminine genders.  If you want to be more explicit, you could say:

* **Ich bin ein Turkmene.** (masculine)
* **Ich bin eine Turkmenin.** (feminine)

However, simply using ""Ich bin Turkmene"" is perfectly acceptable and common.
"
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"The most straightforward translation is: **Ich bin Osttimorese/Osttimorese**.

* **Ich bin Osttimorese** (feminine)
* **Ich bin Osttimorese** (masculine)

The word for East Timorese doesn't change based on gender.  You could also say:

* **Ich komme aus Osttimor.** (I come from East Timor.) - This is a more general way to express your origin.

* **Ich bin aus"
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,"Ich bin Tongaer. (masculine)
Ich bin Tongaerin. (feminine)
"
I am Trinidadian.,,,,"The most straightforward translation is: **Ich bin Trinidader/Trinidaderin.**

* Use **Trinidader** if you are male.
* Use **Trinidaderin** if you are female.

You could also say: **Ich komme aus Trinidad und Tobago.** (I come from Trinidad and Tobago).  This is generally preferred as it acknowledges both islands of the nation.  It also avoids any potential gender confusion.
"
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"Ich bin Tunesier. (masculine)
Ich bin Tunesierin. (feminine)
"
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"Ich bin Türke. (masculine)
Ich bin Türkin. (feminine)
"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"Ich bin Tuvaluaner. (masculine)
Ich bin Tuvaluanerin. (feminine)
"
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"Ich bin Tansanier/in.  (masculine/feminine)

Or, more formally:

Ich bin Tansanier. (masculine)
Ich bin Tansanierin. (feminine)

If you want to be gender-neutral, although less common, you could say:

Ich komme aus Tansania. (I come from Tanzania)
Ich bin aus Tansania. (I am from Tanzania)
"
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,"Ich bin Ugander. (male)
Ich bin Uganderin. (female)
"
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"Ich bin Ukrainer. (male)
Ich bin Ukrainerin. (female)
"
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"Ich bin Uruguayer. (masculine)
Ich bin Uruguayerin. (feminine)
Ich bin Uruguayisch. (gender-neutral, though less common)
"
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"Ich bin Amerikaner/Amerikanerin.

(Amerikaner is used for male, Amerikanerin for female.  If you want a gender-neutral option, although less common in spoken German, you could say ""Ich bin Amerikanisch"" which translates to ""I am American"" but more literally means ""I am of American nationality"".)
"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"Ich bin Usbeke. (masculine)
Ich bin Usbekin. (feminine)
"
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"The best translation depends on the context. Here are a few options:

* **Ich bin Vinzentiner.** (This is the most straightforward translation if you mean you are a member of the Congregation of the Mission, a Catholic religious community founded by St. Vincent de Paul.)

* **Ich bin Vinzentinerin.** (This is the feminine form, used if you are a woman.)

* **Ich bin aus St. Vincent.** (This means ""I am from St. Vincent"
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"Ich bin Venezolaner/in.  (male/female)

Or, less common but also correct:

Ich komme aus Venezuela. (I come from Venezuela)
"
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"Ich bin Vietnamesin. (female)

Ich bin Vietnamese. (male)
"
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,"Ich bin Ni-Vanuatu.
"
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"Ich bin Samoaner/in.  (male/female)

Or, if you want to emphasize your ethnicity:

Ich bin samoanischer Abstammung. (male/female - ""I am of Samoan descent."")
"
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"Ich bin Jemenitin/Jemenit.

You need both the feminine (Jemenitin) and masculine (Jemenit) forms because German nouns have genders and adjectives/nationality descriptors change based on gender.  Without knowing the gender of the speaker, both forms should be provided.
"
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"Ich bin Südafrikaner/in. 

(If you are male, use *Südafrikaner*. If you are female, use *Südafrikanerin*.)

You could also say:

Ich komme aus Südafrika. (I come from South Africa.)  This is a slightly less direct translation but perfectly acceptable and often used.
"
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,"Ich bin Sambier/Sambierin.

If you are male, use ""Sambier"".  If you are female, use ""Sambierin"".  If you don't want to specify your gender, or are writing in a formal context, ""Sambier"" is generally preferred.
"
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"Ich bin Simbabwer/in.

You need both the masculine (Simbabwer) and feminine (Simbabwerin) forms because German uses grammatical gender.  If you're a man, you'd say ""Ich bin Simbabwer."" If you're a woman, you'd say ""Ich bin Simbabwerin.""  If you want a gender-neutral option, although less common, you could say ""Ich komme aus Simbabwe"" (I come from"
