eng,deu_m,deu_f,deu_n,output
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"The most straightforward translation is: **Ich bin São Toméer/in.**

* **São Toméer** is used for a male Sao Tomean.
* **São Toméerin** is used for a female Sao Tomean.
"
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"The most straightforward translation is: **Ich bin Surinamer.**
"
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"Ich bin Slowake. (masculine)
Ich bin Slowakin. (feminine)

You need to use the masculine or feminine form depending on your gender.
"
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"Ich bin Slowene.
"
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"Ich bin Schwedin. (if the speaker is female)

Ich bin Schwede. (if the speaker is male)
"
I am Swazi.,,,Ich bin Swasi.,"The most straightforward translation is: **Ich bin Swazi.**
"
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"Ich bin Seychellois.
"
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"Ich bin Syrer/Syrin.

* **Ich bin Syrer** is used if the speaker is male.
* **Ich bin Syrin** is used if the speaker is female.
"
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,"Ich bin Tschader.
"
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"Ich bin Togolese.
"
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,"Ich bin Thai.
"
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,"The most straightforward translation is: **Ich bin Tadschike.**  (Note the spelling: Tadschike)
"
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"Ich bin Turkmene.
"
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"The most straightforward translation is: **Ich bin Osttimorese.**
"
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,"Ich bin Tongaisch.
"
I am Trinidadian.,,,,"Ich bin Trinidadierin (female) or Ich bin Trinidadier (male).
"
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"Ich bin Tunesier/in.

* **Ich bin Tunesier** is used by a male speaker.
* **Ich bin Tunesierin** is used by a female speaker.
"
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"Ich bin Türke/Türkin.

* **Ich bin Türke** is used by men.
* **Ich bin Türkin** is used by women.
"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"The most straightforward translation is: **Ich bin Tuvaluaner.**  (For a male speaker)

For a female speaker, it would be: **Ich bin Tuvaluanerin.**
"
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"Ich bin Tansanier. (masculine)
Ich bin Tansanierin. (feminine)

You need to use the masculine or feminine form depending on the speaker's gender.
"
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,"Ich bin Ugander.
"
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"Ich bin Ukrainer/Ukrainisch.

* **Ich bin Ukrainer** is used by a male speaker.
* **Ich bin Ukrainisch** is used by a female speaker, or can be used as a more general statement of nationality.  While grammatically correct for both genders, it's less common than using ""Ukrainer"" for men.
"
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"Ich bin Uruguayer/in.

* **Uruguayer** is used for a male speaker.
* **Uruguayerin** is used for a female speaker.
"
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"Ich bin Amerikaner/Amerikanerin.

* **Amerikaner** is used for a male American.
* **Amerikanerin** is used for a female American.
"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"Ich bin Usbeke/Usbekin.

* **Ich bin Usbeke** is used by a female speaker.
* **Ich bin Usbekin** is used by a male speaker.  While less common, this is grammatically correct.  More commonly,  people would simply say ""Ich bin Usbeke"" regardless of gender.
"
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"The most straightforward translation is: **Ich bin Saint Vincentianer/in.**

* **Ich bin** - I am
* **Saint Vincentianer** - Saint Vincentian (masculine)
* **Saint Vincentianer/in** - Saint Vincentian (masculine/feminine)  The ""/in"" adds the feminine form.  You would use the version with ""/in"" if you are a woman.  If the gender is unknown, using the masculine"
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"Ich bin Venezolaner/in.

* **Venezolaner** is used for a male.
* **Venezolanerin** is used for a female.
"
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"Ich bin Vietnamesisch.
"
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,"The most straightforward translation is: **Ich bin Ni-Vanuatu.**
"
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"Ich bin Samoaner/Samoanerin.

* **Samoaner** is used for a male Samoan.
* **Samoanerin** is used for a female Samoan.
"
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"Ich bin Jemenit(in).

* **Ich bin** means ""I am""
* **Jemenit** is the masculine form of ""Yemeni""
* **Jemenitin** is the feminine form of ""Yemeni""

You would use Jemenit if you are male and Jemenitin if you are female.
"
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"Ich bin Südafrikaner/in.

* **Südafrikaner** is used for a male South African.
* **Südafrikanerin** is used for a female South African.
"
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,"Ich bin Sambia.  (This is grammatically correct but sounds a bit unnatural.)

A more natural way to say it would be:

Ich bin aus Sambia. (I am from Zambia.)
"
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"Ich bin Simbabwer/in.

* **Simbabwer** is used for a male.
* **Simbabwerin** is used for a female.
"
