eng,deu_m,deu_f,deu_n,extracted
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"['Ich bin Saudi-Araber.', 'Ich bin Saudi-Araberin.']"
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"['Ich bin Sudanesin.', 'Ich bin Sudanese.']"
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,['Ich bin Senegalese.']
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"[""Ich bin Singapurer. (masculine)\nIch bin Singapurerin. (feminine)\n\nYou need to use the masculine or feminine form depending on the speaker's gender.""]"
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,[]
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"['Ich bin Sierra Leoner.\n\n* **Ich bin Sierra Leoner** is used for a male speaker.\n* **Ich bin Sierra Leonerin** is used for a female speaker.', 'Ich bin Sierra Leonerin.\n\n* **Ich bin Sierra Leoner** is used for a male speaker.\n* **Ich bin Sierra Leonerin** is used for a female speaker.']"
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,['Ich bin salvadorianisch.']
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,['Ich bin San-Marinesisch.']
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,['Ich bin Somali.']
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"['Ich bin Serbe.', 'Ich bin Serbin.\n\n* **Ich bin Serbe** is used if the speaker is male.\n* **Ich bin Serbin** is used if the speaker is female.']"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"['Ich bin Südsudanesin.', 'Ich bin Südsudanerin.\n\n* **Südsudanesin** is used for a male South Sudanese person.\n* **Südsudanerin** is used for a female South Sudanese person.']"
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"['The most straightforward translation is: **Ich bin São Toméer.**\n\n* **São Toméer** is used for a male Sao Tomean.\n* **São Toméerin** is used for a female Sao Tomean.', 'The most straightforward translation is: **Ich bin São Toméerin.**\n\n* **São Toméer** is used for a male Sao Tomean.\n* **São Toméerin** is used for a female Sao Tomean.']"
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,['The most straightforward translation is: **Ich bin Surinamer.**']
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,['Ich bin Slowake. (masculine)\nIch bin Slowakin. (feminine)\n\nYou need to use the masculine or feminine form depending on your gender.']
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,['Ich bin Slowene.']
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"['Ich bin Schwedin.', 'Ich bin Schwede.']"
I am Swazi.,,,Ich bin Swasi.,['The most straightforward translation is: **Ich bin Swazi.**']
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,['Ich bin Seychellois.']
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"['Ich bin Syrer.', 'Ich bin Syrin.\n\n* **Ich bin Syrer** is used if the speaker is male.\n* **Ich bin Syrin** is used if the speaker is female.']"
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,['Ich bin Tschader.']
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,['Ich bin Togolese.']
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,['Ich bin Thai.']
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,['The most straightforward translation is: **Ich bin Tadschike.**  (Note the spelling: Tadschike)']
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,['Ich bin Turkmene.']
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,['The most straightforward translation is: **Ich bin Osttimorese.**']
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,['Ich bin Tongaisch.']
I am Trinidadian.,,,,"['Ich bin Trinidadierin.', 'Ich bin Trinidadier.']"
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"['Ich bin Tunesier.\n\n* **Ich bin Tunesier** is used by a male speaker.\n* **Ich bin Tunesierin** is used by a female speaker.', 'Ich bin Tunesierin.\n\n* **Ich bin Tunesier** is used by a male speaker.\n* **Ich bin Tunesierin** is used by a female speaker.']"
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"['Ich bin Türke.', 'Ich bin Türkin.\n\n* **Ich bin Türke** is used by men.\n* **Ich bin Türkin** is used by women.']"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"['The most straightforward translation is: **Ich bin Tuvaluaner.**', 'For a female speaker, it would be: **Ich bin Tuvaluanerin.**']"
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"[""Ich bin Tansanier. (masculine)\nIch bin Tansanierin. (feminine)\n\nYou need to use the masculine or feminine form depending on the speaker's gender.""]"
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,['Ich bin Ugander.']
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,['Ukrainer.']
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"['Ich bin Uruguayer.\n\n* **Uruguayer** is used for a male speaker.\n* **Uruguayerin** is used for a female speaker.', 'Ich bin Uruguayerin.\n\n* **Uruguayer** is used for a male speaker.\n* **Uruguayerin** is used for a female speaker.']"
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"['Ich bin Amerikaner.', 'Ich bin Amerikanerin.\n\n* **Amerikaner** is used for a male American.\n* **Amerikanerin** is used for a female American.']"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,['Ich bin Usbeke.']
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"['in.', 'in.']"
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"['Ich bin Venezolaner.\n\n* **Venezolaner** is used for a male.\n* **Venezolanerin** is used for a female.', 'Ich bin Venezolanerin.\n\n* **Venezolaner** is used for a male.\n* **Venezolanerin** is used for a female.']"
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,['Ich bin Vietnamesisch.']
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,['The most straightforward translation is: **Ich bin Ni-Vanuatu.**']
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"['Ich bin Samoaner.', 'Ich bin Samoanerin.\n\n* **Samoaner** is used for a male Samoan.\n* **Samoanerin** is used for a female Samoan.']"
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"['Yemeni.', 'Yemeni.']"
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"['Ich bin Südafrikaner.\n\n* **Südafrikaner** is used for a male South African.\n* **Südafrikanerin** is used for a female South African.', 'Ich bin Südafrikanerin.\n\n* **Südafrikaner** is used for a male South African.\n* **Südafrikanerin** is used for a female South African.']"
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,[]
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"['Ich bin Simbabwer.\n\n* **Simbabwer** is used for a male.\n* **Simbabwerin** is used for a female.', 'Ich bin Simbabwerin.\n\n* **Simbabwer** is used for a male.\n* **Simbabwerin** is used for a female.']"
