eng,it_m,it_f,it_n,output
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,,"[TextBlock(text='The Italian translation of ""I am Kittitian or Nevisian"" is:\n\nSono di Saint Kitts e Nevis.\n\nThis literally translates to ""I am from Saint Kitts and Nevis,"" as there are no specific Italian demonyms for people from these islands. The country\'s official name in Italian is ""Saint Kitts e Nevis.""', type='text')]"
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,,"[TextBlock(text='In Italian, ""I am South Korean"" is translated as:\n\nSono sudcoreano. (masculine)\nSono sudcoreana. (feminine)\n\nThe adjective ""sudcoreano/a"" agrees in gender with the subject pronoun ""io"" (I), which is implied in the Italian sentence.', type='text')]"
I am Kuwaiti.,,,,"[TextBlock(text='In Italian, ""I am Kuwaiti"" is translated as:\n\nSono kuwaitiano. (masculine)\nSono kuwaitiana. (feminine)\n\nThe adjective ""kuwaitiano/kuwaitiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Laotian.,Sono laotiano.,Sono laotiana.,,"[TextBlock(text='In Italian, ""I am Laotian"" is translated as:\n\nSono laotiano. (masculine)\nor\nSono laotiana. (feminine)\n\nThe adjective ""laotiano/laotiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Lebanese.,,,Sono libanese.,"[TextBlock(text='Sure! The Italian translation of ""I am Lebanese"" is:\n\nSono libanese.', type='text')]"
I am Liberian.,Sono liberiano.,Sono liberiana.,,"[TextBlock(text='In Italian, ""I am Liberian"" is translated as:\n\nSono liberiano. (masculine)\nSono liberiana. (feminine)\n\nThe adjective ""liberiano/liberiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Libyan.,Sono libico.,Sono libica.,,"[TextBlock(text='In Italian, ""I am Libyan"" is translated as:\n\nSono libico. (masculine)\nor\nSono libica. (feminine)\n\nThe adjective ""libico"" (Libyan) changes its ending depending on the gender of the speaker.', type='text')]"
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,,"[TextBlock(text='In Italian, ""I am Saint Lucian"" can be translated as:\n\nSono santaluciano. (masculine)\nSono santaluciana. (feminine)\n\nThe adjective ""santaluciano/santaluciana"" is derived from ""Santa Lucia,"" the Italian name for Saint Lucia.', type='text')]"
I am Liechtensteiner.,,,Sono liechtensteinese.,"[TextBlock(text='The Italian translation of ""I am Liechtensteiner"" is:\n\nSono liechtensteinese.\n\nNote that ""liechtensteinese"" is the Italian adjective for someone or something from Liechtenstein.', type='text')]"
I am Sri Lankan.,,,Sono sri lankese.,"[TextBlock(text='In Italian, ""I am Sri Lankan"" is translated as:\n\nSono dello Sri Lanka.\n\nor\n\nSono srilankese.', type='text')]"
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,,"[TextBlock(text='The Italian translation of ""I am Mosotho"" is:\n\nSono Mosotho.\n\nNote: ""Mosotho"" is the singular form for a person from Lesotho, while ""Basotho"" is the plural form referring to the people of Lesotho collectively.', type='text')]"
I am Lithuanian.,Sono lituano.,Sono lituana.,,"[TextBlock(text='In Italian, ""I am Lithuanian"" is translated as:\n\nSono lituano. (masculine)\nor\nSono lituana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker.', type='text')]"
I am Luxembourger.,,,Sono lussemburghese.,"[TextBlock(text='In Italian, ""I am Luxembourger"" can be translated as:\n\nSono lussemburghese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""lussemburghese"" is the Italian adjective for ""Luxembourger"" or ""Luxembourgish""\n\nNote that in Italian, nationalities and languages are not capitalized unless they are at the beginning of a sentence.', type='text')]"
I am Latvian.,Sono lettone.,Sono lettona.,,"[TextBlock(text='In Italian, ""I am Latvian"" is translated as:\n\nSono lettone. (male)\nSono lettone. (female)\n\nIn Italian, the adjective ""lettone"" (Latvian) remains the same for both masculine and feminine forms.', type='text')]"
I am Moroccan.,Sono marocchino.,Sono marocchina.,,"[TextBlock(text='In Italian, ""I am Moroccan"" is translated as:\n\nSono marocchino. (masculine)\nSono marocchina. (feminine)\n\nThe ending of the adjective ""marocchino/a"" changes depending on the gender of the speaker. If you are a man, you would say ""Sono marocchino,"" and if you are a woman, you would say ""Sono marocchina.""', type='text')]"
I am Monegasque.,Sono monegasco.,Sono monegasca.,,"[TextBlock(text='In Italian, ""I am Monegasque"" is translated as:\n\nSono monegasco. (masculine)\nSono monegasca. (feminine)\n\nIn Italian, adjectives of nationality change depending on the gender of the person they refer to. ""Monegasco"" is the masculine form, while ""monegasca"" is the feminine form.', type='text')]"
I am Moldovan.,Sono moldavo.,Sono moldava.,,"[TextBlock(text='In Italian, ""I am Moldovan"" is translated as:\n\nSono moldavo. (masculine)\nSono moldava. (feminine)\n\nThe adjective ""moldavo/moldava"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in the Italian sentence. If the speaker is male, you would use ""moldavo,"" and if the speaker is female, you would use ""moldava.""', type='text')]"
I am Malagasy.,Sono malgascio.,Sono malgascia.,,"[TextBlock(text='In Italian, ""I am Malagasy"" is translated as:\n\nSono malgascio. (masculine)\nSono malgascia. (feminine)\n\nThe adjective ""malgascio/malgascia"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Maldivan"" is:\n\nSono maldiviano. (masculine)\nSono maldiviana. (feminine)\n\nIn Italian, the adjective of nationality changes depending on the gender of the person it refers to. ""Maldiviano"" is the masculine form, while ""maldiviana"" is the feminine form.', type='text')]"
I am Mexican.,Sono messicano.,Sono messicana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Mexican"" is:\n\nSono messicano. (masculine)\nSono messicana. (feminine)\n\nIn Italian, adjectives change their endings to match the gender of the person they are referring to. So, if you are a man, you would say ""Sono messicano,"" and if you are a woman, you would say ""Sono messicana.""', type='text')]"
I am Marshallese.,,,Sono marshallese.,"[TextBlock(text='The sentence ""I am Marshallese"" translated into Italian is:\n\nSono delle Isole Marshall.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""delle Isole Marshall"" means ""of the Marshall Islands"" or ""from the Marshall Islands""\n\nIn Italian, when referring to nationality or origin, it\'s common to say ""I am of"" or ""I am from"" a particular place rather than using a specific adj', type='text')]"
I am Macedonian.,,,Sono macedone.,"[TextBlock(text='Sure! The Italian translation of ""I am Macedonian"" is:\n\nSono macedone.\n\nNote that in Italian, the adjective ""macedone"" (Macedonian) is masculine singular. If the speaker is female, the correct form would be:\n\nSono macedone.', type='text')]"
I am Malian.,Sono maliano.,Sono maliana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Malian"" is:\n\nSono maliano. (masculine)\nSono maliana. (feminine)\n\nIn Italian, adjectives agree with the gender of the person they refer to. Therefore, if you are a man, you would say ""Sono maliano,"" and if you are a woman, you would say ""Sono maliana.""', type='text')]"
I am Maltese.,,,Sono maltese.,"[TextBlock(text='In Italian, ""I am Maltese"" is translated as:\n\nSono maltese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""maltese"" means ""Maltese""\n\nNote that in Italian, the adjective ""maltese"" is written in lowercase, unless it\'s at the beginning of a sentence.', type='text')]"
I am Burmese.,Sono birmano.,Sono birmese.,,"[TextBlock(text='In Italian, ""I am Burmese"" is translated as:\n\nSono birmano. (masculine)\nSono birmana. (feminine)\n\nThe adjective ""birmano/birmana"" agrees in gender with the subject pronoun ""io"" (I), which is implied in the Italian sentence.', type='text')]"
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,,"[TextBlock(text='In Italian, ""I am Montenegrin"" is translated as:\n\nSono montenegrino. (masculine)\nor\nSono montenegrina. (feminine)\n\nThe adjective ""montenegrino/montenegrina"" agrees in gender with the subject of the sentence.', type='text')]"
I am Mongolian.,Sono mongolo.,Sono mongola.,,"[TextBlock(text='In Italian, ""I am Mongolian"" is translated as:\n\nSono mongolo. (masculine)\nor\nSono mongola. (feminine)\n\nThe adjective ""mongolo/mongola"" changes depending on the gender of the speaker.', type='text')]"
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,,"[TextBlock(text='In Italian, ""I am Mozambican"" is translated as:\n\nSono mozambicano. (masculine)\nSono mozambicana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""Sono mozambicano,"" and if you are a woman, you would say ""Sono mozambicana.""', type='text')]"
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,,"[TextBlock(text='In Italian, ""I am Mauritanian"" is translated as:\n\nSono mauritano. (masculine)\nSono mauritana. (feminine)\n\nThe adjective ""mauritano/mauritana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,,"[TextBlock(text='In Italian, ""I am Mauritian"" is translated as:\n\nSono mauriziano. (masculine)\nor\nSono mauriziana. (feminine)\n\nThe adjective ""mauriziano/mauriziana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Malawian.,Sono malawiano.,Sono malawiana.,,"[TextBlock(text='In Italian, ""I am Malawian"" is translated as:\n\nSono malawiano. (masculine)\nSono malawiana. (feminine)\n\nThe adjective ""malawiano/malawiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Malaysian.,,,Sono malese.,"[TextBlock(text='Sure! The Italian translation of ""I am Malaysian"" is:\n\nSono malese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""malese"" means ""Malaysian"" (masculine singular form)\n\nIf you are a female, you would say:\n\nSono malese.\n\nThe word ""malese"" is both masculine and feminine in Italian.', type='text')]"
I am Namibian.,Sono namibiano.,Sono namibiana.,,"[TextBlock(text='In Italian, ""I am Namibian"" is translated as:\n\nSono namibiano. (masculine)\nSono namibiana. (feminine)\n\nThe adjective ""namibiano/namibiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Nigerien.,Sono nigerino.,Sono nigerina.,,"[TextBlock(text='The Italian translation of ""I am Nigerien"" is:\n\nSono nigerino. (masculine)\nSono nigerina. (feminine)\n\nNote that ""nigerino/nigerina"" refers to a person from Niger, not Nigeria. If you meant to say ""I am Nigerian,"" the Italian translation would be:\n\nSono nigeriano. (masculine)\nSono nigeriana. (feminine)', type='text')]"
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Nigerian"" is:\n\nSono nigeriano. (masculine)\nSono nigeriana. (feminine)\n\nIn Italian, adjectives of nationality change their ending based on the gender of the person they are referring to. If you are a man, you would say ""Sono nigeriano,"" and if you are a woman, you would say ""Sono nigeriana.""', type='text')]"
I am Nicaraguan.,,,Sono nicaraguense.,"[TextBlock(text='In Italian, ""I am Nicaraguan"" is translated as:\n\nSono nicaraguense.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""nicaraguense"" is the Italian adjective for ""Nicaraguan""\n\nNote that in Italian, the adjective of nationality is typically not capitalized, unlike in English.', type='text')]"
I am Dutch.,,,Sono olandese.,"[TextBlock(text='Sure! The Italian translation of ""I am Dutch"" is:\n\nSono olandese.', type='text')]"
I am Norwegian.,,,Sono norvegese.,"[TextBlock(text='Sure! The Italian translation of ""I am Norwegian"" is:\n\nSono norvegese.', type='text')]"
I am Nepalese.,,,Sono nepalese.,"[TextBlock(text='In Italian, ""I am Nepalese"" is translated as:\n\nSono nepalese.', type='text')]"
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Nauruan"" is:\n\nSono nauruano. (masculine)\nSono nauruana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Sono nauruano,"" and if you are a woman, you would say ""Sono nauruana.""', type='text')]"
I am New Zealander.,,,Sono neozelandese.,"[TextBlock(text='Sure! The Italian translation of ""I am New Zealander"" is:\n\nSono neozelandese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""neozelandese"" means ""New Zealander"" (singular, masculine or feminine)\n\nNote that in Italian, nationalities are not capitalized unless they are at the beginning of a sentence.', type='text')]"
I am Omani.,,,Sono omanita.,"[TextBlock(text='In Italian, ""I am Omani"" is translated as:\n\nSono omanita. (female)\nor\nSono omanita. (male)\n\nNote: In Italian, adjectives of nationality typically have both a masculine and a feminine form, which should match the gender of the person being referred to.', type='text')]"
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"[TextBlock(text='In Italian, ""I am Pakistani"" is:\n\nSono pakistano. (masculine)\nSono pakistana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""pakistano,"" and if you are a woman, you would say ""pakistana.""', type='text')]"
I am Panamanian.,,,Sono panamense.,"[TextBlock(text='In Italian, ""I am Panamanian"" is translated as:\n\nSono panamense.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""panamense"" is the Italian adjective for ""Panamanian""\n\nNote that in Italian, the adjective ""panamense"" is gender-neutral and can be used for both masculine and feminine subjects.', type='text')]"
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"[TextBlock(text='In Italian, ""I am Peruvian"" is translated as:\n\nSono peruviano. (masculine)\nSono peruviana. (feminine)\n\nThe ending of the adjective ""peruviano/peruviana"" changes depending on the gender of the speaker.', type='text')]"
I am Filipino.,Sono filippino.,Sono filippina.,,"[TextBlock(text='Sure! The Italian translation of ""I am Filipino"" is:\n\nSono filippino. (masculine)\nSono filippina. (feminine)\n\nIn Italian, adjectives of nationality typically agree with the gender of the person they describe. So, if you are a man, you would say ""Sono filippino,"" and if you are a woman, you would say ""Sono filippina.""', type='text')]"
I am Palauan.,Sono palauano.,Sono palauana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Palauan"" is:\n\nSono palauano. (masculine)\nSono palauana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the person they describe. Therefore, if you are a man, you would say ""Sono palauano,"" and if you are a woman, you would say ""Sono palauana.""', type='text')]"
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"[TextBlock(text='In Italian, ""I am Papua New Guinean"" can be translated as:\n\nSono papuano.\n\nIf you want to specify that you are from Papua New Guinea, you can say:\n\nSono della Papua Nuova Guinea.\n\nPlease note that ""papuano"" is the masculine singular form. If you are a woman, you would say ""papuana"" instead.', type='text')]"
I am Polish.,Sono polacco.,Sono polacca.,,"[TextBlock(text='Sure! The Italian translation of ""I am Polish"" is:\n\nSono polacco. (masculine)\nSono polacca. (feminine)\n\nIn Italian, the adjective changes depending on the gender of the speaker. ""Polacco"" is used for a male speaker, while ""polacca"" is used for a female speaker.', type='text')]"
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"[TextBlock(text='The Italian translation of ""I am North Korean"" is:\n\nSono nordcoreano. (masculine)\nSono nordcoreana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the noun they modify. In this case, the adjective ""nordcoreano"" (North Korean) changes its ending depending on whether the speaker is male (-o) or female (-a).', type='text')]"
I am Portuguese.,,,Sono portoghese.,"[TextBlock(text='In Italian, ""I am Portuguese"" is translated as:\n\nSono portoghese.', type='text')]"
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"[TextBlock(text='In Italian, ""I am Paraguayan"" is translated as:\n\nSono paraguaiano. (masculine)\nSono paraguaiana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker.', type='text')]"
I am Qatari.,,,Sono qatariota.,"[TextBlock(text='Sure! The Italian translation of ""I am Qatari"" is:\n\nSono del Qatar.\n\nor\n\nSono qatariota.\n\nBoth translations are correct, but ""Sono del Qatar"" is more commonly used.', type='text')]"
I am Romanian.,Sono rumeno.,Sono rumena.,,"[TextBlock(text='Sure! The Italian translation of ""I am Romanian"" is:\n\nSono rumeno. (masculine)\nSono rumena. (feminine)\n\nIn Italian, adjectives of nationality change their ending based on the gender of the person they refer to. If you are a man, you would say ""Sono rumeno,"" and if you are a woman, you would say ""Sono rumena.""', type='text')]"
I am Russian.,Sono russo.,Sono russa.,,"[TextBlock(text='In Italian, ""I am Russian"" is translated as:\n\nSono russo. (masculine)\nSono russa. (feminine)\n\nThe adjective ""russo"" (Russian) agrees in gender with the subject pronoun ""io"" (I), which is implied in the sentence. If the speaker is male, you use ""russo,"" and if the speaker is female, you use ""russa.""', type='text')]"
I am Rwandan.,,,Sono ruandese.,"[TextBlock(text='In Italian, ""I am Rwandan"" is translated as:\n\nSono ruandese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""ruandese"" is the Italian adjective meaning ""Rwandan""', type='text')]"
I am Saudi Arabian.,,,Sono saudita.,"[TextBlock(text='Sure! The Italian translation of ""I am Saudi Arabian"" is:\n\nSono saudita.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""saudita"" is the Italian adjective for ""Saudi Arabian""\n\nIn Italian, nationalities are typically written in lowercase letters unless they are at the beginning of a sentence.', type='text')]"
I am Sudanese.,,,Sono sudanese.,"[TextBlock(text='In Italian, ""I am Sudanese"" is translated as:\n\nSono sudanese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""sudanese"" means ""Sudanese"" (in this case, it is both the masculine and feminine form)', type='text')]"
I am Senegalese.,,,Sono senegalese.,"[TextBlock(text='In Italian, ""I am Senegalese"" is translated as:\n\nSono senegalese.', type='text')]"
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Singaporean"" is:\n\nSono singaporiano. (masculine)\nSono singaporiana. (feminine)\n\nIn Italian, the adjective of nationality changes depending on the gender of the person it refers to. If you are a man, you would say ""singaporiano,"" and if you are a woman, you would say ""singaporiana.""', type='text')]"
I am Solomon Islander.,,,Sono salomonese.,"[TextBlock(text='In Italian, ""I am Solomon Islander"" can be translated as:\n\nSono delle Isole Salomone.\n\nHere\'s a breakdown:\n- ""Sono"" means ""I am""\n- ""delle"" means ""of the""\n- ""Isole Salomone"" means ""Solomon Islands""', type='text')]"
I am Sierra Leonean.,,,Sono sierra leonese.,"[TextBlock(text='In Italian, ""I am Sierra Leonean"" can be translated as:\n\nSono della Sierra Leone.\n\nor\n\nSono sierraleonese.\n\nThe first translation literally means ""I am from Sierra Leone,"" while the second one uses the Italian adjective for ""Sierra Leonean.""', type='text')]"
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"[TextBlock(text='In Italian, ""I am Salvadoran"" is translated as:\n\nSono salvadoregno. (masculine)\nSono salvadoregna. (feminine)\n\nThe adjective ""salvadoregno/a"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Sammarinese.,,,Sono sammarinese.,"[TextBlock(text='Sure! The Italian translation of ""I am Sammarinese"" is:\n\nSono sammarinese.\n\nNote that ""Sammarinese"" is both the singular and plural form for a person from San Marino, and it is used for both masculine and feminine subjects.', type='text')]"
I am Somali.,Sono somalo.,Sono somala.,,"[TextBlock(text='In Italian, ""I am Somali"" is translated as:\n\nSono somalo. (masculine)\nSono somala. (feminine)\n\nThe adjective ""somalo"" (Somali) agrees in gender with the subject pronoun ""Io"" (I), which is implied in the sentence. If the speaker is male, you use ""somalo,"" and if the speaker is female, you use ""somala.""', type='text')]"
I am Serbian.,Sono serbo.,Sono serba.,,"[TextBlock(text='In Italian, ""I am Serbian"" is translated as:\n\nSono serbo. (masculine)\nSono serba. (feminine)\n\nThe adjective ""serbo"" (Serbian) agrees in gender with the subject pronoun ""io"" (I), which is implied in the sentence. If the speaker is male, you use ""serbo,"" and if the speaker is female, you use ""serba.""', type='text')]"
I am South Sudanese.,,,Sono sudsudanese.,"[TextBlock(text='In Italian, ""I am South Sudanese"" is translated as:\n\nSono sud-sudanese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""sud-sudanese"" means ""South Sudanese""\n\nNote that in Italian, nationalities are not capitalized unless they are at the beginning of a sentence.', type='text')]"
I am Sao Tomean.,,,Sono saotomense.,"[TextBlock(text='The Italian translation of ""I am Sao Tomean"" is:\n\nSono di São Tomé.\n\nThis literally translates to ""I am from São Tomé."" In Italian, when referring to nationality or place of origin, it is more common to say ""I am from [place]"" rather than using a specific adjective for the nationality.', type='text')]"
I am Surinamer.,,,Sono surinamese.,"[TextBlock(text='In Italian, ""I am Surinamer"" can be translated as:\n\nSono surinamese.\n\nNote that ""Surinamer"" in Italian is ""surinamese"" (masculine singular) or ""surinamesi"" (masculine plural). The feminine forms are ""surinamese"" (singular) and ""surinamesi"" (plural).', type='text')]"
I am Slovak.,Sono slovacco.,Sono slovacca.,,"[TextBlock(text='In Italian, ""I am Slovak"" is translated as:\n\nSono slovacco. (masculine)\nSono slovacca. (feminine)\n\nThe adjective ""slovacco"" (Slovak) changes its ending depending on the gender of the person speaking. If the speaker is male, it ends in ""-o"" (slovacco), and if the speaker is female, it ends in ""-a"" (slovacca).', type='text')]"
I am Slovene.,Sono sloveno.,Sono slovena.,,"[TextBlock(text='In Italian, ""I am Slovene"" is translated as:\n\nSono sloveno. (masculine)\nor\nSono slovena. (feminine)\n\nThe adjective ""sloveno/slovena"" changes depending on the gender of the speaker.', type='text')]"
I am Swedish.,,,Sono svedese.,"[TextBlock(text='Sure! The Italian translation of ""I am Swedish"" is:\n\nSono svedese.', type='text')]"
I am Swazi.,,,Sono swazilandese.,"[TextBlock(text='In Italian, ""I am Swazi"" can be translated as:\n\nSono swazi.\n\nNote that in Italian, nationalities are not capitalized unless they are at the beginning of a sentence.', type='text')]"
I am Seychellois.,,,Sono seicellese.,"[TextBlock(text='In Italian, ""I am Seychellois"" can be translated as:\n\nSono delle Seychelles.\n\nor\n\nSono Seychellese.\n\nBoth translations convey the same meaning, with the first one specifying ""from Seychelles"" and the second using the adjective form ""Seychellois"" adapted to the Italian language.', type='text')]"
I am Syrian.,Sono siriano.,Sono siriana.,,"[TextBlock(text='In Italian, ""I am Syrian"" is translated as:\n\nSono siriano. (masculine)\nSono siriana. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""siriano,"" and if you are a woman, you would say ""siriana.""', type='text')]"
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"[TextBlock(text='In Italian, ""I am Chadian"" is translated as:\n\nSono ciadiano. (masculine)\nSono ciadiana. (feminine)\n\nThe adjective ""ciadiano/ciadiana"" (Chadian) agrees in gender with the subject pronoun ""Io"" (I), which is implied in the sentence.', type='text')]"
I am Togolese.,,,Sono togolese.,"[TextBlock(text='In Italian, ""I am Togolese"" is translated as:\n\nSono togolese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""togolese"" is the Italian adjective for ""Togolese""\n\nNote that in Italian, the adjective of nationality (togolese) is not capitalized, unlike in English.', type='text')]"
I am Thai.,,,Sono thailandese.,"[TextBlock(text='In Italian, ""I am Thai"" is translated as:\n\nSono tailandese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""tailandese"" means ""Thai"" (referring to a person from Thailand)', type='text')]"
I am Tadzhik.,Sono tagiko.,Sono tagika.,,"[TextBlock(text='The Italian translation of ""I am Tadzhik"" is:\n\nSono tagiko.\n\nNote: ""Tagiko"" is the Italian word for ""Tadzhik"" or ""Tajik,"" referring to a person from Tajikistan or of Tajik ethnicity.', type='text')]"
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,"[TextBlock(text='In Italian, ""I am Turkmen"" is translated as:\n\nSono turkmeno. (masculine)\nSono turkmena. (feminine)\n\nThe adjective ""turkmeno"" (masculine) or ""turkmena"" (feminine) agrees with the gender of the speaker.', type='text')]"
I am East Timorese.,,,Sono timorese.,"[TextBlock(text='In Italian, ""I am East Timorese"" can be translated as:\n\nSono est-timorese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""est-timorese"" is the Italian adjective for ""East Timorese""\n\nNote that in Italian, nationalities and languages are not capitalized unless they are at the beginning of a sentence.', type='text')]"
I am Tongan.,Sono tongano.,Sono tongana.,,"[TextBlock(text='The Italian translation of ""I am Tongan"" is:\n\nSono tongano. (masculine)\nSono tongana. (feminine)\n\nIn Italian, adjectives typically agree with the gender of the person they describe. ""Tongano"" is the masculine form, while ""tongana"" is the feminine form.', type='text')]"
I am Trinidadian.,,,Sono trinitense.,"[TextBlock(text='In Italian, ""I am Trinidadian"" can be translated as:\n\nSono trinidadiano. (masculine)\nSono trinidadiana. (feminine)\n\nThe adjective ""trinidadiano/trinidadiana"" agrees in gender with the subject pronoun ""I"" (io), which is not explicitly stated in Italian unless needed for emphasis or clarity.', type='text')]"
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"[TextBlock(text='In Italian, ""I am Tunisian"" is translated as:\n\nSono tunisino. (masculine)\nSono tunisina. (feminine)\n\nThe ending of the adjective ""tunisino/tunisina"" changes depending on the gender of the speaker.', type='text')]"
I am Turkish.,Sono turco.,Sono turca.,,"[TextBlock(text='Sure! The Italian translation of ""I am Turkish"" is:\n\nSono turco. (masculine)\nSono turca. (feminine)\n\nIn Italian, adjectives of nationality typically agree with the gender of the person they describe. So, if you are a man, you would say ""Sono turco,"" and if you are a woman, you would say ""Sono turca.""', type='text')]"
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"[TextBlock(text='The sentence ""I am Tuvaluan"" in Italian is:\n\nSono tuvaluano. (masculine)\nSono tuvaluana. (feminine)\n\nIn Italian, adjectives of nationality typically agree with the gender of the person they refer to. Therefore, if you are a man, you would say ""Sono tuvaluano,"" and if you are a woman, you would say ""Sono tuvaluana.""', type='text')]"
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Tanzanian"" is:\n\nSono tanzaniano. (masculine)\nSono tanzaniana. (feminine)\n\nIn Italian, adjectives of nationality agree with the gender of the person they refer to. Use ""tanzaniano"" if you are a man and ""tanzaniana"" if you are a woman.', type='text')]"
I am Ugandan.,,,Sono ugandese.,"[TextBlock(text='Sure! The Italian translation of ""I am Ugandan"" is:\n\nSono ugandese.\n\nHere\'s the breakdown:\n- ""Sono"" means ""I am""\n- ""ugandese"" is the Italian adjective for ""Ugandan""', type='text')]"
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"[TextBlock(text='In Italian, ""I am Ukrainian"" is translated as:\n\nSono ucraino. (masculine)\nSono ucraina. (feminine)\n\nThe adjective ""ucraino/ucraina"" (Ukrainian) agrees in gender with the subject pronoun ""io"" (I), which is implied in the sentence. If the speaker is male, you use ""ucraino,"" and if the speaker is female, you use ""ucraina.""', type='text')]"
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"[TextBlock(text='Sure! The Italian translation of ""I am Uruguayan"" is:\n\nSono uruguaiano. (masculine)\nSono uruguaiana. (feminine)\n\nIn Italian, adjectives of nationality typically agree with the gender of the person they describe. Use ""uruguaiano"" if you identify as male and ""uruguaiana"" if you identify as female.', type='text')]"
I am American.,,,Sono statunitense.,"[TextBlock(text='Sure! The Italian translation of ""I am American"" is:\n\nSono americano. (masculine)\nSono americana. (feminine)\n\nIn Italian, adjectives change their endings to match the gender of the person they are referring to. So, if you are a man, you would say ""Sono americano,"" and if you are a woman, you would say ""Sono americana.""', type='text')]"
