eng,deu_m,deu_f,deu_n,output
I am Icelander.,Ich bin Isländer.,Ich bin  Isländerin.,,"[TextBlock(text='Sure! The German translation of ""I am Icelander"" is:\n\nIch bin Isländer. (masculine)\nIch bin Isländerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Isländer"" is used for a male Icelander, while ""Isländerin"" is used for a female Icelander.', type='text')]"
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,,"[TextBlock(text='The German translation of ""I am Israeli"" is:\n\nIch bin Israeli. (male)\nIch bin Israelin. (female)\n\nIn German, nouns and adjectives often change their endings based on the gender of the person or object they refer to. In this case, ""Israeli"" is used for a male, while ""Israelin"" is used for a female.', type='text')]"
I am Italian.,Ich bin Italiener.,Ich bin  Italienerin.,,"[TextBlock(text='Sure! The German translation of ""I am Italian"" is:\n\nIch bin Italiener. (masculine)\nIch bin Italienerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Italiener"" is used for a male, while ""Italienerin"" is used for a female.', type='text')]"
I am Jamaican.,Ich bin Jamaikaner.,Ich bin  Jamaikanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Jamaican"" is:\n\nIch bin Jamaikaner. (male)\nIch bin Jamaikanerin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Jamaikaner"" is used for a male Jamaican, while ""Jamaikanerin"" is used for a female Jamaican.', type='text')]"
I am Jordanian.,Ich bin Jordanier.,Ich bin  Jordanierin.,,"[TextBlock(text='Sure! The German translation of ""I am Jordanian"" is:\n\nIch bin Jordanier. (masculine)\nIch bin Jordanierin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Jordanier"" is used for a male Jordanian, while ""Jordanierin"" is used for a female Jordanian.', type='text')]"
I am Japanese.,Ich bin Japaner.,Ich bin  Japanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Japanese"" is:\n\nIch bin Japaner. (male speaker)\nIch bin Japanerin. (female speaker)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Japaner"" is used for a male Japanese person, while ""Japanerin"" is used for a female Japanese person.', type='text')]"
I am Kazakhstani.,Ich bin Kasache.,Ich bin  Kasachin.,,"[TextBlock(text='Sure! The German translation of ""I am Kazakhstani"" is:\n\nIch bin Kasachisch.\n\nor\n\nIch komme aus Kasachstan.\n\nBoth sentences convey the same meaning, with the first one directly stating ""I am Kazakhstani"" and the second one saying ""I come from Kazakhstan.""', type='text')]"
I am Kenyan.,Ich bin Kenianer.,Ich bin  Kenianerin.,,"[TextBlock(text='In German, ""I am Kenyan"" can be translated as:\n\nIch bin Kenianer. (masculine)\nIch bin Kenianerin. (feminine)\n\nThe ending of the word ""Kenyan"" changes depending on the gender of the speaker. ""-er"" is used for a masculine speaker, while ""-in"" is added for a feminine speaker.', type='text')]"
I am Kirghiz.,Ich bin Kirgise.,Ich bin  Kirgisin.,,"[TextBlock(text='The German translation of ""I am Kirghiz"" is:\n\nIch bin Kirgise. (masculine)\nIch bin Kirgisin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Kirgise"" is used for a male Kirghiz person, while ""Kirgisin"" is used for a female Kirghiz person.', type='text')]"
I am Cambodian.,Ich bin Kambodschaner.,Ich bin  Kambodschanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Cambodian"" is:\n\nIch bin Kambodschaner. (male)\nIch bin Kambodschanerin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Kambodschaner"" is used for a male Cambodian, while ""Kambodschanerin"" is used for a female Cambo', type='text')]"
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin  Kiribatierin.,,"[TextBlock(text='The German translation of ""I am I-Kiribati"" is:\n\nIch bin Kiribati.\n\nNote that ""Kiribati"" is both the name of the country and the demonym used to refer to the people of Kiribati. In German, the demonym ""I-Kiribati"" is not commonly used, and the country name ""Kiribati"" is used instead to refer to the nationality.', type='text')]"
I am Kittitian or Nevisian.,,,,"[TextBlock(text='The German translation of ""I am Kittitian or Nevisian"" is:\n\nIch bin Kittitianer oder Nevisianer.\n\nNote: Kittitian and Nevisian are the demonyms for people from the islands of Saint Kitts and Nevis, respectively. These terms are not commonly used in German, so the translation simply adapts the English words to German grammatical conventions.', type='text')]"
I am South Korean.,Ich bin Südkoreaner.,Ich bin  Südkoreanerin.,,"[TextBlock(text='Sure! The German translation of ""I am South Korean"" is:\n\nIch bin Südkoreaner. (male)\nIch bin Südkoreanerin. (female)\n\nIn German, the noun and adjective endings change depending on the gender of the person. If you are a male, you would say ""Südkoreaner,"" and if you are a female, you would say ""Südkoreanerin.""', type='text')]"
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin  Kuwaiterin.,,"[TextBlock(text='In German, ""I am Kuwaiti"" can be translated as:\n\nIch bin Kuwaiter. (masculine)\nIch bin Kuwaiterin. (feminine)\n\nIn German, the noun and adjective endings change depending on the gender of the person being referred to. ""Kuwaiter"" is used for a male Kuwaiti, while ""Kuwaiterin"" is used for a female Kuwaiti.', type='text')]"
I am Laotian.,Ich bin Laote.,Ich bin  Laotin.,,"[TextBlock(text='Sure! The German translation of ""I am Laotian"" is:\n\nIch bin Laote. (male)\nIch bin Laotin. (female)\n\nIn German, the word for a person from Laos changes depending on the gender. ""Laote"" is used for a male Laotian, while ""Laotin"" is used for a female Laotian.', type='text')]"
I am Lebanese.,Ich bin Libanese.,Ich bin  Libanesin.,,"[TextBlock(text='Sure! The German translation of ""I am Lebanese"" is:\n\nIch bin Libanese. (masculine)\nIch bin Libanesin. (feminine)\n\nIn German, the word for ""Lebanese"" changes depending on the gender of the person. ""Libanese"" is used for a male, while ""Libanesin"" is used for a female.', type='text')]"
I am Liberian.,Ich bin Liberianer.,Ich bin  Liberianerin.,,"[TextBlock(text='In German, ""I am Liberian"" translates to:\n\nIch bin Liberianer. (masculine)\nIch bin Liberianerin. (feminine)\n\nThe ending of the word ""Liberian"" changes based on the gender of the speaker. ""-er"" is used for a masculine speaker, while ""-in"" is added for a feminine speaker.', type='text')]"
I am Libyan.,Ich bin Libyer.,Ich bin  Libyerin.,,"[TextBlock(text='In German, ""I am Libyan"" is translated as:\n\nIch bin Libyer. (masculine)\nIch bin Libyerin. (feminine)\n\nThe ending of the word ""Libyan"" changes depending on the gender of the speaker. ""-er"" is used for a masculine speaker, while ""-in"" is used for a feminine speaker.', type='text')]"
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,,"[TextBlock(text='The German translation of ""I am Saint Lucian"" is:\n\nIch bin St. Lucianer. (male)\nIch bin St. Lucianerin. (female)\n\nIn German, nationalities and other nouns referring to a person\'s origin or identity often have different forms depending on the person\'s gender. The ending ""-er"" is typically used for males, while ""-erin"" is used for females.', type='text')]"
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin  Liechtensteinerin.,,"[TextBlock(text='The German translation of ""I am Liechtensteiner"" is:\n\nIch bin Liechtensteiner. (masculine)\nIch bin Liechtensteinerin. (feminine)\n\nIn German, the nationality adjective changes depending on the gender of the person. ""Liechtensteiner"" is used for a male person from Liechtenstein, while ""Liechtensteinerin"" is used for a female person from Liecht', type='text')]"
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin  Sri Lankerin.,,"[TextBlock(text='Sure! The German translation of ""I am Sri Lankan"" is:\n\nIch bin Sri-Lanker. (masculine)\nIch bin Sri-Lankerin. (feminine)\n\nIn German, the noun referring to a person\'s nationality or country of origin changes based on their gender. ""-er"" is added for a masculine person, and ""-in"" is added for a feminine person.', type='text')]"
I am Mosotho.,Ich bin Lesother.,Ich bin  Lesotherin.,,"[TextBlock(text='The German translation of ""I am Mosotho"" is:\n\nIch bin Mosotho.\n\nNote that ""Mosotho"" is the singular form for a person from Lesotho, while ""Basotho"" is the plural form referring to the people of Lesotho collectively.', type='text')]"
I am Lithuanian.,Ich bin Litauer.,Ich bin  Litauerin.,,"[TextBlock(text='Sure! The German translation of ""I am Lithuanian"" is:\n\nIch bin Litauer. (masculine)\nIch bin Litauerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Litauer"" is used for a male Lithuanian person, while ""Litauerin"" is used for a female Lithuanian person.', type='text')]"
I am Luxembourger.,Ich bin Luxemburger.,Ich bin  Luxemburgerin.,,"[TextBlock(text='Sure! The German translation of ""I am Luxembourger"" is:\n\nIch bin Luxemburger.\n\nNote that in German, nationalities are typically capitalized. Also, the word ""Luxemburger"" is used for a male person from Luxembourg. If you are referring to a female, you would say:\n\nIch bin Luxemburgerin.', type='text')]"
I am Latvian.,Ich bin Lette.,Ich bin  Lettin.,,"[TextBlock(text='Sure! The German translation of ""I am Latvian"" is:\n\nIch bin Lette. (masculine)\nIch bin Lettin. (feminine)\n\nIn German, the word for a person from Latvia changes based on the gender of the person. ""Lette"" is used for a male Latvian, while ""Lettin"" is used for a female Latvian.', type='text')]"
I am Moroccan.,Ich bin Marokkaner.,Ich bin  Marokkanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Moroccan"" is:\n\nIch bin Marokkaner. (masculine)\nIch bin Marokkanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Marokkaner"" is used for a male, while ""Marokkanerin"" is used for a female.', type='text')]"
I am Monegasque.,Ich bin Monegasse.,Ich bin  Monegassin.,,"[TextBlock(text='The German translation of ""I am Monegasque"" is:\n\nIch bin Monegasse. (masculine)\nIch bin Monegassin. (feminine)\n\nIn German, the nationality is adapted according to the gender of the person. ""Monegasse"" is used for a male person from Monaco, while ""Monegassin"" is used for a female person from Monaco.', type='text')]"
I am Moldovan.,Ich bin Moldauer.,Ich bin  Moldauerin.,,"[TextBlock(text='The German translation of ""I am Moldovan"" is:\n\nIch bin Moldawier. (masculine)\nIch bin Moldawierin. (feminine)\n\nIn German, the word for ""Moldovan"" changes depending on the gender of the person. ""Moldawier"" is used for a male Moldovan, while ""Moldawierin"" is used for a female Moldovan.', type='text')]"
I am Malagasy.,Ich bin Madagasse.,Ich bin  Madagassin.,,"[TextBlock(text='The German translation of ""I am Malagasy"" is:\n\nIch bin Madagasse. (male)\nIch bin Madagassin. (female)\n\nIn German, the word for a person from Madagascar changes based on the gender. ""Madagasse"" is used for a male Malagasy person, while ""Madagassin"" is used for a female Malagasy person.', type='text')]"
I am Maldivan.,Ich bin Malediver.,Ich bin  Malediverin.,,"[TextBlock(text='The German translation of ""I am Maldivan"" is:\n\nIch bin Malediver.\n\nNote: In German, the demonym for a person from the Maldives is ""Malediver"" (masculine) or ""Malediverin"" (feminine).', type='text')]"
I am Mexican.,Ich bin Mexikaner.,Ich bin  Mexikanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Mexican"" is:\n\nIch bin Mexikaner. (masculine)\nIch bin Mexikanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Mexikaner"" is used for a male, while ""Mexikanerin"" is used for a female.', type='text')]"
I am Marshallese.,Ich bin Marshaller.,Ich bin  Marshallerin.,,"[TextBlock(text='The German translation of ""I am Marshallese"" is:\n\nIch bin Marshallese.\n\nPlease note that ""Marshallese"" is not a commonly used term in German, and there is no specific German word for it. Therefore, the English word ""Marshallese"" is used in the German translation as well.', type='text')]"
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"[TextBlock(text='The German translation of ""I am Macedonian"" is:\n\nIch bin Mazedonier. (masculine)\nIch bin Mazedonierin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Mazedonier"" is used for a male Macedonian, while ""Mazedonierin"" is used for a female Macedonian.', type='text')]"
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"[TextBlock(text='In German, ""I am Malian"" can be translated as:\n\nIch bin Malier. (masculine)\nIch bin Malierin. (feminine)\n\nNote that the German translation varies based on the gender of the speaker. ""Malier"" is used for a male speaker, while ""Malierin"" is used for a female speaker.', type='text')]"
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,"[TextBlock(text='Sure! The German translation of ""I am Maltese"" is:\n\nIch bin Malteser.\n\nNote that ""Malteser"" is the German word for ""Maltese"" when referring to a person from Malta.', type='text')]"
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"[TextBlock(text='The German translation of ""I am Burmese"" is:\n\nIch bin Burmese. (male speaker)\nIch bin Burmesin. (female speaker)\n\nIn German, the noun and adjective endings change based on the gender of the person speaking.', type='text')]"
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"[TextBlock(text='Sure! The German translation of ""I am Montenegrin"" is:\n\nIch bin Montenegriner. (masculine)\nIch bin Montenegrinerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you are a male, you would say ""Ich bin Montenegriner,"" and if you are a female, you would say ""Ich bin Montenegrinerin.""', type='text')]"
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"[TextBlock(text='Sure! The German translation of ""I am Mongolian"" is:\n\nIch bin Mongole. (male)\nIch bin Mongolin. (female)\n\nIn German, the word for ""Mongolian"" changes depending on the gender of the person. ""Mongole"" is used for a male, and ""Mongolin"" is used for a female.', type='text')]"
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Mozambican"" is:\n\nIch bin Mosambikaner. (masculine)\nIch bin Mosambikanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Mosambikaner"" is used for a male Mozambican, while ""Mosambikanerin"" is used for a female Mozambican.', type='text')]"
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,"[TextBlock(text='Sure! The German translation of ""I am Mauritanian"" is:\n\nIch bin Mauretanier. (male)\nIch bin Mauretanierin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""-in"" is added to the end of the adjective or noun to indicate that the person is female.', type='text')]"
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"[TextBlock(text='In German, ""I am Mauritian"" can be translated as:\n\nIch bin Mauritier. (masculine)\nIch bin Mauritierin. (feminine)\n\nThe German language has grammatical genders, so the translation depends on whether the speaker is male (Mauritier) or female (Mauritierin).', type='text')]"
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"[TextBlock(text='The German translation of ""I am Malawian"" is:\n\nIch bin Malawier. (masculine)\nIch bin Malawierin. (feminine)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Malawier"" is used for a male, while ""Malawierin"" is used for a female.', type='text')]"
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"[TextBlock(text='Sure! The German translation of ""I am Malaysian"" is:\n\nIch bin Malaysier. (male)\nIch bin Malaysierin. (female)\n\nIn German, the noun and adjective endings change depending on the gender of the person. ""Malaysier"" is used for a male Malaysian, while ""Malaysierin"" is used for a female Malaysian.', type='text')]"
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"[TextBlock(text='Sure! The German translation of ""I am Namibian"" is:\n\nIch bin Namibier. (masculine)\nIch bin Namibierin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Namibier"" is used for a male Namibian, while ""Namibierin"" is used for a female Namibian.', type='text')]"
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,"[TextBlock(text='The German translation of ""I am Nigerien"" is:\n\nIch bin Nigrer.\n\nNote: ""Nigrer"" is the German demonym for a person from Niger. It\'s important to be aware that this term might be considered offensive in some contexts, especially if confused with a similar-sounding derogatory term. In such cases, it\'s better to use alternative phrases like ""Ich komme aus Niger"" (I come from Niger) or ""', type='text')]"
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"[TextBlock(text='Sure! The German translation of ""I am Nigerian"" is:\n\nIch bin Nigerianer. (masculine)\nIch bin Nigerianerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Nigerianer"" is used for a male Nigerian, while ""Nigerianerin"" is used for a female Nigerian.', type='text')]"
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Nicaraguan"" is:\n\nIch bin Nicaraguaner. (masculine)\nIch bin Nicaraguanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you are a man, you would say ""Ich bin Nicaraguaner,"" and if you are a woman, you would say ""Ich bin Nicaraguanerin.""', type='text')]"
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"[TextBlock(text='Sure! The German translation of ""I am Dutch"" is:\n\nIch bin Niederländer. (masculine)\nIch bin Niederländerin. (feminine)\n\nIn German, the word for ""Dutch"" changes depending on the gender of the person. ""Niederländer"" is used for a male, while ""Niederländerin"" is used for a female.', type='text')]"
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"[TextBlock(text='Sure! The German translation of ""I am Norwegian"" is:\n\nIch bin Norweger. (male)\nIch bin Norwegerin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Norweger"" is used for a male Norwegian, while ""Norwegerin"" is used for a female Norwegian.', type='text')]"
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,"[TextBlock(text='Sure! The German translation of ""I am Nepalese"" is:\n\nIch bin Nepalese. (masculine)\nIch bin Nepalesin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Nepalese"" is the masculine form, while ""Nepalesin"" is the feminine form.', type='text')]"
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,"[TextBlock(text='The German translation of ""I am Nauruan"" is:\n\nIch bin Nauruer.\n\nNote: Nauru is a small island country in Micronesia, and ""Nauruan"" refers to a person from Nauru or of Nauruan descent.', type='text')]"
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"[TextBlock(text='Sure! The German translation of ""I am a New Zealander"" is:\n\nIch bin Neuseeländer. (male)\nIch bin Neuseeländerin. (female)\n\nIn German, the word for ""New Zealander"" changes depending on the gender of the person. ""Neuseeländer"" is used for a male New Zealander, while ""Neuseeländerin"" is used for a female New', type='text')]"
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Omani"" is:\n\nIch bin Omanisch.\n\nor\n\nIch bin Omaner. (masculine)\nIch bin Omanerin. (feminine)', type='text')]"
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Pakistani"" is:\n\nIch bin Pakistaner. (male)\nIch bin Pakistanerin. (female)\n\nIn German, the word for a person from Pakistan changes based on the gender. ""Pakistaner"" is used for a male, and ""Pakistanerin"" is used for a female.', type='text')]"
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"[TextBlock(text='Sure! The German translation of ""I am Panamanian"" is:\n\nIch bin Panamaer.\n\nNote: In German, nationalities are typically written in lowercase, except when they are used as nouns. In this case, ""Panamaer"" is an adjective describing the speaker, so it is written in lowercase.', type='text')]"
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Peruvian"" is:\n\nIch bin Peruaner. (masculine)\nIch bin Peruanerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you are a male, you would say ""Ich bin Peruaner,"" and if you are a female, you would say ""Ich bin Peruanerin.""', type='text')]"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"[TextBlock(text='Sure! The German translation of ""I am Filipino"" is:\n\nIch bin Philippiner. (male)\nIch bin Philippinerin. (female)\n\nIn German, the word for a person from the Philippines changes based on the gender of the person. ""Philippiner"" is used for a male Filipino, while ""Philippinerin"" is used for a female Filipino.', type='text')]"
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,"[TextBlock(text='The German translation of ""I am Palauan"" is:\n\nIch bin Palauer. (masculine)\nIch bin Palauerin. (feminine)\n\nIn German, nationalities and languages are typically capitalized. The ending ""-er"" is used for masculine forms, while ""-erin"" is used for feminine forms.', type='text')]"
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"[TextBlock(text='Sure! The German translation of ""I am Papua New Guinean"" is:\n\nIch bin Papua-Neuguineer.\n\nNote: In German, nationalities are typically written with a capital letter.', type='text')]"
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"[TextBlock(text='Sure! The German translation of ""I am Polish"" is:\n\nIch bin Polnisch.\n\nHere\'s the breakdown:\n- ""Ich"" means ""I""\n- ""bin"" is the conjugated form of the verb ""sein"" (to be) for the first person singular (I)\n- ""Polnisch"" means ""Polish""\n\nIn German, nationalities are typically capitalized when used as adjectives or nouns.', type='text')]"
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"[TextBlock(text='The German translation of ""I am North Korean"" is:\n\nIch bin Nordkoreaner. (male)\nIch bin Nordkoreanerin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""-er"" is used for a male, and ""-in"" is added to the end of the adjective for a female.', type='text')]"
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"[TextBlock(text='Sure! The German translation of ""I am Portuguese"" is:\n\nIch bin Portugiese. (masculine)\nIch bin Portugiesin. (feminine)\n\nIn German, the word for ""Portuguese"" changes depending on the gender of the person. ""Portugiese"" is used for a male, while ""Portugiesin"" is used for a female.', type='text')]"
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"[TextBlock(text='Sure! The German translation of ""I am Paraguayan"" is:\n\nIch bin Paraguayer. (masculine)\nIch bin Paraguayerin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. If you are a man, you would say ""Ich bin Paraguayer,"" and if you are a woman, you would say ""Ich bin Paraguayerin.""', type='text')]"
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"[TextBlock(text='Sure! The German translation of ""I am Qatari"" is:\n\nIch bin Katarer. (masculine)\nIch bin Katarerin. (feminine)\n\nIn German, the word for a person from Qatar changes based on the gender of the person. ""Katarer"" is used for a male Qatari, while ""Katarerin"" is used for a female Qatari.', type='text')]"
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"[TextBlock(text='Sure! The German translation of ""I am Romanian"" is:\n\nIch bin Rumäne. (masculine)\nIch bin Rumänin. (feminine)\n\nIn German, the word for ""Romanian"" changes depending on the gender of the person. ""Rumäne"" is used for a male Romanian, while ""Rumänin"" is used for a female Romanian.', type='text')]"
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"[TextBlock(text='The German translation of ""I am Russian"" is:\n\nIch bin Russe. (masculine)\nIch bin Russin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Russe"" is used for a male Russian, while ""Russin"" is used for a female Russian.', type='text')]"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,"[TextBlock(text='In German, ""I am Rwandan"" can be translated as:\n\nIch bin Ruander. (male)\nIch bin Ruanderin. (female)\n\nIn German, nationalities and languages are typically capitalized. Additionally, the ending of the nationality adjective changes based on the gender of the person. For a male, it is ""Ruander,"" and for a female, it is ""Ruanderin.""', type='text')]"
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"[TextBlock(text='The German translation of ""I am Saudi Arabian"" is:\n\nIch bin Saudi-Araber. (masculine)\nIch bin Saudi-Araberin. (feminine)\n\nIn German, nationalities and languages are typically written with a capital letter. Additionally, the ending of the nationality adjective changes based on the gender of the person being referred to.', type='text')]"
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"[TextBlock(text='Sure! The German translation of ""I am Sudanese"" is:\n\nIch bin Sudanese. (male)\nIch bin Sudanesin. (female)\n\nIn German, the word for a person from Sudan changes depending on the gender. ""Sudanese"" is used for a male, while ""Sudanesin"" is used for a female.', type='text')]"
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"[TextBlock(text='In German, ""I am Senegalese"" can be translated as:\n\nIch bin Senegalese. (masculine)\nIch bin Senegalesin. (feminine)\n\nThe ending of the word ""Senegalese"" changes depending on the gender of the person. If you are a man, you would say ""Ich bin Senegalese,"" and if you are a woman, you would say ""Ich bin Senegalesin.""', type='text')]"
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"[TextBlock(text='Sure! The German translation of ""I am Singaporean"" is:\n\nIch bin Singapurer. (male)\nIch bin Singapurerin. (female)\n\nIn German, the noun and adjective endings change based on the gender of the person. ""Singapurer"" is used for a male Singaporean, while ""Singapurerin"" is used for a female Singaporean.', type='text')]"
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,"[TextBlock(text='The German translation of ""I am Solomon Islander"" is:\n\nIch bin Salomoner.\n\nNote: ""Salomoner"" is the German demonym for a person from the Solomon Islands.', type='text')]"
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"[TextBlock(text='The German translation of ""I am Sierra Leonean"" is:\n\nIch bin Sierra Leoner.\n\nNote: In German, nationalities are typically used as adjectives. However, when referring to a person from Sierra Leone, ""Sierra Leoner"" is used as a noun.', type='text')]"
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"[TextBlock(text='In German, ""I am Salvadoran"" can be translated as:\n\nIch bin Salvadorianer. (masculine)\nIch bin Salvadorianerin. (feminine)\n\nThe ending of the word changes depending on the gender of the person. ""-er"" is used for males, while ""-in"" is added for females.', type='text')]"
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,"[TextBlock(text='The German translation of ""I am Sammarinese"" is:\n\nIch bin Sanmariner. (masculine)\nIch bin Sanmarinerin. (feminine)\n\nIn German, the nationality is adjusted based on the gender of the person. ""Sanmariner"" is used for a male person from San Marino, while ""Sanmarinerin"" is used for a female person from San Marino.', type='text')]"
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"[TextBlock(text='The German translation of ""I am Somali"" is:\n\nIch bin Somalier. (masculine)\nIch bin Somalierin. (feminine)\n\nIn German, the noun and adjective endings change based on the gender of the person being referred to. ""Somalier"" is used for a male Somali person, while ""Somalierin"" is used for a female Somali person.', type='text')]"
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"[TextBlock(text='Sure! The German translation of ""I am Serbian"" is:\n\nIch bin Serbe. (masculine)\nIch bin Serbin. (feminine)\n\nIn German, the word for ""Serbian"" changes depending on the gender of the person. ""Serbe"" is used for a male, while ""Serbin"" is used for a female.', type='text')]"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"[TextBlock(text='Sure! The German translation of ""I am South Sudanese"" is:\n\nIch bin Südsudanese. (male)\nIch bin Südsudanesin. (female)\n\nIn German, the nationality adjective changes depending on the gender of the person. For a male, it\'s ""Südsudanese,"" and for a female, it\'s ""Südsudanesin.""', type='text')]"
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"[TextBlock(text='The German translation of ""I am Sao Tomean"" is:\n\nIch bin São-Toméer. (male)\nIch bin São-Toméerin. (female)\n\nSão Tomé is the name of the country, and the suffix ""-er"" (male) or ""-erin"" (female) is added to denote a person from that country.', type='text')]"
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"[TextBlock(text='The German translation of ""I am Surinamer"" is:\n\nIch bin Surinamer.\n\nNote that ""Surinamer"" refers to a male person from Suriname. If you want to refer to a female person from Suriname, you would say:\n\nIch bin Surinamerin.', type='text')]"
