eng,it_m,it_f,it_n,output
I am Sierra Leonean.,,,Sono sierra leonese.,"In Italian, ""I am Sierra Leonean"" would be:

""Sono sierraleonese""

Note: In Italian, nationalities are typically written in lowercase, unlike in English."
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"In Italian, ""I am Salvadoran"" would be:

""Sono salvadoregno/a""

Note: The ending changes based on gender:
- salvadoregno (masculine)
- salvadoregna (feminine)

So:
- If you\'re male: ""Sono salvadoregno""
- If you\'re female: ""Sono salvadoregna"""
I am Sammarinese.,,,Sono sammarinese.,"In Italian, ""I am Sammarinese"" translates to:

""Sono sammarinese""

Note: In Italian, nationality adjectives are not capitalized unless they begin a sentence."
I am Somali.,Sono somalo.,Sono somala.,,"In Italian, ""I am Somali"" translates to:

""Sono somalo"" (if you\'re male)
or
""Sono somala"" (if you\'re female)"
I am Serbian.,Sono serbo.,Sono serba.,,"In Italian, ""I am Serbian"" translates to:

""Sono serbo"" (if you\'re male)
or
""Sono serba"" (if you\'re female)"
I am South Sudanese.,,,Sono sudsudanese.,"In Italian, ""I am South Sudanese"" would be:

""Sono sud sudanese"" (if you\'re male)
""Sono sud sudanese"" (if you\'re female)

Note: In this case, the adjective form remains the same for both masculine and feminine."
I am Sao Tomean.,,,Sono saotomense.,"In Italian, ""I am Sao Tomean"" would be:

""Sono santomense""

Note: ""Santomense"" is the Italian word for someone from São Tomé and Príncipe. It remains the same for both masculine and feminine forms."
I am Surinamer.,,,Sono surinamese.,"In Italian, ""I am Surinamer"" would be:

""Sono surinamese""

Note: In Italian, nationality adjectives are typically not capitalized unless they\'re at the beginning of a sentence."
I am Slovak.,Sono slovacco.,Sono slovacca.,,"In Italian, ""I am Slovak"" translates to:

""Sono slovacco"" (if you are male)
or
""Sono slovacca"" (if you are female)"
I am Slovene.,Sono sloveno.,Sono slovena.,,"In Italian, ""I am Slovene"" translates to:

""Sono sloveno"" (if you are male)
or
""Sono slovena"" (if you are female)"
I am Swedish.,,,Sono svedese.,"In Italian, ""I am Swedish"" translates to:

""Sono svedese"""
I am Swazi.,,,Sono swazilandese.,"In Italian, ""I am Swazi"" would be:

""Sono swazi""

Note: In Italian, nationality adjectives are typically not capitalized unless they\'re at the beginning of a sentence."
I am Seychellois.,,,Sono seicellese.,"In Italian, ""I am Seychellois"" would be:

""Sono seychellese""

Note: In Italian, nationality adjectives are not capitalized as they are in English."
I am Syrian.,Sono siriano.,Sono siriana.,,"In Italian, ""I am Syrian"" translates to:

""Sono siriano"" (if you are male)
or
""Sono siriana"" (if you are female)"
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"In Italian, ""I am Chadian"" would be:

""Sono ciadiano"" (if you\'re male)
or
""Sono ciadiana"" (if you\'re female)

Note that the adjective for nationality changes based on gender in Italian."
I am Togolese.,,,Sono togolese.,"In Italian, ""I am Togolese"" would be:

""Sono togolese""

Note: In Italian, nationalities are not capitalized unless they\'re at the beginning of a sentence."
I am Thai.,,,Sono thailandese.,"In Italian, ""I am Thai"" translates to:

""Sono thailandese"""
I am Tadzhik.,Sono tagiko.,Sono tagika.,,"In Italian, ""I am Tadzhik"" would be:

""Sono tagiko"" (for a male speaker)
or
""Sono tagika"" (for a female speaker)

Note that in Italian, nationality adjectives are typically written in lowercase, unlike in English."
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,"In Italian, ""I am Turkmen"" would be:

""Sono turkmeno"" (if you\'re male)
or
""Sono turkmena"" (if you\'re female)"
I am East Timorese.,,,Sono timorese.,"In Italian, ""I am East Timorese"" would be:

""Sono timorese orientale""

Note: In Italian, nationality adjectives are not capitalized unless they\'re at the beginning of a sentence."
I am Tongan.,Sono tongano.,Sono tongana.,,"In Italian, ""I am Tongan"" would be:

""Sono tongano"" (if you\'re male)
or
""Sono tongana"" (if you\'re female)

Note that in Italian, nationality adjectives are gendered, so you use ""tongano"" for a male speaker and ""tongana"" for a female speaker."
I am Trinidadian.,,,Sono trinitense.,"In Italian, ""I am Trinidadian"" would be:

""Sono trinidadiano"" (if you\'re male)
or
""Sono trinidadiana"" (if you\'re female)

Note: The adjective for nationality changes based on gender in Italian."
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"In Italian, ""I am Tunisian"" translates to:

""Sono tunisino"" (if you are male)
or
""Sono tunisina"" (if you are female)"
I am Turkish.,Sono turco.,Sono turca.,,"In Italian, ""I am Turkish"" translates to:

""Sono turco"" (if you are male)
or
""Sono turca"" (if you are female)"
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"In Italian, ""I am Tuvaluan"" would be:

""Sono tuvaluano"" (if you\'re male)
or
""Sono tuvaluana"" (if you\'re female)"
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"In Italian, ""I am Tanzanian"" translates to:

""Sono tanzaniano"" (if you are male)
or
""Sono tanzaniana"" (if you are female)"
I am Ugandan.,,,Sono ugandese.,"In Italian, ""I am Ugandan"" translates to:

""Sono ugandese"""
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"In Italian, ""I am Ukrainian"" translates to:

""Sono ucraino"" (if you are male)
or
""Sono ucraina"" (if you are female)"
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"In Italian, ""I am Uruguayan"" translates to:

""Sono uruguaiano"" (if you\'re male)
or
""Sono uruguaiana"" (if you\'re female)"
I am American.,,,Sono statunitense.,"In Italian, ""I am American"" translates to:

""Sono americano/americana""

Note: Use ""americano"" if you\'re male and ""americana"" if you\'re female."
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"In Italian, ""I am Uzbekistani"" would be:

""Sono uzbeko/uzbeka""

Note: Use ""uzbeko"" if you\'re male and ""uzbeka"" if you\'re female."
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"In Italian, ""I am Saint Vincentian"" would be:

""Sono sanvincentino/sanvincentina""

Note: The ending changes based on gender:
- sanvincentino (masculine)
- sanvincentina (feminine)

This refers to someone from Saint Vincent and the Grenadines."
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"In Italian, ""I am Venezuelan"" translates to:

""Sono venezuelano"" (if you\'re male)
or
""Sono venezuelana"" (if you\'re female)"
I am Vietnamese.,,,Sono vietnamita.,"In Italian, ""I am Vietnamese"" translates to:

""Sono vietnamita"""
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"In Italian, you would say:

""Sono ni-vanuatuano"" (if you\'re male)
or
""Sono ni-vanuatuana"" (if you\'re female)

Note: This is referring to someone from Vanuatu. The term isn\'t commonly used in Italian, but this would be the grammatically correct way to express it."
I am Samoan.,Sono samoano.,Sono samoana.,,"In Italian, ""I am Samoan"" would be:

""Sono samoano"" (if you are male)
or
""Sono samoana"" (if you are female)

Note that in Italian, adjectives of nationality change their ending based on the gender of the person speaking."
I am Yemeni.,,,Sono yemenita.,"In Italian, ""I am Yemeni"" translates to:

""Sono yemenita""

Note: In Italian, nationality adjectives are typically not capitalized unless they begin a sentence."
I am South African.,Sono sudafricano.,Sono sudafricana.,,"In Italian, ""I am South African"" translates to:

""Sono sudafricano"" (if you\'re male)
or
""Sono sudafricana"" (if you\'re female)"
I am Zambian.,Sono zambiano.,Sono zambiana.,,"In Italian, ""I am Zambian"" translates to:

""Sono zambiano"" (if you are male)
or
""Sono zambiana"" (if you are female)"
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,"In Italian, ""I am Zimbabwean"" translates to:

""Sono zimbabwese"" (or ""Sono zimbabwiano/zimbabwiana"")

Note: If you\'re female, you would use ""zimbabwiana,"" and if you\'re male, you would use ""zimbabwiano."" ""Zimbabwese"" is also commonly used and is gender-neutral."
