eng,spa_m,spa_f,spa_n,output
I am Singaporean.,,,Soy singapurense.,"""Soy singapurense"" or ""Soy de Singapur""

Both translations are correct. ""Soy singapurense"" directly translates to ""I am Singaporean,"" while ""Soy de Singapur"" means ""I am from Singapore."""
I am Solomon Islander.,,,Soy salomonense.,"The translation would be:
""Soy de las Islas Salomón""

Note: In Spanish, it\'s more common to say ""I am from the Solomon Islands"" rather than ""I am Solomon Islander."" The direct translation of ""Solomon Islander"" as a nationality isn\'t commonly used in Spanish."
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,"In Spanish, ""I am Sierra Leonean"" would be:

""Soy sierraleonés"" (if you are male)
or
""Soy sierraleonesa"" (if you are female)"
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"In Spanish, ""I am Salvadoran"" is:

""Soy salvadoreño"" (if you are male)
""Soy salvadoreña"" (if you are female)

Note that in Spanish, nationality adjectives are gendered, so you use ""salvadoreño"" for males and ""salvadoreña"" for females."
I am Sammarinese.,,,Soy sanmarinense.,"""Soy sanmarinense.""

Note: ""Sanmarinense"" is the demonym used in Spanish for people from San Marino. It can be used for both masculine and feminine subjects."
I am Somali.,,,Soy somalí.,"In Spanish, ""I am Somali"" would be:

""Soy somalí""

Note: In Spanish, nationality adjectives are not capitalized as they are in English."
I am Serbian.,Soy serbio.,Soy serbia.,,"In Spanish, ""I am Serbian"" translates to:

""Soy serbio"" (if you are male)
""Soy serbia"" (if you are female)"
I am South Sudanese.,,,Soy sursudanés.,"In Spanish, ""I am South Sudanese"" would be:

""Soy sursudanés"" (if you are male)
or
""Soy sursudanesa"" (if you are female)"
I am Sao Tomean.,,,Soy santotomense.,"The translation would be:
""Soy santotomense.""

Note: ""Santotomense"" is the Spanish demonym for someone from São Tomé and Príncipe."
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"In Spanish, ""I am Surinamer"" would be:

""Soy surinamés"" (if you are male)
or
""Soy surinamesa"" (if you are female)

Note: The demonym for people from Suriname changes based on gender in Spanish."
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,"In Spanish, ""I am Slovak"" translates to:

""Soy eslovaco"" (if you are male)
""Soy eslovaca"" (if you are female)"
I am Slovene.,Soy esloveno.,Soy eslovena.,,"In Spanish, ""I am Slovene"" would be:

""Soy esloveno"" (if you are male)
""Soy eslovena"" (if you are female)"
I am Swedish.,Soy sueco.,Soy sueca.,,"In Spanish, ""I am Swedish"" translates to:

""Soy sueco"" (if you are male)
""Soy sueca"" (if you are female)"
I am Swazi.,,,Soy esuatiní.,"The translation would be:
""Soy suazi.""

Note: ""Suazi"" refers to someone from Eswatini (formerly known as Swaziland)."
I am Seychellois.,,,Soy seychellense.,"""Soy seychellense"" or ""Soy de Seychelles""

Both translations are correct. ""Seychellense"" is the Spanish demonym for people from Seychelles."
I am Syrian.,Soy sirio.,Soy siria.,,"In Spanish, ""I am Syrian"" translates to:

""Soy sirio"" (if you are male)
""Soy siria"" (if you are female)"
I am Chadian.,Soy chadiano.,Soy chadiana.,,"In Spanish, ""I am Chadian"" would be:

""Soy chadiano"" (masculine) or ""Soy chadiana"" (feminine)

The form you use depends on your gender."
I am Togolese.,Soy togolés.,Soy togolésa.,,"In Spanish, ""I am Togolese"" would be:

""Soy togolés"" (if you are male)
or
""Soy togolesa"" (if you are female)"
I am Thai.,Soy tailandés.,Soy tailandésa.,,"In Spanish, ""I am Thai"" translates to:

""Soy tailandés"" (if you are male)
""Soy tailandesa"" (if you are female)"
I am Tadzhik.,Soy tayiko.,Soy tayika.,,"In Spanish, ""I am Tadzhik"" would be:

""Soy tayiko"" (masculine) or ""Soy tayika"" (feminine)

Note that in Spanish, nationality adjectives are typically written with a lowercase letter, unlike in English. Also, the spelling ""Tadzhik"" is rendered as ""tayiko/tayika"" in Spanish."
I am Turkmen.,Soy turcomano.,Soy turcomana.,,"In Spanish, ""I am Turkmen"" would be:

""Soy turcomano"" (for a male)
""Soy turcomana"" (for a female)

Note that the adjective for nationality changes depending on the gender of the speaker in Spanish."
I am East Timorese.,,,Soy timorense.,"In Spanish, ""I am East Timorese"" would be:

""Soy timorense oriental"" or ""Soy de Timor Oriental""

Both versions are correct, with the second one being more literally ""I am from East Timor."""
I am Tongan.,Soy tongano.,Soy tongana.,,"In Spanish, ""I am Tongan"" would be:

""Soy tongano"" (if you are male)
""Soy tongana"" (if you are female)

Note that in Spanish, nationality adjectives are gendered, so you use ""tongano"" for males and ""tongana"" for females."
I am Trinidadian.,,,Soy trinitense.,"In Spanish, ""I am Trinidadian"" would be:

""Soy trinitense"" or ""Soy trinitario/trinitaria""

Note: 
- Use ""trinitario"" if you\'re male
- Use ""trinitaria"" if you\'re female
- Both ""trinitense"" and ""trinitario/a"" are acceptable terms for people from Trinidad and Tobago"
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"In Spanish, ""I am Tunisian"" translates to:

""Soy tunecino"" (if you are male)
""Soy tunecina"" (if you are female)"
I am Turkish.,Soy turco.,Soy turca.,,"The translation is:

""Soy turco."" (if you\'re male)
""Soy turca."" (if you\'re female)"
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"""Soy tuvaluano"" (for a male) or ""Soy tuvaluana"" (for a female)

Note: Tuvaluan refers to someone from Tuvalu, a country in Polynesia."
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,"In Spanish, ""I am Tanzanian"" would be:

""Soy tanzano"" (if you are male)
or
""Soy tanzana"" (if you are female)"
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,"In Spanish, ""I am Ugandan"" would be:

""Soy ugandés"" (if you are male)
""Soy ugandesa"" (if you are female)

Note that in Spanish, nationality adjectives are gendered, so you use different endings depending on whether you are male (-és) or female (-esa)."
I am Ukrainian.,Soy ucraniano.,Soy ucraniana.,,"In Spanish, ""I am Ukrainian"" translates to:

""Soy ucraniano"" (if you are male)
""Soy ucraniana"" (if you are female)"
I am Uruguayan.,Soy uruguayo.,Soy uruguaya.,,"""Soy uruguayo"" (if you are male)
""Soy uruguaya"" (if you are female)"
I am American.,Soy americano,Soy americana.,Soy estadounidense.,"Soy americano/a.

Note: Use ""americano"" if you\'re male and ""americana"" if you\'re female."
I am Uzbekistani.,Soy uzbeko.,Soy uzbeka.,,"In Spanish, ""I am Uzbekistani"" would be:

""Soy uzbeko/uzbeka""

Note: Use ""uzbeko"" if you are male and ""uzbeka"" if you are female.

You could also say:
""Soy de Uzbekistán"" (I am from Uzbekistan)"
I am Saint Vincentian.,Soy sanvicentino.,Soy sanvicentina.,,"The translation would be:

""Soy sanvicentino/sanvicentina""

Note: The ending changes based on the speaker\'s gender:
- Sanvicentino (masculine)
- Sanvicentina (feminine)

This refers to someone from Saint Vincent and the Grenadines."
I am Venezuelan.,Soy venezolano.,Soy venezolana.,,"In Spanish, ""I am Venezuelan"" translates to:

""Soy venezolano"" (if you are male)
or
""Soy venezolana"" (if you are female)"
I am Vietnamese.,,,Soy vietnamita.,"In Spanish, ""I am Vietnamese"" translates to:

""Soy vietnamita""

Note: In Spanish, nationality adjectives are not capitalized like they are in English."
I am Ni-Vanuatu.,,,Soy vanuatuense.,"""Soy ni-vanuatu.""

Note: ""Ni-Vanuatu"" remains the same in Spanish, as it is the demonym for people from Vanuatu. The only change is the verb ""to be"" which becomes ""soy"" in Spanish."
I am Samoan.,Soy samoano.,Soy samoana.,,"In Spanish, ""I am Samoan"" would be:

""Soy samoano"" (if you are male)
""Soy samoana"" (if you are female)

Note that in Spanish, nationality adjectives are gendered, so you use ""samoano"" for males and ""samoana"" for females."
I am Yemeni.,,,Soy yemení.,"In Spanish, ""I am Yemeni"" would be:

""Soy yemení""

Note: In Spanish, nationality adjectives are not capitalized as they are in English."
I am South African.,Soy sudafricano.,Soy sudafricana.,,"In Spanish, ""I am South African"" translates to:

""Soy sudafricano/a""

Note: Use ""sudafricano"" if you\'re male and ""sudafricana"" if you\'re female."
I am Zambian.,Soy zambiano.,Soy zambiana.,,"The translation is:

""Soy zambiano"" (if you are male)
""Soy zambiana"" (if you are female)"
I am Zimbabwean.,,,Soy zimbabuense.,"In Spanish, ""I am Zimbabwean"" would be:

""Soy zimbabuense"" or ""Soy zimbabwés""

Both forms are correct, though ""zimbabuense"" is more commonly used."
