eng,deu_m,deu_f,deu_n,output
I am Macedonian.,Ich bin Mazedonier.,Ich bin  Mazedonierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Mazedonier."" (if you\'re a male)\n""Ich bin Mazedonierin."" (if you\'re a female)\n\nNote: The word ""Mazedonier"" (male) or ""Mazedonierin"" (female) refers to a person from North Macedonia.', type='text')]"
I am Malian.,Ich bin Malier.,Ich bin  Malierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Malier.""\n\nNote: ""Malier"" is the German term for someone from Mali.', type='text')]"
I am Maltese.,Ich bin Malteser.,Ich bin  Malteserin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Malteser.""\n\nNote: ""Malteser"" refers to a male from Malta. If you\'re a female, you would say ""Ich bin Malteserin.""', type='text')]"
I am Burmese.,Ich bin Myanmare.,Ich bin  Myanmarin.,,"[TextBlock(text='In German, ""I am Burmese"" would be:\n\n""Ich bin Burmeser."" (if you\'re male)\n""Ich bin Birmanesin."" (if you\'re female)', type='text')]"
I am Montenegrin.,Ich bin Montenegriner.,Ich bin  Montenegrinerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Montenegriner."" (if you\'re male)\n""Ich bin Montenegrinerin."" (if you\'re female)', type='text')]"
I am Mongolian.,Ich bin Mongole.,Ich bin  Mongolin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Mongole."" (if you\'re male)\n""Ich bin Mongolin."" (if you\'re female)', type='text')]"
I am Mozambican.,Ich bin Mosambikaner.,Ich bin  Mosambikanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Mosambikaner."" (if you\'re male)\n""Ich bin Mosambikanerin."" (if you\'re female)', type='text')]"
I am Mauritanian.,Ich bin Mauretanier.,Ich bin  Mauretanierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Mauritanier."" (if you\'re male)\n""Ich bin Mauritanierin."" (if you\'re female)', type='text')]"
I am Mauritian.,Ich bin Mauritier.,Ich bin  Mauritierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Mauritier."" (if you\'re male)\n""Ich bin Mauritierin."" (if you\'re female)', type='text')]"
I am Malawian.,Ich bin Malawier.,Ich bin  Malawierin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Malawier. (if you're male)\nIch bin Malawiera. (if you're female)"", type='text')]"
I am Malaysian.,Ich bin Malaysier.,Ich bin  Malaysierin.,,"[TextBlock(text='In German, ""I am Malaysian"" would be:\n\n""Ich bin Malaysier."" (if you\'re male)\n""Ich bin Malaysierin."" (if you\'re female)', type='text')]"
I am Namibian.,Ich bin Namibier.,Ich bin  Namibierin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Namibier. (if you're male)\nIch bin Namibierin. (if you're female)"", type='text')]"
I am Nigerien.,Ich bin Nigrer.,Ich bin  Nigrerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Nigerer."" (male)\n""Ich bin Nigererin."" (female)\n\nNote: ""Nigerer"" refers to a person from Niger (the country), not to be confused with other similar-sounding terms.', type='text')]"
I am Nigerian.,Ich bin Nigerianer.,Ich bin  Nigerianerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Nigerianer."" (if you\'re a male)\n""Ich bin Nigerianerin."" (if you\'re a female)', type='text')]"
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin  Nicaraguanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Nicaraguaner."" (if you\'re male)\n""Ich bin Nicaraguanerin."" (if you\'re female)', type='text')]"
I am Dutch.,Ich bin Niederländer.,Ich bin  Niederländerin.,,"[TextBlock(text='In German, ""I am Dutch"" would be translated as:\n\n""Ich bin Niederländer."" (if you\'re male)\nor\n""Ich bin Niederländerin."" (if you\'re female)', type='text')]"
I am Norwegian.,Ich bin Norweger.,Ich bin  Norwegerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Norweger. (if you're male)\nIch bin Norwegerin. (if you're female)"", type='text')]"
I am Nepalese.,Ich bin Nepalese.,Ich bin  Nepalesin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Nepalese."" (for a male)\n""Ich bin Nepalesin."" (for a female)', type='text')]"
I am Nauruan.,Ich bin Nauruer.,Ich bin  Nauruerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Nauruaner."" (if you\'re male)\n""Ich bin Nauruanerin."" (if you\'re female)', type='text')]"
I am New Zealander.,Ich bin Neuseeländer.,Ich bin  Neuseeländerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Neuseeländer."" (if you\'re male)\n""Ich bin Neuseeländerin."" (if you\'re female)\n\nNote: In German, nouns like nationalities have different forms for male and female speakers.', type='text')]"
I am Omani.,Ich bin Omaner.,Ich bin  Omanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Omanier."" (if you\'re a male)\n""Ich bin Omanin."" (if you\'re a female)', type='text')]"
I am Pakistani.,Ich bin Pakistaner.,Ich bin  Pakistanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Pakistaner."" (if you\'re a male)\n""Ich bin Pakistanerin."" (if you\'re a female)', type='text')]"
I am Panamanian.,Ich bin Panamaer.,Ich bin  Panamaerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Panamaer."" (masculine)\n""Ich bin Panamaierin."" (feminine)', type='text')]"
I am Peruvian.,Ich bin Peruaner.,Ich bin  Peruanerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Peruaner. (if you're male)\nIch bin Peruanerin. (if you're female)"", type='text')]"
I am Filipino.,Ich bin Philippiner.,Ich bin  Philippinerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Filipino."" or ""Ich bin Filipine.""\n\nNote: In German, you can use either ""Filipino"" (masculine) or ""Filipine"" (feminine) depending on your gender.', type='text')]"
I am Palauan.,Ich bin Palauer.,Ich bin  Palauerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Palauer.""\n\nNote: \n- ""Ich"" means ""I""\n- ""bin"" means ""am""\n- ""Palauer"" is the German term for someone from Palau', type='text')]"
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin  PapuaNeuguineerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Papua-Neuguineer."" (or ""Ich bin Papua-Neuguineerin"" if you\'re female)\n\nNote: The term ""Papua-Neuguineer"" is used to describe a person from Papua New Guinea.', type='text')]"
I am Polish.,Ich bin Pole.,Ich bin  Polin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Pole."" (if you\'re a male)\n""Ich bin Polin."" (if you\'re a female)', type='text')]"
I am North Korean.,Ich bin Nordkoreaner.,Ich bin  Nordkoreanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Nordkoreaner."" (if you\'re a male)\n""Ich bin Nordkoreanerin."" (if you\'re a female)', type='text')]"
I am Portuguese.,Ich bin Portugiese.,Ich bin  Portugiesin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Portugiese."" (if you\'re male)\n""Ich bin Portugiesin."" (if you\'re female)', type='text')]"
I am Paraguayan.,Ich bin Paraguayer.,Ich bin  Paraguayerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Paraguayer."" (male)\n""Ich bin Paraguayerin."" (female)', type='text')]"
I am Qatari.,Ich bin Katarer.,Ich bin  Katarerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Katarer."" (if you\'re male)\n""Ich bin Katarerin."" (if you\'re female)', type='text')]"
I am Romanian.,Ich bin Rumäne.,Ich bin  Rumänin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Rumäne."" (if you\'re a male)\nor\n""Ich bin Rumänin."" (if you\'re a female)', type='text')]"
I am Russian.,Ich bin Russe.,Ich bin  Russin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Russe."" (if you\'re a male)\n""Ich bin Russin."" (if you\'re a female)', type='text')]"
I am Rwandan.,Ich bin Ruander.,Ich bin  Ruanderin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Ruander.""\n\nNote: ""Ruander"" is the German term for someone from Rwanda.', type='text')]"
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin  SaudiAraberin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Saudi-Araber."" (if you\'re a male)\n""Ich bin Saudi-Araberin."" (if you\'re a female)\n\nNote: The term ""Saudi-Araber"" (male) or ""Saudi-Araberin"" (female) is the most precise way to express nationality in German.', type='text')]"
I am Sudanese.,Ich bin Sudaner.,Ich bin  Sudanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin sudanesisch.""\n\nNote: ""Sudanesisch"" is the adjective form, and ""Ich bin sudanesisch"" means ""I am Sudanese"" in terms of nationality. If you want to specify your origin more precisely, you could say ""Ich komme aus dem Sudan"" (I come from Sudan).', type='text')]"
I am Senegalese.,Ich bin Senegalese.,Ich bin  Senegalesin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Senegalese."" (for a male)\n""Ich bin Senegalin."" (for a female)', type='text')]"
I am Singaporean.,Ich bin Singapurer.,Ich bin  Singapurerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Singapurer."" (male)\n""Ich bin Singapurerin."" (female)\n\nNote: The word changes slightly depending on the gender of the speaker.', type='text')]"
I am Solomon Islander.,Ich bin Salomoner.,Ich bin  Salomonerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin ein Salomonen-Insulaner."" (male)\nor\n""Ich bin eine Salomonen-Insulanerin."" (female)\n\nNote: The term ""Salomonen-Insulaner"" is a direct translation, but it might sound a bit formal or technical. In everyday conversation, people might simply say ""Ich komme von den Salomonen"" (I am from the Solomon', type='text')]"
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin  SierraLeonerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Sierra-Leoner."" (or ""Ich bin Sierra-Leonerin"" if you\'re female)\n\nNote: Sierra Leonean is typically translated with a hyphenated term in German, and the ending changes slightly based on gender.', type='text')]"
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin  Salvadorianerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Salvadorianer."" (masculine)\n""Ich bin Salvadorianerin."" (feminine)', type='text')]"
I am Sammarinese.,Ich bin SanMarinese.,Ich bin  SanMarinesin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Sanmarinese.""\n\nNote: ""Sanmarinese"" is the German term for someone from San Marino.', type='text')]"
I am Somali.,Ich bin Somalier.,Ich bin  Somalierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Somalier."" (if you\'re a male)\n""Ich bin Somalierin."" (if you\'re a female)', type='text')]"
I am Serbian.,Ich bin Serbe.,Ich bin  Serbin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Serbe."" (if you\'re male)\n""Ich bin Serbin."" (if you\'re female)', type='text')]"
I am South Sudanese.,Ich bin Südsudaner.,Ich bin  Südsudanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Südsudanese."" (for a male)\n""Ich bin Südsudanesin."" (for a female)', type='text')]"
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin São-Toméer"" or ""Ich bin São-Tomenser""\n\nNote: The exact term might vary slightly, but these are the most common ways to express this in German.', type='text')]"
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Surinamer.""\n\nNote: \n- ""Ich"" means ""I""\n- ""bin"" means ""am""\n- ""Surinamer"" is the German word for someone from Suriname', type='text')]"
I am Slovak.,Ich bin Slowake.,Ich bin  Slowakin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Slowake."" (if you\'re male)\n""Ich bin Slowakin."" (if you\'re female)', type='text')]"
I am Slovene.,Ich bin Slowene.,Ich bin  Slowenin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Slowene."" (if you\'re male)\n""Ich bin Slowenin."" (if you\'re female)', type='text')]"
I am Swedish.,Ich bin Schwede.,Ich bin  Schwedin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Schwede."" (if you\'re a male)\n""Ich bin Schwedin."" (if you\'re a female)', type='text')]"
I am Swazi.,,,Ich bin Swasi.,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Swasi.""\n\nNote: ""Swazi"" refers to a person from Eswatini (formerly known as Swaziland), and in German, the nationality would be ""Swasi"" or ""Eswatiner"".', type='text')]"
I am Seychellois.,Ich bin Seycheller.,Ich bin  Seychellerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Seycheller"" (for a male)\n""Ich bin Seychellerin"" (for a female)\n\nNote: The term changes slightly depending on the gender of the speaker.', type='text')]"
I am Syrian.,Ich bin Syrer.,Ich bin  Syrerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Syrer."" (if you\'re a male)\n""Ich bin Syrerin."" (if you\'re a female)', type='text')]"
I am Chadian.,Ich bin Tschader.,Ich bin  Tschaderin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Tschader.""\n\nNote: ""Tschader"" is the German word for someone from Chad (Tschad).', type='text')]"
I am Togolese.,Ich bin Togoer.,Ich bin  Togoerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Togoer."" (or ""Ich bin Togolese."")\n\nNote: ""Togoer"" is the German term for someone from Togo.', type='text')]"
I am Thai.,Ich bin Thailänder.,Ich bin  Thailänderin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Thai.""\n\nNote: In German, nationalities are typically not capitalized when used as predicative adjectives (after the verb ""to be""), but in this case, ""Thai"" is a proper noun referring to a specific nationality, so it remains capitalized.', type='text')]"
I am Tadzhik.,Ich bin Tadschike.,Ich bin  Tadschikin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Tadschike."" (if you\'re male)\n""Ich bin Tadschin."" (if you\'re female)\n\nNote: ""Tadzhik"" (or more commonly spelled ""Tajik"") refers to a person from Tajikistan or of Tajik ethnicity.', type='text')]"
I am Turkmen.,Ich bin Turkmene.,Ich bin  Turkmenin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Turkmen.""\n\nNote: ""Turkmen"" remains the same in German, as it refers to a specific nationality or ethnic group.', type='text')]"
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Osttimorese.""\n\nNote: In German, ""East Timorese"" is ""Osttimorese"" (one word), and the sentence follows the standard structure of ""Ich bin"" (I am) followed by the nationality.', type='text')]"
I am Tongan.,Ich bin Tongaer.,Ich bin  Tongaerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Tongaer."" (male)\n""Ich bin Tongaerin."" (female)\n\nNote: ""Tongaer"" (male) or ""Tongaerin"" (female) refers to a person from Tonga.', type='text')]"
I am Trinidadian.,,,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Trinidadier."" (for a male)\n""Ich bin Trinidadierin."" (for a female)\n\nNote: The word changes slightly depending on the gender of the person.', type='text')]"
I am Tunisian.,Ich bin Tunesier.,Ich bin  Tunesierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Tunesier."" (if you\'re a male)\n""Ich bin Tunesierin."" (if you\'re a female)', type='text')]"
I am Turkish.,Ich bin Türke.,Ich bin  Türkin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin türkisch.""\n\nNote: \n- ""Ich"" means ""I""\n- ""bin"" means ""am""\n- ""türkisch"" means ""Turkish""', type='text')]"
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin  Tuvaluerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Tuvaluer."" (male)\n""Ich bin Tuvluerin."" (female)\n\nNote: Since Tuvaluan refers to a person from Tuvalu, the translation follows German grammatical rules for nationality adjectives.', type='text')]"
I am Tanzanian.,Ich bin Tansanier.,Ich bin  Tansanierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Tansanier."" (if you\'re male)\n""Ich bin Tansanierin."" (if you\'re female)', type='text')]"
I am Ugandan.,Ich bin Ugander.,Ich bin  Uganderin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Ugander."" (male)\n""Ich bin Uganderin."" (female)', type='text')]"
I am Ukrainian.,Ich bin Ukrainer.,Ich bin  Ukrainerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Ukrainer."" (if you\'re a male)\nor\n""Ich bin Ukrainerin."" (if you\'re a female)', type='text')]"
I am Uruguayan.,Ich bin Uruguayer.,Ich bin  Uruguayerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Uruguayer. (if you're male)\nIch bin Uruguayerin. (if you're female)"", type='text')]"
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Amerikaner. (if you're male)\nIch bin Amerikanerin. (if you're female)"", type='text')]"
I am Uzbekistani.,Ich bin Usbeke.,Ich bin  Usbekin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Usbeke."" (male)\n""Ich bin Usbekin."" (female)\n\nNote: ""Usbeke"" is the term for a male from Uzbekistan, while ""Usbekin"" is the term for a female from Uzbekistan.', type='text')]"
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin von St. Vincent."" (Literally: ""I am from St. Vincent"")\n\nor\n\n""Ich bin Saint Vincentian."" (Using the English term directly)\n\nThe first option is more commonly used and sounds more natural in German.', type='text')]"
I am Venezuelan.,Ich bin Venezolaner.,Ich bin  Venezolanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Venezolaner."" (if you\'re a male)\n""Ich bin Venezolanerin."" (if you\'re a female)', type='text')]"
I am Vietnamese.,Ich bin Vietnamese.,Ich bin  Vietnamesin.,,"[TextBlock(text='Here\'s the translation:\n\nIch bin Vietnamesen.\n\n(Note: If you\'re a female, you would say ""Ich bin Vietnamesin."")', type='text')]"
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin  Vanuatuerin.,,"[TextBlock(text='Here\'s the translation:\n\nIch bin Ni-Vanuatu.\n\nNote: ""Ni-Vanuatu"" is a term used to refer to people from Vanuatu, and it remains the same in German. The pronunciation would be slightly different, but the spelling stays the same.', type='text')]"
I am Samoan.,Ich bin Samoaner.,Ich bin  Samoanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Samoaner."" (if you\'re male)\n""Ich bin Samoanerin."" (if you\'re female)', type='text')]"
I am Yemeni.,Ich bin Jemenit.,Ich bin  Jemenitin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Jemenit."" (if you\'re male)\n""Ich bin Jemenitin."" (if you\'re female)', type='text')]"
I am South African.,Ich bin Südafrikaner.,Ich bin  Südafrikanerin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Südafrikaner."" (if you\'re male)\n""Ich bin Südafrikanerin."" (if you\'re female)', type='text')]"
I am Zambian.,Ich bin Sambier.,Ich bin  Sambierin.,,"[TextBlock(text='Here\'s the translation:\n\n""Ich bin Sambier."" (if you\'re a male)\n""Ich bin Sambierin."" (if you\'re a female)', type='text')]"
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin  Simbabwerin.,,"[TextBlock(text=""Here's the translation:\n\nIch bin Simbabwer. (if you're male)\nIch bin Simbabwerin. (if you're female)"", type='text')]"
