eng,it_m,it_f,it_n,output
I am Nicaraguan.,,,Sono nicaraguense.,"[TextBlock(text='Here\'s the translation:\n\n""Sono nicaraguense.""\n\nNote: ""Nicaraguense"" is the Italian word for ""Nicaraguan"" when referring to nationality.', type='text')]"
I am Dutch.,,,Sono olandese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono olandese.""', type='text')]"
I am Norwegian.,,,Sono norvegese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono norvegese.""\n\nBreakdown:\n- ""Sono"" means ""I am""\n- ""norvegese"" means ""Norwegian""', type='text')]"
I am Nepalese.,,,Sono nepalese.,"[TextBlock(text='In Italian, ""I am Nepalese"" would be:\n\n""Sono nepalese.""', type='text')]"
I am Nauruan.,Sono nauruano.,Sono nauruana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono nauruano."" (if you\'re male)\n""Sono narurana."" (if you\'re female)\n\nNote: Nauru is a small island nation in Micronesia, and the translation takes into account gender-specific language in Italian.', type='text')]"
I am New Zealander.,,,Sono neozelandese.,"[TextBlock(text='In Italian, the translation would be:\n\n""Sono neozelandese.""\n\nNote:\n- ""Sono"" means ""I am""\n- ""Neozelandese"" is the Italian word for ""New Zealander""', type='text')]"
I am Omani.,,,Sono omanita.,"[TextBlock(text='In Italian, ""I am Omani"" would be:\n\n""Sono Omanita""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Omanita"" is the Italian word for someone from Oman', type='text')]"
I am Pakistani.,Sono pakistano.,Sono pakistanа.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono pakistano."" (if you\'re a male)\n""Sono pakistana."" (if you\'re a female)', type='text')]"
I am Panamanian.,,,Sono panamense.,"[TextBlock(text='In Italian, ""I am Panamanian"" would be:\n\n""Sono panamense.""', type='text')]"
I am Peruvian.,Sono peruviano.,Sono peruviana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono peruviano."" (if you\'re a male)\n""Sono peruviana."" (if you\'re a female)', type='text')]"
I am Filipino.,Sono filippino.,Sono filippina.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono filippino."" (if you\'re male)\n""Sono filippina."" (if you\'re female)', type='text')]"
I am Palauan.,Sono palauano.,Sono palauana.,,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono palauano."" (if you\'re male)\n""Sono paluana."" (if you\'re female)', type='text')]"
I am Papua New Guinean.,Sono papuano.,Sono papuana.,,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono papuano-neoguineano."" (if you\'re male)\n""Sono papuana-neoguineana."" (if you\'re female)\n\nNote: The term ""papuano-neoguineano"" refers to someone from Papua New Guinea.', type='text')]"
I am Polish.,Sono polacco.,Sono polacca.,,"[TextBlock(text='In Italian, ""I am Polish"" translates to:\n\n""Sono polacco."" (if you are a male)\n""Sono polacca."" (if you are a female)', type='text')]"
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono nord-coreano."" (if you\'re male)\n""Sono nord-coreana."" (if you\'re female)', type='text')]"
I am Portuguese.,,,Sono portoghese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono portoghese.""', type='text')]"
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono paraguaiano."" (if you\'re male)\n""Sono paraguaiana."" (if you\'re female)', type='text')]"
I am Qatari.,,,Sono qatariota.,"[TextBlock(text='In Italian, ""I am Qatari"" would be:\n\n""Sono del Qatar"" or ""Sono qatarino/a""\n\nNote: \n- ""Sono del Qatar"" literally means ""I am from Qatar""\n- ""Qatarino"" is masculine, and ""qatarina"" is feminine, depending on the speaker\'s gender.', type='text')]"
I am Romanian.,Sono rumeno.,Sono rumena.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono rumeno."" (if you\'re male)\n""Sono rumena."" (if you\'re female)', type='text')]"
I am Russian.,Sono russo.,Sono russa.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono russo."" (if you\'re a male)\n""Sono russa."" (if you\'re a female)', type='text')]"
I am Rwandan.,,,Sono ruandese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono ruandese.""\n\nPronunciation: ""SO-no roo-an-DEH-seh""', type='text')]"
I am Saudi Arabian.,,,Sono saudita.,"[TextBlock(text='Here\'s the translation:\n\n""Sono saudita.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Saudita"" is the Italian word for ""Saudi Arabian""', type='text')]"
I am Sudanese.,,,Sono sudanese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono sudanese.""\n\nPronunciation: ""SO-no soo-da-NE-se""', type='text')]"
I am Senegalese.,,,Sono senegalese.,"[TextBlock(text='In Italian, ""I am Senegalese"" would be:\n\n""Sono senegalese.""', type='text')]"
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,,"[TextBlock(text='In Italian, ""I am Singaporean"" would be:\n\n""Sono singaporiano"" (for a male)\n""Sono singaporiana"" (for a female)', type='text')]"
I am Solomon Islander.,,,Sono salomonese.,"[TextBlock(text='Here\'s the translation in Italian:\n\n""Sono originario delle Isole Salomone."" (formal/precise)\nor\n""Sono delle Isole Salomone."" (more casual)\n\nNote: The literal translation ""Sono Solomon Islander"" would not be grammatically correct in Italian. The translations above more accurately convey the meaning of being from the Solomon Islands.', type='text')]"
I am Sierra Leonean.,,,Sono sierra leonese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono della Sierra Leone.""\n\nor\n\n""Sono sierra-leonese.""\n\nBoth translations are correct and commonly used to express that someone is from Sierra Leone.', type='text')]"
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,,"[TextBlock(text='In Italian, ""I am Salvadoran"" would be:\n\n""Sono salvadoregno."" (if you\'re male)\n""Sono salvadoregna."" (if you\'re female)', type='text')]"
I am Sammarinese.,,,Sono sammarinese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono sammarinese.""\n\nNote: ""Sammarinese"" refers to someone from San Marino, a small independent country completely surrounded by Italy.', type='text')]"
I am Somali.,Sono somalo.,Sono somala.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono somalo."" (if you\'re a male)\n""Sono somala."" (if you\'re a female)', type='text')]"
I am Serbian.,Sono serbo.,Sono serba.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono serbo."" (if you\'re male)\n""Sono serba."" (if you\'re female)', type='text')]"
I am South Sudanese.,,,Sono sudsudanese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono del Sud Sudan."" (literally: ""I am from South Sudan"")\n\nor\n\n""Sono sud-sudanese."" (more directly translating the original structure)\n\nBoth are correct and commonly used ways to express this in Italian.', type='text')]"
I am Sao Tomean.,,,Sono saotomense.,"[TextBlock(text='Here\'s the translation:\n\n""Sono di São Tomé"" or ""Sono di São Tomé e Príncipe""\n\nNote: In Italian, when referring to one\'s nationality or origin, it\'s common to use the phrase ""Sono di..."" which means ""I am from...""', type='text')]"
I am Surinamer.,,,Sono surinamese.,"[TextBlock(text='In Italian, the translation would be:\n\n""Sono surinamese.""\n\nHere\'s a breakdown:\n- ""Sono"" means ""I am""\n- ""surinamese"" is the nationality/demonym for someone from Suriname', type='text')]"
I am Slovak.,Sono slovacco.,Sono slovacca.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono slovacco."" (if you\'re male)\n""Sono slovacca."" (if you\'re female)', type='text')]"
I am Slovene.,Sono sloveno.,Sono slovena.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono sloveno."" (if you\'re a male)\n""Sono slovena."" (if you\'re a female)', type='text')]"
I am Swedish.,,,Sono svedese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono svedese.""', type='text')]"
I am Swazi.,,,Sono swazilandese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono Swazi.""\n\nNote: ""Swazi"" refers to someone from Eswatini (formerly known as Swaziland), so the translation remains the same in Italian.', type='text')]"
I am Seychellois.,,,Sono seicellese.,"[TextBlock(text='In Italian, ""I am Seychellois"" would be translated as:\n\n""Sono seychellese""\n\nNote: ""Seychellois"" refers to a person from the Seychelles, and in Italian, the term is ""seychellese"" (which can be used for both masculine and feminine).', type='text')]"
I am Syrian.,Sono siriano.,Sono siriana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono siriano."" (for a male speaker)\n""Sono siriana."" (for a female speaker)', type='text')]"
I am Chadian.,Sono ciadiano.,Sono ciadiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono ciadiano."" (if you\'re male)\n""Sono ciadiana."" (if you\'re female)\n\nNote: ""Ciadiano/Ciadiana"" refers to someone from Chad (Ciad in Italian).', type='text')]"
I am Togolese.,,,Sono togolese.,"[TextBlock(text='In Italian, ""I am Togolese"" would be:\n\n""Sono togolese.""', type='text')]"
I am Thai.,,,Sono thailandese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono tailandese.""\n\nBreakdown:\n- ""Sono"" means ""I am""\n- ""Tailandese"" means ""Thai"" (referring to nationality)', type='text')]"
I am Tadzhik.,Sono tagiko.,Sono tagika.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono Tagico.""\n\nNote: ""Tagico"" is the Italian term for someone from Tajikistan or of Tajik ethnicity.', type='text')]"
I am Turkmen.,Sono turkmeno.,Sono turkmena.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono turkmeno.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Turkmeno"" is the Italian word for a person from Turkmenistan or of Turkmen origin', type='text')]"
I am East Timorese.,,,Sono timorese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono di Timor Est"" or ""Sono timorese dell\'Est""\n\nBoth translations are correct and convey the meaning that you are from East Timor (Timor-Leste).', type='text')]"
I am Tongan.,Sono tongano.,Sono tongana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono tongano."" (if you\'re male)\n""Sono tongana."" (if you\'re female)', type='text')]"
I am Trinidadian.,,,Sono trinitense.,"[TextBlock(text='In Italian, ""I am Trinidadian"" would be:\n\n""Sono di Trinidad"" or ""Sono trinidadiano/trinidadiana"" (depending on gender)', type='text')]"
I am Tunisian.,Sono tunisino.,Sono tunisina.,,"[TextBlock(text='In Italian, ""I am Tunisian"" translates to:\n\n""Sono tunisino."" (if you are a male)\n""Sono tunisina."" (if you are a female)', type='text')]"
I am Turkish.,Sono turco.,Sono turca.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono turco."" (if you\'re male)\n""Sono turca."" (if you\'re female)', type='text')]"
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono di Tuvalu"" or ""Sono tuvaluano/a""\n\nNote: \n- ""Sono di Tuvalu"" literally means ""I am from Tuvalu""\n- ""Sono tuvaluano"" (for a male) or ""Sono tuvaluana"" (for a female) means ""I am Tuvaluan""', type='text')]"
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono tanzaniano."" (if you\'re male)\n""Sono tanzaniana."" (if you\'re female)', type='text')]"
I am Ugandan.,,,Sono ugandese.,"[TextBlock(text='Here\'s the translation:\n\n""Sono ugandese.""\n\nBreakdown:\n- ""Sono"" means ""I am""\n- ""Ugandese"" means ""Ugandan""', type='text')]"
I am Ukrainian.,Sono ucraino.,Sono ucraina.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono ucraino."" (if you\'re a male)\n""Sono ucraina."" (if you\'re a female)', type='text')]"
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono uruguaiano."" (if you\'re male)\n""Sono uruguaiana."" (if you\'re female)', type='text')]"
I am American.,,,Sono statunitense.,"[TextBlock(text='Here\'s the translation:\n\n""Sono americano."" (if you\'re a male)\n""Sono americana."" (if you\'re a female)', type='text')]"
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono uzbeko."" (if you\'re male)\n""Sono uzbeka."" (if you\'re female)\n\nNote: ""Uzbekistani"" refers to someone from Uzbekistan, and the translation uses the adjective ""uzbeko"" (masculine) or ""uzbeka"" (feminine) to describe nationality.', type='text')]"
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono di Saint Vincent"" or ""Sono di San Vincenzo""\n\nNote: Saint Vincent is a small island in the Caribbean, part of the nation of Saint Vincent and the Grenadines. In Italian, you would typically say you are ""from"" (di) a place when describing your nationality or origin.', type='text')]"
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono venezuelano."" (if you\'re a male)\n""Sono venezuelana."" (if you\'re a female)', type='text')]"
I am Vietnamese.,,,Sono vietnamita.,"[TextBlock(text='Here\'s the translation:\n\n""Sono vietnamita.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Vietnamita"" is the Italian word for ""Vietnamese""', type='text')]"
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono di Vanuatu"" or ""Sono ni-vanuatuo/a""\n\nNote: \n- ""Sono di Vanuatu"" literally means ""I am from Vanuatu""\n- ""Ni-Vanuatu"" is the term used to refer to a person from Vanuatu\n- The ending ""-o"" is used for males, and ""-a"" for females in this context', type='text')]"
I am Samoan.,Sono samoano.,Sono samoana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono samoano."" (if you\'re male)\n""Sono samoana."" (if you\'re female)', type='text')]"
I am Yemeni.,,,Sono yemenita.,"[TextBlock(text='Here\'s the translation:\n\n""Sono yemenita.""\n\nNote: \n- ""Sono"" means ""I am""\n- ""Yemenita"" is the Italian word for someone from Yemen\n- If you\'re a female, you would say ""Sono yemenita"" (same as the male form)', type='text')]"
I am South African.,Sono sudafricano.,Sono sudafricana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono sudafricano."" (if you\'re a male)\n""Sono sudafricana."" (if you\'re a female)', type='text')]"
I am Zambian.,Sono zambiano.,Sono zambiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono zambiano."" (if you\'re male)\n""Sono zambiana."" (if you\'re female)', type='text')]"
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,,"[TextBlock(text='Here\'s the translation:\n\n""Sono zimbabwese.""', type='text')]"
