eng,spa_m,spa_f,spa_n,output
I am Kirghiz.,,,Soy kirguís.,"[TextBlock(text='The Spanish translation of ""I am Kirghiz"" is:\n\nSoy kirguís.\n\nNote: ""Kirghiz"" refers to the Kyrgyz people, an ethnic group native to Central Asia, primarily Kyrgyzstan. In Spanish, the adjective ""kirguís"" is used to describe someone or something related to Kyrgyzstan or the Kyrgyz people.', type='text')]"
I am Cambodian.,Soy camboyano.,Soy camboyana.,,"[TextBlock(text='In Spanish, ""I am Cambodian"" is translated as:\n\nSoy camboyano. (masculine)\nSoy camboyana. (feminine)\n\nThe adjective ""camboyano/a"" agrees with the gender of the speaker.', type='text')]"
I am I-Kiribati.,Soy kiribatiano.,Soy kiribatiana.,,"[TextBlock(text='In Spanish, ""I am I-Kiribati"" can be translated as:\n\nSoy kiribatiano. (masculine)\nSoy kiribatiana. (feminine)\n\nNote that in Spanish, the demonym (a word that identifies a person\'s place of origin or nationality) for people from Kiribati is ""kiribatiano"" for males and ""kiribatiana"" for females.', type='text')]"
I am Kittitian or Nevisian.,Soy sancristobaleño.,Soy sancristobaleña.,,"[TextBlock(text='The translation of ""I am Kittitian or Nevisian"" in Spanish is:\n\nSoy de San Cristóbal y Nieves.\n\nExplanation:\n- ""Kittitian"" and ""Nevisian"" refer to the people from the country of Saint Kitts and Nevis, which is a dual-island nation in the Caribbean.\n- In Spanish, the country is called ""San Cristóbal y Nieves.""', type='text')]"
I am South Korean.,,,Soy de la República de Corea.,"[TextBlock(text='In Spanish, ""I am South Korean"" can be translated as:\n\nSoy surcoreano. (masculine)\nSoy surcoreana. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If you are a man, you would say ""surcoreano,"" and if you are a woman, you would say ""surcoreana.""', type='text')]"
I am Kuwaiti.,,,Soy kuwaití.,"[TextBlock(text='In Spanish, ""I am Kuwaiti"" is translated as:\n\nSoy kuwaití.\n\nNote that in Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Laotian.,Soy laosiano.,Soy laosiana.,,"[TextBlock(text='In Spanish, ""I am Laotian"" is translated as:\n\nSoy laosiano. (masculine)\nSoy laosiana. (feminine)\n\nThe adjective ""laosiano/laosiana"" is used to describe someone from Laos or of Laotian origin. The ending changes depending on the gender of the person speaking.', type='text')]"
I am Lebanese.,Soy libanés.,Soy libanésa.,,"[TextBlock(text='In Spanish, ""I am Lebanese"" is translated as:\n\nSoy libanés. (masculine)\nSoy libanesa. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If you are a man, you would say ""Soy libanés,"" and if you are a woman, you would say ""Soy libanesa.""', type='text')]"
I am Liberian.,Soy liberiano.,Soy liberiana.,,"[TextBlock(text='In Spanish, ""I am Liberian"" is:\n\nSoy liberiano. (masculine)\nSoy liberiana. (feminine)\n\nThe adjective changes depending on whether the speaker is male (liberiano) or female (liberiana).', type='text')]"
I am Libyan.,Soy libio.,Soy libia.,,"[TextBlock(text='In Spanish, ""I am Libyan"" is translated as:\n\nSoy libio. (masculine)\nSoy libia. (feminine)\n\nThe word ""libio"" is used if you are a man, and ""libia"" if you are a woman, since adjectives in Spanish change depending on the gender of the person they are referring to.', type='text')]"
I am Saint Lucian.,,,Soy santalucense.,"[TextBlock(text='In Spanish, ""I am Saint Lucian"" can be translated as:\n\nSoy santalucense.\n\nor\n\nSoy de Santa Lucía.\n\nBoth translations convey the same meaning, with the first one using the demonym ""santalucense"" and the second one stating ""I am from Saint Lucia.""', type='text')]"
I am Liechtensteiner.,Soy liechtensteiniano.,Soy liechtensteiniana.,,"[TextBlock(text='The Spanish translation of ""I am Liechtensteiner"" is:\n\nSoy liechtensteiniano. (masculine)\nSoy liechtensteiniana. (feminine)\n\nIn Spanish, the adjective of nationality changes depending on the gender of the person. If you are a man, you would say ""liechtensteiniano,"" and if you are a woman, you would say ""liechtensteiniana.""', type='text')]"
I am Sri Lankan.,Soy esrilanqués.,Soy esrilanquésa.,,"[TextBlock(text='In Spanish, ""I am Sri Lankan"" is translated as:\n\nSoy de Sri Lanka.\n\nor\n\nSoy esrilanqués. (masculine)\nSoy esrilanquesa. (feminine)', type='text')]"
I am Mosotho.,,,Soy lesotense.,"[TextBlock(text='In Spanish, ""I am Mosotho"" can be translated as:\n\nSoy mosotho.\n\nNote that ""mosotho"" is not a Spanish word, but rather a loanword from the Sesotho language, which is used to refer to the Basotho people, an ethnic group native to Lesotho and South Africa. The word ""mosotho"" is not typically modified when used in Spanish sentences.', type='text')]"
I am Lithuanian.,Soy lituano.,Soy lituana.,,"[TextBlock(text='In Spanish, ""I am Lithuanian"" is:\n\nSoy lituano. (masculine)\nSoy lituana. (feminine)\n\nThe adjective ""lituano/lituana"" (Lithuanian) agrees with the gender of the speaker.', type='text')]"
I am Luxembourger.,Soy luxemburgués.,Soy luxemburguésa.,,"[TextBlock(text='The Spanish translation of ""I am Luxembourger"" is:\n\nSoy luxemburgués. (masculine)\nSoy luxemburguesa. (feminine)\n\nIn Spanish, the adjective of nationality changes depending on the gender of the person. If you are a man, you would say ""luxemburgués,"" and if you are a woman, you would say ""luxemburguesa.""', type='text')]"
I am Latvian.,Soy letón.,,,"[TextBlock(text='In Spanish, ""I am Latvian"" is:\n\nSoy letón. (masculine)\nSoy letona. (feminine)\n\nIn Spanish, adjectives of nationality change their ending depending on the gender of the person they refer to. If you are a man, you would say ""Soy letón,"" and if you are a woman, you would say ""Soy letona.""', type='text')]"
I am Moroccan.,,,Soy marroquí.,"[TextBlock(text='In Spanish, ""I am Moroccan"" is translated as:\n\nSoy marroquí.', type='text')]"
I am Monegasque.,Soy monegasco.,Soy monegasca.,,"[TextBlock(text='In Spanish, ""I am Monegasque"" can be translated as:\n\nSoy monegasco. (masculine)\nSoy monegasca. (feminine)\n\nIn Spanish, adjectives of nationality typically have both masculine and feminine forms to agree with the gender of the person being described.', type='text')]"
I am Moldovan.,Soy moldavo.,Soy moldava.,,"[TextBlock(text='In Spanish, ""I am Moldovan"" is translated as:\n\nSoy moldavo. (masculine)\nSoy moldava. (feminine)\n\nThe adjective ""moldavo/moldava"" changes depending on the gender of the speaker. If you are a man, you would say ""moldavo,"" and if you are a woman, you would say ""moldava.""', type='text')]"
I am Malagasy.,,,Soy malgache.,"[TextBlock(text='In Spanish, ""I am Malagasy"" is translated as:\n\nSoy malgache.\n\nNote: In Spanish, the demonym for someone from Madagascar is ""malgache"" (masculine) or ""malgache"" (feminine). The word ""malgache"" is both the singular and plural form.', type='text')]"
I am Maldivan.,Soy maldivo.,Soy maldiva.,,"[TextBlock(text='In Spanish, ""I am Maldivan"" is translated as:\n\nSoy maldivo. (masculine)\nSoy maldiva. (feminine)\n\nIn Spanish, adjectives typically change their endings to match the gender of the person they are describing. Since ""Maldivan"" refers to a person from the Maldives, it follows this rule, using -o for a man and -a for a woman.', type='text')]"
I am Mexican.,Soy mexicano.,Soy mexicana.,,"[TextBlock(text='In Spanish, ""I am Mexican"" is translated as:\n\nSoy mexicano. (if you are a male)\nSoy mexicana. (if you are a female)\n\nIn Spanish, adjectives of nationality, such as ""mexicano/a,"" change their ending to match the gender of the person they are describing.', type='text')]"
I am Marshallese.,Soy marshalés.,Soy marshalésa.,,"[TextBlock(text='The Spanish translation of ""I am Marshallese"" is:\n\nSoy marshalés. (masculine)\nSoy marshalesa. (feminine)\n\nIn Spanish, adjectives of nationality typically have different forms depending on the gender of the person being referred to. In this case, ""marshalés"" is used for a male speaker, while ""marshalesa"" is used for a female speaker.', type='text')]"
I am Macedonian.,Soy macedonio.,Soy macedonia.,,"[TextBlock(text='In Spanish, ""I am Macedonian"" is translated as:\n\nSoy macedonio. (masculine)\nSoy macedonia. (feminine)\n\nThe adjective ""macedonio/macedonia"" changes depending on the gender of the speaker.', type='text')]"
I am Malian.,,,Soy malí.,"[TextBlock(text='In Spanish, ""I am Malian"" is translated as:\n\nSoy maliense.\n\nNote: In Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Maltese.,Soy maltés.,Soy maltésa.,,"[TextBlock(text='In Spanish, ""I am Maltese"" is translated as:\n\nSoy maltés. (masculine)\nSoy maltesa. (feminine)\n\nIn Spanish, adjectives of nationality change their ending depending on the gender of the person they refer to. If you are a man, you would say ""Soy maltés,"" and if you are a woman, you would say ""Soy maltesa.""', type='text')]"
I am Burmese.,,,Soy de Myanmar.,"[TextBlock(text='In Spanish, ""I am Burmese"" is translated as:\n\nSoy birmano. (masculine)\nSoy birmana. (feminine)\n\nThe word ""birmano"" is used if you identify as male, and ""birmana"" is used if you identify as female.', type='text')]"
I am Montenegrin.,Soy montenegrino.,Soy montenegrina.,,"[TextBlock(text='In Spanish, ""I am Montenegrin"" is translated as:\n\nSoy montenegrino. (masculine)\nSoy montenegrina. (feminine)\n\nThe adjective ""montenegrino/a"" agrees with the gender of the speaker.', type='text')]"
I am Mongolian.,Soy mongol.,,,"[TextBlock(text='In Spanish, ""I am Mongolian"" is translated as:\n\nSoy mongol. (masculine)\nSoy mongola. (feminine)\n\nIn Spanish, adjectives of nationality usually have different forms for masculine and feminine genders. The speaker should choose the appropriate form based on their gender.', type='text')]"
I am Mozambican.,Soy mozambiqueño.,Soy mozambiqueña.,,"[TextBlock(text='In Spanish, ""I am Mozambican"" is translated as:\n\nSoy mozambiqueño. (masculine)\nSoy mozambiqueña. (feminine)\n\nThe adjective ""mozambiqueño/a"" agrees with the gender of the speaker.', type='text')]"
I am Mauritanian.,Soy mauritano.,Soy mauritana.,,"[TextBlock(text='In Spanish, ""I am Mauritanian"" is translated as:\n\nSoy mauritano. (masculine)\nSoy mauritana. (feminine)\n\nThe adjective changes depending on the gender of the speaker.', type='text')]"
I am Mauritian.,Soy mauriciano.,Soy mauriciana.,,"[TextBlock(text='In Spanish, ""I am Mauritian"" can be translated as:\n\nSoy mauriciano. (masculine)\nSoy mauriciana. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If you are a man, you would say ""Soy mauriciano,"" and if you are a woman, you would say ""Soy mauriciana.""', type='text')]"
I am Malawian.,,,Soy malauí.,"[TextBlock(text='In Spanish, ""I am Malawian"" is:\n\nSoy malauí.\n\nNote:\n- ""Soy"" means ""I am.""\n- ""Malauí"" is the Spanish word for ""Malawian,"" referring to a person from Malawi.\n- In Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Malaysian.,Soy malasio.,Soy malasia.,,"[TextBlock(text='In Spanish, ""I am Malaysian"" is:\n\nSoy malasio. (masculine)\nSoy malasia. (feminine)\n\nThe adjective ""malasio/malasia"" changes depending on whether the speaker is male or female.', type='text')]"
I am Namibian.,Soy namibio.,Soy namibia.,,"[TextBlock(text='In Spanish, ""I am Namibian"" is translated as:\n\nSoy namibio. (masculine)\nSoy namibia. (feminine)\n\nThe adjective ""namibio/namibia"" changes depending on the gender of the speaker.', type='text')]"
I am Nigerien.,Soy nigerino.,Soy nigerina.,,"[TextBlock(text='The Spanish translation of ""I am Nigerien"" is:\n\nSoy nigerino. (masculine)\nSoy nigerina. (feminine)\n\nIn Spanish, the adjective of nationality changes depending on the gender of the person. ""Nigerino"" is used for a male person from Niger, while ""nigerina"" is used for a female person from Niger.', type='text')]"
I am Nigerian.,Soy nigeriano.,Soy nigeriana.,,"[TextBlock(text='In Spanish, ""I am Nigerian"" is translated as:\n\nSoy nigeriano. (masculine)\nSoy nigeriana. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If you are a man, you would say ""Soy nigeriano,"" and if you are a woman, you would say ""Soy nigeriana.""', type='text')]"
I am Nicaraguan.,,,Soy nicaragüense.,"[TextBlock(text='In Spanish, ""I am Nicaraguan"" is translated as:\n\nSoy nicaragüense.', type='text')]"
I am Dutch.,Soy neerlandés.,Soy neerlandésa.,,"[TextBlock(text='Sure! The Spanish translation of ""I am Dutch"" is:\n\nSoy holandés. (masculine)\nSoy holandesa. (feminine)\n\nIn Spanish, adjectives of nationality change their ending depending on the gender of the person they refer to. If you are a man, you would say ""Soy holandés,"" and if you are a woman, you would say ""Soy holandesa.""', type='text')]"
I am Norwegian.,Soy noruego.,Soy noruega.,,"[TextBlock(text='In Spanish, ""I am Norwegian"" is:\n\nSoy noruego. (masculine)\nSoy noruega. (feminine)\n\nThe adjective ""noruego/noruega"" (Norwegian) changes depending on the gender of the speaker.', type='text')]"
I am Nepalese.,Soy nepalés.,Soy nepalésa.,,"[TextBlock(text='In Spanish, ""I am Nepalese"" is translated as:\n\nSoy nepalés. (masculine)\nSoy nepalesa. (feminine)\n\nIn Spanish, adjectives of nationality usually have both masculine and feminine forms. Use ""nepalés"" if you identify as male and ""nepalesa"" if you identify as female.', type='text')]"
I am Nauruan.,Soy nauruano.,Soy nauruana.,,"[TextBlock(text='Sure! The Spanish translation of ""I am Nauruan"" is:\n\nSoy nauruano. (masculine)\nSoy nauruana. (feminine)\n\nIn Spanish, adjectives of nationality typically have masculine and feminine forms to agree with the gender of the person being referred to.', type='text')]"
I am New Zealander.,Soy neozelandés.,Soy neozelandésa.,,"[TextBlock(text='Sure! The Spanish translation of ""I am a New Zealander"" is:\n\nSoy neozelandés. (masculine)\nSoy neozelandesa. (feminine)\n\nIn Spanish, the word for ""New Zealander"" changes depending on the gender of the person. If you are a male, you would say ""neozelandés,"" and if you are a female, you would say ""neozelandesa.""', type='text')]"
I am Omani.,,,Soy omaní.,"[TextBlock(text='In Spanish, ""I am Omani"" is translated as:\n\nSoy omaní.\n\nNote that in Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Pakistani.,,,Soy pakistaní.,"[TextBlock(text='In Spanish, ""I am Pakistani"" is translated as:\n\nSoy pakistaní.\n\nNote that in Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Panamanian.,Soy panameño.,Soy panameña.,,"[TextBlock(text='In Spanish, ""I am Panamanian"" is translated as:\n\nSoy panameño. (masculine)\nSoy panameña. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""panameño,"" and if you are a woman, you would say ""panameña.""', type='text')]"
I am Peruvian.,Soy peruano.,Soy peruana.,,"[TextBlock(text='In Spanish, ""I am Peruvian"" is translated as:\n\nSoy peruano. (masculine)\nSoy peruana. (feminine)\n\nThe ending of the adjective ""peruano/peruana"" changes depending on the gender of the speaker. If the speaker is male, use ""peruano,"" and if the speaker is female, use ""peruana.""', type='text')]"
I am Filipino.,Soy filipino.,Soy filipina.,,"[TextBlock(text='In Spanish, ""I am Filipino"" is translated as:\n\nSoy filipino. (masculine)\nSoy filipina. (feminine)\n\nThe word ""filipino"" changes depending on the gender of the person speaking. If a man is saying the sentence, he would say ""Soy filipino."" If a woman is saying the sentence, she would say ""Soy filipina.""', type='text')]"
I am Palauan.,Soy palauano.,Soy palauana.,,"[TextBlock(text='The Spanish translation of ""I am Palauan"" is:\n\nSoy palauano. (masculine)\nSoy palauana. (feminine)\n\nIn Spanish, the adjective of nationality changes depending on the gender of the person it refers to. ""Palauano"" is the masculine form, while ""palauana"" is the feminine form.', type='text')]"
I am Papua New Guinean.,,,Soy papú.,"[TextBlock(text='In Spanish, ""I am Papua New Guinean"" can be translated as:\n\nSoy de Papúa Nueva Guinea.\n\nor\n\nSoy papú.\n\nNote: ""Papú"" is the Spanish demonym for a person from Papua New Guinea.', type='text')]"
I am Polish.,Soy polaco.,Soy polaca.,,"[TextBlock(text='In Spanish, ""I am Polish"" is:\n\nSoy polaco. (masculine)\nSoy polaca. (feminine)\n\nThe adjective ""polaco/polaca"" (Polish) changes depending on the gender of the speaker. If you are a man, you would say ""Soy polaco,"" and if you are a woman, you would say ""Soy polaca.""', type='text')]"
I am North Korean.,,,Soy de la República Popular Democrática de Corea.,"[TextBlock(text='The Spanish translation of ""I am North Korean"" is:\n\nSoy norcoreano. (masculine)\nSoy norcoreana. (feminine)\n\nIn Spanish, adjectives of nationality typically agree with the gender of the person they refer to. So, if the speaker is a man, you would use ""norcoreano,"" and if the speaker is a woman, you would use ""norcoreana.""', type='text')]"
I am Portuguese.,Soy portugués.,Soy portuguésa.,,"[TextBlock(text='In Spanish, ""I am Portuguese"" is:\n\nSoy portugués. (if you are a man)\nSoy portuguesa. (if you are a woman)\n\nIn Spanish, adjectives of nationality change their ending to match the gender of the person they are describing.', type='text')]"
I am Paraguayan.,Soy paraguayo.,Soy paraguaya.,,"[TextBlock(text='In Spanish, ""I am Paraguayan"" is translated as:\n\nSoy paraguayo. (masculine)\nSoy paraguaya. (feminine)\n\nThe adjective ending changes depending on the gender of the speaker. If the speaker is male, they would say ""paraguayo,"" and if the speaker is female, they would say ""paraguaya.""', type='text')]"
I am Qatari.,,,Soy qatarí.,"[TextBlock(text='In Spanish, ""I am Qatari"" is translated as:\n\nSoy catarí. (masculine)\nSoy catarí. (feminine)\n\nIn Spanish, the word ""catarí"" is used for both masculine and feminine forms, so there is no change in the adjective based on the gender of the speaker.', type='text')]"
I am Romanian.,Soy rumano.,Soy rumana.,,"[TextBlock(text='In Spanish, ""I am Romanian"" is:\n\nSoy rumano. (masculine)\nSoy rumana. (feminine)\n\nThe adjective ""rumano/rumana"" (Romanian) changes depending on whether the speaker is male or female.', type='text')]"
I am Russian.,Soy ruso.,Soy rusa.,,"[TextBlock(text='In Spanish, ""I am Russian"" is translated as:\n\nSoy ruso. (masculine)\nSoy rusa. (feminine)\n\nThe adjective ""ruso/rusa"" changes depending on the gender of the speaker. If the speaker is male, use ""ruso,"" and if the speaker is female, use ""rusa.""', type='text')]"
I am Rwandan.,Soy ruandés.,Soy ruandésa.,,"[TextBlock(text='In Spanish, ""I am Rwandan"" is:\n\nSoy ruandés. (masculine)\nSoy ruandesa. (feminine)\n\nThe adjective ""ruandés/ruandesa"" (Rwandan) agrees in gender with the subject pronoun ""yo"" (I), which is not explicitly stated in Spanish but is implied by the conjugated form of the verb ""ser"" (to be) in the first person singular, ""soy', type='text')]"
I am Saudi Arabian.,,,Soy saudí.,"[TextBlock(text='Sure! The Spanish translation of ""I am Saudi Arabian"" is:\n\nSoy saudí.\n\nor\n\nSoy de Arabia Saudita.\n\nBoth translations are correct and commonly used.', type='text')]"
I am Sudanese.,,,Soy sudanés.,"[TextBlock(text='In Spanish, ""I am Sudanese"" is translated as:\n\nSoy sudanés. (masculine)\nSoy sudanesa. (feminine)\n\nThe adjective ""sudanés"" (Sudanese) changes its ending depending on the gender of the speaker. If the speaker is male, use ""sudanés,"" and if the speaker is female, use ""sudanesa.""', type='text')]"
I am Senegalese.,Soy senegalés.,Soy senegalésa.,,"[TextBlock(text='In Spanish, ""I am Senegalese"" is translated as:\n\nSoy senegalés. (masculine)\nSoy senegalesa. (feminine)\n\nIn Spanish, adjectives of nationality usually have different forms for masculine and feminine, so the correct translation depends on the gender of the person speaking.', type='text')]"
I am Singaporean.,,,Soy singapurense.,"[TextBlock(text='In Spanish, ""I am Singaporean"" is translated as:\n\nSoy singapurense.\n\nor\n\nSoy de Singapur.\n\nBoth translations are correct and commonly used.', type='text')]"
I am Solomon Islander.,,,Soy salomonense.,"[TextBlock(text='In Spanish, ""I am Solomon Islander"" can be translated as:\n\nSoy de las Islas Salomón.\n\nor\n\nSoy salomonense.\n\nNote: ""Salomonense"" is the demonym used to refer to people from the Solomon Islands in Spanish.', type='text')]"
I am Sierra Leonean.,Soy sierraleonés.,Soy sierraleonésa.,,"[TextBlock(text='In Spanish, ""I am Sierra Leonean"" can be translated as:\n\nSoy de Sierra Leona.\n\nor\n\nSoy sierraleonés. (masculine)\nSoy sierraleonesa. (feminine)', type='text')]"
I am Salvadoran.,Soy salvadoreño.,Soy salvadorena.,,"[TextBlock(text='In Spanish, ""I am Salvadoran"" can be translated as:\n\nSoy salvadoreño. (masculine)\nSoy salvadoreña. (feminine)\n\nThe ending of the adjective changes depending on the gender of the speaker. If you are a man, you would say ""salvadoreño,"" and if you are a woman, you would say ""salvadoreña.""', type='text')]"
I am Sammarinese.,,,Soy sanmarinense.,"[TextBlock(text='In Spanish, ""I am Sammarinese"" is:\n\nSoy sanmarinense.\n\nNote:\n- ""Sanmarinense"" is the Spanish demonym for someone from San Marino.\n- The sentence structure is the same as in English: ""Soy"" means ""I am.""', type='text')]"
I am Somali.,,,Soy somalí.,"[TextBlock(text='In Spanish, ""I am Somali"" is translated as:\n\nSoy somalí.', type='text')]"
I am Serbian.,Soy serbio.,Soy serbia.,,"[TextBlock(text='In Spanish, ""I am Serbian"" is translated as:\n\nSoy serbio. (masculine)\nSoy serbia. (feminine)\n\nThe adjective ""serbio/serbia"" changes depending on the gender of the speaker.', type='text')]"
I am South Sudanese.,,,Soy sursudanés.,"[TextBlock(text='In Spanish, ""I am South Sudanese"" can be translated as:\n\nSoy sursudanés. (masculine)\nSoy sursudanesa. (feminine)\n\nThe adjective changes depending on the gender of the speaker. If the speaker is male, use ""sursudanés,"" and if the speaker is female, use ""sursudanesa.""', type='text')]"
I am Sao Tomean.,,,Soy santotomense.,"[TextBlock(text='In Spanish, ""I am Sao Tomean"" can be translated as:\n\nSoy santotomense.\n\nNote:\n- ""Santotomense"" is the Spanish demonym for someone from São Tomé and Príncipe, a country off the western coast of Africa.\n- The sentence follows the standard Spanish structure: subject (implied ""yo"" or ""I"") + verb (""soy"" or ""am"") + nationality/dem', type='text')]"
I am Surinamer.,Soy surinamés.,Soy surinamésa.,,"[TextBlock(text='The Spanish translation of ""I am Surinamer"" is:\n\nSoy surinamés. (masculine)\nSoy surinamesa. (feminine)\n\nIn Spanish, nationalities and adjectives often change depending on the gender of the person they refer to. ""Surinamés"" is the masculine form, while ""surinamesa"" is the feminine form.', type='text')]"
I am Slovak.,Soy eslovaco.,Soy eslovaca.,,"[TextBlock(text='In Spanish, ""I am Slovak"" is translated as:\n\nSoy eslovaco. (masculine)\nSoy eslovaca. (feminine)\n\nThe adjective ""eslovaco/a"" changes depending on the gender of the speaker. If you are a man, you would say ""Soy eslovaco,"" and if you are a woman, you would say ""Soy eslovaca.""', type='text')]"
I am Slovene.,Soy esloveno.,Soy eslovena.,,"[TextBlock(text='In Spanish, ""I am Slovene"" is translated as:\n\nSoy esloveno. (masculine)\nSoy eslovena. (feminine)\n\nThe adjective ""esloveno/a"" changes depending on the gender of the speaker. If you are a man, you would say ""esloveno,"" and if you are a woman, you would say ""eslovena.""', type='text')]"
I am Swedish.,Soy sueco.,Soy sueca.,,"[TextBlock(text='In Spanish, ""I am Swedish"" is:\n\nSoy sueco. (masculine)\nSoy sueca. (feminine)\n\nThe word ""sueco"" is used if the speaker is a man, and ""sueca"" is used if the speaker is a woman.', type='text')]"
I am Swazi.,,,Soy esuatiní.,"[TextBlock(text='In Spanish, ""I am Swazi"" can be translated as:\n\nSoy suazi.\n\nor\n\nSoy de Suazilandia.\n\n""Suazi"" is the Spanish demonym for a person from Eswatini (formerly known as Swaziland), while ""Suazilandia"" is the country\'s name in Spanish.', type='text')]"
I am Seychellois.,,,Soy seychellense.,"[TextBlock(text='In Spanish, ""I am Seychellois"" can be translated as:\n\nSoy seychellense.\n\nNote: In Spanish, nationalities are not capitalized unless they appear at the beginning of a sentence.', type='text')]"
I am Syrian.,Soy sirio.,Soy siria.,,"[TextBlock(text='In Spanish, ""I am Syrian"" is translated as:\n\nSoy sirio. (masculine)\nSoy siria. (feminine)\n\nThe word ""sirio"" is used when the speaker is male, and ""siria"" is used when the speaker is female.', type='text')]"
I am Chadian.,Soy chadiano.,Soy chadiana.,,"[TextBlock(text='In Spanish, ""I am Chadian"" is:\n\nSoy chadiano. (masculine)\nSoy chadiana. (feminine)\n\nIn Spanish, adjectives of nationality typically have different forms depending on the gender of the person they are describing.', type='text')]"
I am Togolese.,Soy togolés.,Soy togolésa.,,"[TextBlock(text='In Spanish, ""I am Togolese"" is translated as:\n\nSoy togolés (masculine)\nSoy togolesa (feminine)\n\nIn Spanish, adjectives of nationality usually have different forms depending on the gender of the person being referred to. If you are a man, you would say ""Soy togolés,"" and if you are a woman, you would say ""Soy togolesa.""', type='text')]"
I am Thai.,Soy tailandés.,Soy tailandésa.,,"[TextBlock(text='In Spanish, ""I am Thai"" is translated as:\n\nSoy tailandés. (masculine)\nSoy tailandesa. (feminine)\n\nThe adjective ""tailandés"" (Thai) changes its ending depending on the gender of the person speaking. If you are a man, you would say ""Soy tailandés,"" and if you are a woman, you would say ""Soy tailandesa.""', type='text')]"
I am Tadzhik.,Soy tayiko.,Soy tayika.,,"[TextBlock(text='The Spanish translation of ""I am Tadzhik"" is:\n\nSoy tayiko.\n\nNote: ""Tadzhik"" is the English spelling of the demonym for people from Tajikistan. In Spanish, it is spelled ""tayiko"" (masculine) or ""tayika"" (feminine).', type='text')]"
I am Turkmen.,Soy turcomano.,Soy turcomana.,,"[TextBlock(text='The Spanish translation of ""I am Turkmen"" is:\n\nSoy turcomano. (masculine)\nSoy turcomana. (feminine)\n\nIn Spanish, the adjective changes depending on the gender of the person. ""Turcomano"" is used for a male, while ""turcomana"" is used for a female.', type='text')]"
I am East Timorese.,,,Soy timorense.,"[TextBlock(text='In Spanish, ""I am East Timorese"" can be translated as:\n\nSoy de Timor Oriental.\n\nor\n\nSoy timorense oriental.\n\nNote that ""Timor Oriental"" is the Spanish name for the country of East Timor, and ""timorense oriental"" is the demonym used to refer to people from East Timor.', type='text')]"
I am Tongan.,Soy tongano.,Soy tongana.,,"[TextBlock(text='In Spanish, ""I am Tongan"" is translated as:\n\nSoy tongano. (masculine)\nSoy tongana. (feminine)\n\nIn Spanish, adjectives of nationality typically have different endings depending on the gender of the person they are referring to. For a male, the adjective ends in -o, while for a female, it ends in -a.', type='text')]"
I am Trinidadian.,,,Soy trinitense.,"[TextBlock(text='In Spanish, ""I am Trinidadian"" can be translated as:\n\nSoy trinitense.\n\nor\n\nSoy de Trinidad.\n\nBoth translations convey the same meaning, but ""trinitense"" is the specific demonym for someone from Trinidad and Tobago, while ""de Trinidad"" simply means ""from Trinidad.""', type='text')]"
I am Tunisian.,Soy tunecino.,Soy tunecina.,,"[TextBlock(text='In Spanish, ""I am Tunisian"" is translated as:\n\nSoy tunecino. (masculine)\nSoy tunecina. (feminine)\n\nThe adjective ""tunecino/tunecina"" agrees with the gender of the speaker.', type='text')]"
I am Turkish.,Soy turco.,Soy turca.,,"[TextBlock(text='In Spanish, ""I am Turkish"" is translated as:\n\nSoy turco. (masculine)\nSoy turca. (feminine)\n\nThe adjective ""turco/turca"" changes depending on the gender of the speaker. If you are a man, you would say ""Soy turco,"" and if you are a woman, you would say ""Soy turca.""', type='text')]"
I am Tuvaluan.,Soy tuvaluano.,Soy tuvaluana.,,"[TextBlock(text='The sentence ""I am Tuvaluan"" can be translated into Spanish as:\n\nSoy tuvaluano. (masculine)\nSoy tuvaluana. (feminine)\n\nIn Spanish, adjectives of nationality usually agree with the gender of the person they refer to. So, if you are a man, you would say ""Soy tuvaluano,"" and if you are a woman, you would say ""Soy tuvaluana.""', type='text')]"
I am Tanzanian.,Soy tanzano.,Soy tanzaa.,,"[TextBlock(text='In Spanish, ""I am Tanzanian"" is translated as:\n\nSoy tanzano. (masculine)\nSoy tanzana. (feminine)\n\nThe adjective ""tanzano/tanzana"" agrees with the gender of the speaker.', type='text')]"
I am Ugandan.,Soy ugandés.,Soy ugandésa.,,"[TextBlock(text='In Spanish, ""I am Ugandan"" is:\n\nSoy ugandés. (masculine)\nSoy ugandesa. (feminine)\n\nThe adjective ""ugandés"" or ""ugandesa"" agrees with the gender of the speaker. If the speaker is male, use ""ugandés,"" and if the speaker is female, use ""ugandesa.""', type='text')]"
