eng,fra_m,fra_f,fra_n,output
I am Palauan.,Je suis Paluan.,Je suis Paluane.,,"In French, ""I am Palauan"" would be:

""Je suis Palaosien(ne)""

Note: Use ""Palaosien"" if you\'re male and ""Palaosienne"" if you\'re female."
I am Papua New Guinean.,Je suis Papouasien.,Je suis Papouasienne.,,"In French, this would be:

""Je suis Papou-Néo-Guinéen"" (if you are male)
or
""Je suis Papou-Néo-Guinéenne"" (if you are female)"
I am Polish.,Je suis Polonais.,Je suis Polonaise.,,"In French, ""I am Polish"" translates to:

""Je suis polonais"" (if you\'re male)
""Je suis polonaise"" (if you\'re female)"
I am North Korean.,Je suis Nord-coréen.,Je suis Nord-coréenne.,,"Je suis Nord-Coréen(ne)

Note: Use ""Nord-Coréen"" if you\'re male and ""Nord-Coréenne"" if you\'re female."
I am Portuguese.,Je suis Portugais.,Je suis Portugaise.,,"In French, ""I am Portuguese"" is:

""Je suis portugais"" (if you\'re male)
""Je suis portugaise"" (if you\'re female)"
I am Paraguayan.,Je suis Paraguayen.,Je suis Paraguayenne.,,"In French, ""I am Paraguayan"" is:

""Je suis paraguayen"" (if you are male)
or
""Je suis paraguayenne"" (if you are female)"
I am Qatari.,Je suis Qatarien.,Je suis Qatarienne.,,"In French, ""I am Qatari"" would be:

""Je suis Qatari(e)""

Note: If you are female, you would say ""Je suis Qatarie"" (with an \'e\' at the end). If you are male, you would say ""Je suis Qatari"" (without the \'e\')."
I am Romanian.,Je suis Roumain.,Je suis Roumaine.,,"In French, ""I am Romanian"" translates to:

""Je suis roumain"" (if you are male)
or
""Je suis roumaine"" (if you are female)"
I am Russian.,Je suis Russe.,Je suis Russe.,,"In French, ""I am Russian"" translates to:

""Je suis russe""

Note: In French, nationalities are not capitalized unless they\'re used as proper nouns."
I am Rwandan.,Je suis Rwandais.,Je suis Rwandaise.,,"In French, ""I am Rwandan"" is:

""Je suis Rwandais(e)""

Note: Use ""Rwandais"" if you\'re male and ""Rwandaise"" if you\'re female."
I am Saudi Arabian.,Je suis Saoudien.,Je suis Saoudienne.,,"In French, ""I am Saudi Arabian"" would be:

""Je suis Saoudien"" (if you\'re male)
or
""Je suis Saoudienne"" (if you\'re female)"
I am Sudanese.,Je suis Soudanais.,Je suis Soudanaise.,,"In French, ""I am Sudanese"" is:

""Je suis Soudanais"" (if you are male)
or
""Je suis Soudanaise"" (if you are female)"
I am Senegalese.,Je suis Sénégalais.,Je suis Sénégalaise.,,"In French, ""I am Senegalese"" translates to:

""Je suis Sénégalais(e)""

Note: Use ""Sénégalais"" if you\'re male and ""Sénégalaise"" if you\'re female."
I am Singaporean.,Je suis Singapourien.,Je suis Singapourienne.,,"Je suis Singapourien(ne).

Note: Use ""Singapourien"" if you\'re male and ""Singapourienne"" if you\'re female."
I am Solomon Islander.,Je suis Salomonien.,Je suis Salomonienne.,,"In French, this would be:
""Je suis Salomonais"" (if you\'re male)
or
""Je suis Salomonaise"" (if you\'re female)

Note that in French, nationalities are written with a lowercase letter, unlike in English."
I am Sierra Leonean.,Je suis Sierra-leonais.,Je suis Sierra-leonaise.,,"In French, ""I am Sierra Leonean"" would be:

""Je suis Sierra-Léonais(e)""

Note: Use ""Sierra-Léonais"" if you\'re male and ""Sierra-Léonaise"" if you\'re female."
I am Salvadoran.,Je suis Salvadorien.,Je suis Salvadorienne.,,"In French, ""I am Salvadoran"" would be:

""Je suis salvadorien"" (if you\'re male)
or
""Je suis salvadorienne"" (if you\'re female)"
I am Sammarinese.,Je suis Saint-Marinais.,Je suis Saint-Marinaise.,,"In French, ""I am Sammarinese"" would be:

""Je suis Saint-Marinais(e)""

Note: Use ""Saint-Marinais"" if you\'re male and ""Saint-Marinaise"" if you\'re female."
I am Somali.,Je suis Somalien.,Je suis Somalienne.,,"In French, ""I am Somali"" translates to:

""Je suis Somalien"" (if you are male)
or
""Je suis Somalienne"" (if you are female)"
I am Serbian.,Je suis Serbe.,Je suis Serbe.,,"In French, ""I am Serbian"" translates to:

""Je suis serbe"""
I am South Sudanese.,Je suis Sud-Soudanais.,Je suis Sud-Soudanaise.,,"In French, ""I am South Sudanese"" would be:

""Je suis Sud-Soudanais(e)""

Note: Use ""Sud-Soudanais"" if you\'re male and ""Sud-Soudanaise"" if you\'re female."
I am Sao Tomean.,Je suis Santoméen.,Je suis Santoméenne.,,"The translation would be:
""Je suis santoméen(ne)""

Note: 
- If you are male, use ""santoméen""
- If you are female, use ""santoméenne"""
I am Surinamer.,Je suis Surinamais.,Je suis Surinamaise.,,"In French, ""I am Surinamer"" would be:

""Je suis Surinamais(e)""

Note: 
- Use ""Surinamais"" if you are male
- Use ""Surinamaise"" if you are female"
I am Slovak.,Je suis Slovaque.,Je suis Slovaque.,,"In French, ""I am Slovak"" translates to:

""Je suis slovaque""

Note: In French, nationality adjectives are not capitalized as they are in English."
I am Slovene.,Je suis Slovène.,Je suis Slovène.,,"In French, ""I am Slovene"" translates to:

""Je suis slovène""

Note: When written with a capital letter, ""Slovène"" refers to the nationality/person, while ""slovène"" (lowercase) refers to the language or is used as an adjective."
I am Swedish.,Je suis Suédois.,Je suis Suédoise.,,"In French, ""I am Swedish"" translates to:

""Je suis suédois"" (if you are male)
or
""Je suis suédoise"" (if you are female)"
I am Swazi.,Je suis Swazie.,Je suis Swazie.,,"In French, ""I am Swazi"" would be:

""Je suis Swazi"" (if you\'re male)
or
""Je suis Swazie"" (if you\'re female)

Note: When referring to nationality in French, the adjective sometimes changes form based on the gender of the speaker."
I am Seychellois.,Je suis Seychellois.,Je suis Seychelloise.,,"In French, ""I am Seychellois"" would be:

""Je suis Seychellois"" (if you are male)
or
""Je suis Seychelloise"" (if you are female)"
I am Syrian.,Je suis Syrien.,Je suis Syrienne.,,"In French, ""I am Syrian"" translates to:

""Je suis Syrien"" (if you are male)
or
""Je suis Syrienne"" (if you are female)"
I am Chadian.,Je suis Tchadien.,Je suis Tchadienne.,,"In French, ""I am Chadian"" is:

""Je suis Tchadien"" (if you are male)
or
""Je suis Tchadienne"" (if you are female)"
I am Togolese.,Je suis Togolais.,Je suis Togolaise.,,"In French, ""I am Togolese"" is:

""Je suis Togolais(e)""

Note: Use ""Togolais"" if you are male and ""Togolaise"" if you are female."
I am Thai.,Je suis Thaïlandais.,Je suis Thaïlandaise.,,"In French, ""I am Thai"" translates to:

""Je suis thaïlandais(e)""

Note: 
- Use ""thaïlandais"" if you are male
- Use ""thaïlandaise"" if you are female"
I am Tadzhik.,Je suis Tadjike.,Je suis Tadjike.,,"In French, ""I am Tadzhik"" would be:

""Je suis tadjik"" (if you\'re male)
or
""Je suis tadjike"" (if you\'re female)

Note: The nationality is written with a lowercase \'t\' in French, unlike in English where nationalities are capitalized."
I am Turkmen.,Je suis Turkmène.,Je suis Turkmène.,,"In French, ""I am Turkmen"" would be:

""Je suis Turkmène""

Note: If you are a female, you would say ""Je suis Turkmène""
If you are a male, you would say ""Je suis Turkmène"" (the pronunciation is the same, but traditionally there may be a slight spelling difference in some contexts)"
I am East Timorese.,Je suis Est-timorais.,Je suis Est-timoraise.,,"In French, ""I am East Timorese"" would be:

""Je suis Est-timorais(e)""

Note: Use ""Est-timorais"" if you\'re male and ""Est-timoraise"" if you\'re female."
I am Tongan.,Je suis Tonguien.,Je suis Tonguienne.,,"In French, ""I am Tongan"" would be:

""Je suis Tongien"" (if you are male)
or
""Je suis Tongienne"" (if you are female)"
I am Trinidadian.,Je suis Trinidadien.,Je suis Trinidadienne.,,"In French, ""I am Trinidadian"" would be:

""Je suis Trinidadien"" (if you\'re male)
or
""Je suis Trinidadienne"" (if you\'re female)"
I am Tunisian.,Je suis Tunisien.,Je suis Tunisienne.,,"In French, ""I am Tunisian"" is:

""Je suis Tunisien"" (if you are male)
or
""Je suis Tunisienne"" (if you are female)"
I am Turkish.,Je suis Turc.,Je suis Turque.,,"In French, ""I am Turkish"" translates to:

""Je suis turc"" (if you\'re male)
""Je suis turque"" (if you\'re female)

Note that the adjective ""Turkish"" has different forms depending on the gender of the speaker in French."
I am Tuvaluan.,Je suis Tuvaluan.,Je suis Tuvaluane.,,"In French, ""I am Tuvaluan"" would be:

""Je suis Tuvaluan(e)""

Note: If you are female, use ""Tuvaluane""; if you are male, use ""Tuvaluan"""
I am Tanzanian.,Je suis Tanzanien.,Je suis Tanzanienne.,,"In French, ""I am Tanzanian"" is:

""Je suis tanzanien(ne)""

Note: 
- Use ""tanzanien"" if you are male
- Use ""tanzanienne"" if you are female"
I am Ugandan.,Je suis Ougandais.,Je suis Ougandaise.,,"In French, ""I am Ugandan"" translates to:

""Je suis Ougandais"" (if you are male)
or
""Je suis Ougandaise"" (if you are female)"
I am Ukrainian.,Je suis Ukrainien.,Je suis Ukrainienne.,,"Je suis ukrainien(ne)

Note: Use ""ukrainien"" if you\'re male and ""ukrainienne"" if you\'re female."
I am Uruguayan.,Je suis Uruguayen.,Je suis Uruguayenne.,,"Je suis uruguayen(ne)

Note: 
- If you\'re male, use ""uruguayen""
- If you\'re female, use ""uruguayenne"""
I am American.,Je suis Américain.,Je suis Américaine.,,"Je suis américain(e)

Note: Use ""américain"" if you\'re male and ""américaine"" if you\'re female."
I am Uzbekistani.,Je suis Ouzbèke.,Je suis Ouzbèke.,,"In French, ""I am Uzbekistani"" would be:

""Je suis ouzbek"" (if you\'re male)
or
""Je suis ouzbèke"" (if you\'re female)

Note: In French, nationalities are typically written with a lowercase letter, unlike in English."
I am Saint Vincentian.,Je suis Vincentais.,Je suis Vincentaise.,,"In French, ""I am Saint Vincentian"" would be:

""Je suis Saint-Vincentais(e)""

Note: Use ""Saint-Vincentais"" if you\'re male and ""Saint-Vincentaise"" if you\'re female."
I am Venezuelan.,Je suis Vénézuélien.,Je suis Vénézuélienne.,,"In French, ""I am Venezuelan"" translates to:

""Je suis vénézuélien"" (if you are male)
or
""Je suis vénézuélienne"" (if you are female)"
I am Vietnamese.,Je suis Vietnamien.,Je suis Vietnamienne.,,"In French, ""I am Vietnamese"" translates to:

""Je suis vietnamien"" (if you\'re male)
or
""Je suis vietnamienne"" (if you\'re female)"
I am Ni-Vanuatu.,Je suis Vanuatuan.,Je suis Vanuatuane.,,"In French, ""I am Ni-Vanuatu"" would be:

""Je suis Ni-Vanuatu""

Note: Ni-Vanuatu remains the same in French as it is a proper noun referring to the people of Vanuatu."
I am Samoan.,Je suis Samoan.,Je suis Samoane.,,"In French, ""I am Samoan"" would be:

""Je suis Samoan"" (if you\'re male)
or
""Je suis Samoane"" (if you\'re female)"
I am Yemeni.,Je suis Yéménite.,Je suis Yéménite.,,"In French, ""I am Yemeni"" translates to:

""Je suis Yéménite""

Note: This adjective of nationality is the same for both male and female speakers in French."
I am South African.,Je suis Sud-africain.,Je suis Sud-africaine.,,"In French, ""I am South African"" translates to:

""Je suis sud-africain(e)""

Note: If you are female, use ""sud-africaine""
If you are male, use ""sud-africain"""
I am Zambian.,Je suis Zambien.,Je suis Zambienne.,,"In French, ""I am Zambian"" is:

""Je suis zambien"" (if you are male)
or
""Je suis zambienne"" (if you are female)"
I am Zimbabwean.,Je suis Zimbabwéen.,Je suis Zimbabwéenne.,,"In French, ""I am Zimbabwean"" is:

""Je suis Zimbabwéen(ne)""

Note: If you are male, use ""Zimbabwéen""
If you are female, use ""Zimbabwéenne"""
